sample_id,split,region,root_abs,power_abs,dI_dV_rel,dI_dIL_rel,dI_dI0_rel,dI_da_rel,dI_dRs_rel,dI_dRsh_rel,residual,exp_argument,status
pvext_0001517,cal,open_circuit,2.1204690564199935e-15,8.5105533731422156e-14,1.7617239681207927e-16,2.0907217806994849e-16,2.3026473115869996e-16,1.3633392337882738e-16,2.9165240138123491e-11,0,6.6335825721353103e-15,20.697865307723848,0
pvext_0001526,cal,mpp_near,0,2.8421709430404007e-14,1.3439915262972135e-16,1.201479354382191e-16,0,0,1.9789710281042675e-16,2.0882588033647571e-16,4.4408920985006262e-16,25.770225086716184,0
pvext_0001527,cal,interior,0,0,1.5864513649279005e-16,1.1106048584245235e-16,1.7852429705871114e-15,1.9862472889778666e-15,0,1.245763632651077e-16,1.2490009027033011e-16,16.256192860810241,0
pvext_0001536,cal,short_circuit,0,3.3881317890172014e-21,0,0,1.5248675737347428e-16,3.0924779878839208e-16,0,1.8172136886832603e-16,3.7399553939887475e-16,0.31046741426601526,0
pvext_0001537,cal,open_circuit,2.4980018054066022e-15,1.1457501614131615e-13,5.2732631807174085e-16,1.9628830622081339e-16,4.1262925561590231e-16,6.5394981136635426e-16,1.6441337897232925e-14,1.8924825591228745e-16,7.9797279894933126e-17,19.358303265063842,0
pvext_0001546,cal,mpp_near,4.4408920985006262e-16,2.8421709430404007e-14,5.2656727095509953e-16,1.1610353427060477e-16,3.3755121840917369e-16,4.2160446781165885e-16,4.2311075507918704e-16,2.2941621916741942e-16,4.163336342344337e-16,20.825792779168939,0
pvext_0001547,cal,interior,4.4408920985006262e-16,7.1054273576010019e-15,0,0,4.6762774119059294e-16,4.6121391658394793e-16,0,2.0585623434341378e-16,4.163336342344337e-16,16.302059608824734,0
pvext_0001556,cal,short_circuit,1.7763568394002505e-15,2.1684043449710089e-19,1.4004352570765284e-16,1.1135296404197385e-16,1.4597391811463357e-16,1.3127148470018347e-16,0,0,9.540979117872439e-16,2.5806140942125713,0
pvext_0001557,cal,open_circuit,5.8187944751170867e-15,3.5835342939577464e-13,4.6513440466022471e-16,4.1202196060057221e-16,4.0720150859701587e-16,3.9707296929198074e-16,4.2778207466571743e-10,5.9884922313352473e-16,5.5511151231257827e-17,28.14312081082867,0
pvext_0001566,cal,mpp_near,4.4408920985006262e-16,0,1.2463337583552225e-16,1.1556650990979229e-16,3.4891426727256983e-16,4.1482985431766111e-16,4.4057842982977618e-16,3.4058350552233046e-16,4.4408920985006262e-16,16.629164650183917,0
pvext_0001567,cal,interior,0,0,1.188160189049189e-16,2.2247566175465977e-16,4.9670040172828537e-16,6.317193987019316e-16,1.6779552450080996e-16,2.1829487480142542e-16,8.3266726846886741e-17,5.4395063824535592,0
pvext_0001576,cal,short_circuit,0,0,2.0643661888565965e-16,0,1.2573967104816617e-16,0,1.5432629529805446e-16,3.7347407273375609e-16,4.3368086899420177e-18,0.6343536577771598,0
