index,path,root_abs,rho,accepted,status
221,1,0,5.0644950759465249e-10,1,1
222,1,0,5.0000000000000003e-10,1,1
223,1,4.4408920985006262e-16,5.2845190749667384e-10,1,1
224,1,3.1086244689504383e-15,1.9063648023920904e-09,1,1
225,1,3.1086244689504383e-15,5.3353184396814871e-10,1,1
226,1,4.4408920985006262e-16,5.0029576341376017e-10,1,1
227,1,6.6613381477509392e-14,5.0220445883769574e-10,1,1
228,1,1.3322676295501878e-15,5.0000133226762958e-10,1,1
229,1,0,5.0000000000000003e-10,1,1
230,1,8.0824236192711396e-14,5.0008082423619274e-10,1,1
231,1,4.4408920985006262e-16,5.0000044408920988e-10,1,1
232,1,4.4408920985006262e-16,5.0000488498130838e-10,1,1
233,1,4.4408920985006262e-16,5.0065591976294857e-10,1,1
234,1,4.4408920985006262e-16,5.3235367529441649e-10,1,1
235,1,1.7763568394002505e-15,5.0002842170943044e-10,1,1
236,1,1.3322676295501878e-15,5.0009148237722914e-10,1,1
237,1,1.0880185641326534e-12,5.0108757447492283e-10,1,1
238,1,4.4408920985006262e-16,5.1121991388686186e-10,1,1
239,1,1.3322676295501878e-15,6.1893641627125365e-10,1,1
240,1,2.6645352591003757e-15,8.8538239266472377e-10,1,1
241,1,0,5.7108358346386015e-10,1,1
242,1,5.3734794391857577e-14,5.1401634364128771e-10,1,1
243,1,5.7331916991643084e-13,5.0011279865930195e-10,1,1
244,1,4.4408920985006262e-16,7.8002222762779641e-10,1,1
245,1,0,5.0000222044604928e-10,1,1
246,1,8.8817841970012523e-16,5.0091837648596996e-10,1,1
247,1,2.6645352591003757e-15,5.0336397576461426e-10,1,1
248,0,5.4112052616517303e-08,5.4956829268190175e-08,1,1
249,1,8.8817841970012523e-16,5.5618971954390875e-10,1,1
250,1,0,6.7925305684229901e-10,1,1
251,1,0,5.0029132252166167e-10,1,1
252,1,0,5.0078159700933614e-10,1,1
253,1,3.7614356074300304e-13,5.0037614356074303e-10,1,1
254,1,4.4408920985006262e-16,5.0495337104666763e-10,1,1
255,0,4.1465447520039334e-08,4.196468191024155e-08,1,1
256,1,3.1086244689504383e-15,5.9791634170142064e-10,1,1
257,1,7.2519767968515225e-13,5.0072786221494428e-10,1,1
258,1,3.1974423109204508e-14,5.0504751795915584e-10,1,1
259,1,8.8817841970012523e-16,5.0000088817841973e-10,1,1
260,1,8.8817841970012523e-16,7.9143576441015287e-10,1,1
261,1,4.4408920985006262e-16,5.0000355271367883e-10,1,1
262,2,0,inf,1,1
263,1,2.6645352591003757e-15,5.0000266453525913e-10,1,1
264,1,1.7763568394002505e-15,5.0000222044604928e-10,1,1
265,1,1.7763568394002505e-15,5.0273780997872567e-10,1,1
266,1,8.8817841970012523e-16,6.493951629072399e-10,1,1
267,1,1.7763568394002505e-15,5.1558086992758948e-10,1,1
268,1,1.3322676295501878e-15,5.0033573144264668e-10,1,1
269,1,0,1.039992051074023e-09,1,1
270,1,8.8817841970012523e-16,5.0000088817841973e-10,1,1
271,1,2.2204460492503131e-15,5.9986367288661316e-10,1,1
272,1,8.8817841970012523e-16,8.1879698880743493e-10,1,1
273,1,4.4408920985006262e-16,5.0043698378249249e-10,1,1
274,0,5.5910698293359928e-08,5.6519233696247282e-08,1,1
275,1,4.4408920985006262e-16,5.2586553193850708e-10,1,1
276,1,0,5.0027178259642827e-10,1,1
277,1,2.2204460492503131e-15,5.4744604709117087e-10,1,1
278,0,7.6513128721700241e-08,7.7013128721700239e-08,1,1
279,1,4.4408920985006262e-16,5.7363887277733741e-10,1,1
280,1,4.4408920985006262e-16,5.0000088817841973e-10,1,1
281,1,8.8817841970012523e-16,8.9474779001125174e-10,1,1
282,1,0,7.486997274786518e-10,1,1
283,0,6.2538499712161411e-08,6.323089514508001e-08,1,1
284,1,4.4408920985006262e-16,5.0000044408920988e-10,1,1
285,1,4.4408920985006262e-16,5.011874945471391e-10,1,1
286,1,2.2648549702353193e-14,7.4042279278546633e-10,1,1
287,1,6.794564910705958e-14,6.5465539959791389e-10,1,1
288,1,4.4408920985006262e-16,5.0021360690993791e-10,1,1
289,1,8.8817841970012523e-16,5.1530064963617409e-10,1,1
290,1,1.3322676295501878e-15,7.9708369098102597e-10,1,1
291,1,6.6746608240464411e-13,5.0066746608240468e-10,1,1
292,1,8.8817841970012523e-16,5.0000088817841973e-10,1,1
293,1,1.7763568394002505e-15,7.1015944540181411e-10,1,1
294,0,2.6191809610054406e-08,2.6691809610054407e-08,1,1
295,1,4.4408920985006262e-16,5.9140199708213007e-10,1,1
296,1,9.5923269327613525e-14,5.0009592326932764e-10,1,1
297,1,0,5.9888267982205437e-10,1,1
298,1,4.4408920985006262e-16,5.0091082696940251e-10,1,1
299,1,0,5.0145972123277719e-10,1,1
300,1,8.8817841970012523e-16,5.4256683894254823e-10,1,1
301,1,4.4408920985006262e-15,5.0000444089209853e-10,1,1
302,0,1.7131447371809827e-08,1.7864159443644668e-08,1,1
303,1,1.8474111129762605e-13,5.0018474111129766e-10,1,1
304,1,4.4408920985006262e-16,8.2832003782345967e-10,1,1
305,1,1.7763568394002505e-15,5.0000177635683943e-10,1,1
306,1,8.8817841970012523e-16,6.3264900289300388e-10,1,1
307,1,8.8817841970012523e-16,5.0100364161426117e-10,1,1
308,1,8.8817841970012523e-16,5.3762412603691704e-10,1,1
309,1,0,5.0103694830499993e-10,1,1
310,1,7.1942451995710144e-14,5.001301181384861e-10,1,1
311,1,8.8817841970012523e-16,5.0874189609589851e-10,1,1
312,1,3.9035441545820504e-13,5.0039035441545824e-10,1,1
313,1,4.4408920985006262e-16,5.0006217248937904e-10,1,1
314,1,8.8817841970012523e-16,5.0003597122599789e-10,1,1
315,1,8.8817841970012523e-16,5.85250473347287e-10,1,1
316,1,0,5.0612532247146194e-10,1,1
317,1,4.4408920985006262e-16,7.2259882825892422e-10,1,1
318,1,0,5.0007993605777304e-10,1,1
319,1,5.3290705182007514e-15,5.0000532907051823e-10,1,1
320,1,2.19824158875781e-13,5.0021893598045611e-10,1,1
321,1,8.8817841970012523e-16,5.0000843769498718e-10,1,1
322,1,4.4408920985006262e-16,5.0109734443753954e-10,1,1
323,1,1.3766765505351941e-13,7.9148816693691518e-10,1,1
324,1,0,5.0019095836023556e-10,1,1
325,1,4.4408920985006262e-16,5.0072120087679653e-10,1,1
326,1,8.8817841970012523e-16,5.0000088817841973e-10,1,1
327,1,1.3322676295501878e-15,6.3861711778417888e-10,1,1
328,1,2.6645352591003757e-15,5.0015809575870665e-10,1,1
329,1,2.7533531010703882e-14,7.4017188238190105e-10,1,1
330,1,0,5.0198463467881996e-10,1,1
331,1,0,5.0104227737551813e-10,1,1
332,1,1.3322676295501878e-15,5.0001643130076448e-10,1,1
333,1,0,5.0104671826761663e-10,1,1
334,1,8.8817841970012523e-16,5.4070077608275827e-10,1,1
335,1,8.8817841970012523e-16,5.0060085270092717e-10,1,1
336,1,8.8817841970012523e-16,5.0006528111384799e-10,1,1
337,1,7.6161299489285739e-13,5.0076161299489289e-10,1,1
338,1,4.4408920985006262e-16,6.2445644514968993e-10,1,1
339,0,2.0079905738157322e-08,2.0579905738157323e-08,1,1
340,1,1.3322676295501878e-15,5.0003641531520774e-10,1,1
341,1,3.1086244689504383e-15,6.5463363922663123e-10,1,1
342,1,1.5099033134902129e-14,5.0001554312234478e-10,1,1
343,1,0,5.1819921990886545e-10,1,1
344,0,9.8566137474165316e-09,1.0356613747416531e-08,1,1
345,1,1.3322676295501878e-15,5.015263346142547e-10,1,1
346,1,1.7763568394002505e-15,5.0271738187507256e-10,1,1
347,0,4.849575008236684e-08,4.8995746973742369e-08,1,1
348,1,0,5.0272404321322032e-10,1,1
349,1,4.4408920985006262e-16,5.0131805677483502e-10,1,1
350,1,2.6645352591003757e-15,5.103952402241703e-10,1,1
351,1,4.4408920985006262e-16,5.1348121614341838e-10,1,1
352,1,4.454214774796128e-13,5.0043964831775159e-10,1,1
353,1,5.3290705182007514e-15,5.4029931943705381e-10,1,1
354,1,0,5.097424290856907e-10,1,1
355,1,0,5.0000044408920988e-10,1,1
356,1,1.5809575870662229e-13,5.0015809575870665e-10,1,1
357,1,8.8817841970012523e-16,5.4169153910993376e-10,1,1
358,0,9.2769964155081652e-08,9.326996415508165e-08,1,1
359,1,1.3322676295501878e-15,5.2376321361907688e-10,1,1
360,1,8.8817841970012523e-16,5.0000088817841973e-10,1,1
361,1,0,5.0017719159473021e-10,1,1
362,1,0,5.0000000000000003e-10,1,1
363,1,8.8817841970012523e-16,5.0000088817841973e-10,1,1
364,0,2.7342234698579659e-08,2.7969887253772641e-08,1,1
365,1,8.8817841970012523e-16,5.6260325591256336e-10,1,1
366,1,2.2204460492503131e-15,6.8450840855166465e-10,1,1
367,1,0,6.5987389190286197e-10,1,1
368,1,4.4408920985006262e-16,5.0146949119539389e-10,1,1
369,1,7.8914652590356127e-13,5.0358646445874914e-10,1,1
370,0,7.6440818119749565e-08,7.6940817231571143e-08,1,1
371,2,0,inf,1,1
372,1,4.4408920985006262e-16,5.0035615954629978e-10,1,1
373,1,1.6564527527407336e-13,5.0001909583602358e-10,1,1
374,1,0,5.3849809360190196e-10,1,1
375,1,4.4408920985006262e-16,8.7655700779737348e-10,1,1
376,1,0,5.0055910831520126e-10,1,1
377,1,0,5.0000000000000003e-10,1,1
378,0,4.9629554688124244e-08,5.0167871593328525e-08,1,1
379,1,8.8817841970012523e-16,1.6215668394015665e-09,1,1
380,1,2.3980817331903381e-14,7.5336177600365775e-10,1,1
381,1,7.9936057773011271e-15,6.674931304762595e-10,1,1
382,1,1.7763568394002505e-15,5.0000177635683943e-10,1,1
383,1,1.3322676295501878e-15,9.8907367045103449e-10,1,1
384,1,2.6645352591003757e-14,7.387574582485286e-10,1,1
385,1,8.8817841970012523e-16,5.1094502266596467e-10,1,1
386,1,4.4408920985006262e-16,5.1164801588515732e-10,1,1
387,1,0,5.0000000000000003e-10,1,1
388,1,5.773159728050814e-15,5.0005639932965099e-10,1,1
389,1,4.4408920985006262e-16,5.1016786654872706e-10,1,1
390,1,4.4408920985006262e-16,5.0662137011886446e-10,1,1
391,1,6.6613381477509392e-15,5.0304023473063356e-10,1,1
392,1,4.4408920985006262e-16,5.0554623014181746e-10,1,1
393,1,2.2204460492503131e-15,5.0007416289804499e-10,1,1
394,1,0,1.0051501439368166e-09,1,1
395,1,4.7961634663806763e-14,7.7126834112323198e-10,1,1
396,1,4.4408920985006262e-16,5.1413136274663887e-10,1,1
397,1,0,5.0983080283845087e-10,1,1
398,1,4.4408920985006262e-16,8.4068925458541347e-10,1,1
399,1,4.4408920985006262e-16,5.0115685239165944e-10,1,1
400,1,0,5.1462741039404139e-10,1,1
401,2,5.5946358656910888e-11,5.0000000000000003e-10,2,2
402,1,4.4408920985006262e-16,5.0497557550716013e-10,1,1
403,1,0,5.0001998401444328e-10,1,1
404,1,8.8817841970012523e-16,5.0009192646643899e-10,1,1
405,1,1.0658141036401503e-14,2.549486358401964e-09,1,1
406,1,1.9095836023552692e-14,5.221143103829036e-10,1,1
407,1,3.9968028886505635e-15,9.8728798773822738e-10,1,1
408,1,0,5.0097699626167017e-10,1,1
409,1,7.9936057773011271e-15,5.9778533538451487e-10,1,1
410,1,0,5.0929878396505049e-10,1,1
411,1,4.4408920985006262e-16,5.0738964445190507e-10,1,1
412,1,4.4408920985006262e-16,5.0345590223105322e-10,1,1
413,0,3.7668462571360806e-08,3.816542100436254e-08,1,1
414,1,4.4408920985006262e-16,5.3266853454420019e-10,1,1
415,1,8.8817841970012523e-16,7.4011725940908949e-10,1,1
416,1,4.4408920985006262e-16,5.6486322590149033e-10,1,1
417,0,2.2907955532502911e-09,2.7907888919121432e-09,1,1
418,1,1.1546319456101628e-14,5.0001243449787583e-10,1,1
419,1,7.4971140406887571e-12,5.0608313399652619e-10,1,1
420,1,7.9936057773011271e-15,6.1001421995615604e-10,1,1
421,1,8.8817841970012523e-16,5.1335731525387021e-10,1,1
422,1,0,5.3813571680666431e-10,1,1
423,1,4.4408920985006262e-16,5.0000044408920988e-10,1,1
424,1,4.4408920985006262e-16,6.3477086113766748e-10,1,1
425,1,4.4408920985006262e-16,8.6561065286377928e-10,1,1
426,1,4.4408920985006262e-16,5.2000977161742415e-10,1,1
427,1,8.8817841970012523e-16,5.0502353714182394e-10,1,1
428,0,7.6439763851965381e-08,7.6953517738883645e-08,1,1
429,1,0,4.1787914936553537e-09,1,1
430,1,0,5.0180433445962084e-10,1,1
431,1,8.8817841970012523e-16,5.1095967760988973e-10,1,1
432,1,2.7436719562956569e-11,5.0030375701953747e-10,1,1
433,1,8.8817841970012523e-16,5.0112176934408129e-10,1,1
434,1,2.6645352591003757e-15,1.66515463943756e-09,1,1
435,1,4.4408920985006262e-16,5.0034239278079443e-10,1,1
436,1,4.4408920985006262e-16,5.0014210854715205e-10,1,1
437,1,3.0642155479654321e-14,2.1269252611778028e-09,1,1
438,1,4.4408920985006262e-16,3.6318112547751297e-09,1,1
439,1,6.2172489379008766e-15,9.9166626325813915e-10,1,1
440,1,4.4408920985006262e-16,5.0089750429310701e-10,1,1
441,1,3.1530333899354446e-14,2.5661312660763542e-09,1,1
442,1,0,5.0201039185299126e-10,1,1
443,1,1.9095836023552692e-14,5.0313615799996117e-10,1,1
444,1,4.4408920985006262e-16,5.3402922388318078e-10,1,1
445,1,9.3258734068513149e-15,9.9994985928947237e-10,1,1
446,1,4.4408920985006262e-16,1.0885913978431744e-09,1,1
447,1,3.1086244689504383e-15,5.2579758628940002e-10,1,1
448,1,0,5.0000000000000003e-10,1,1
449,1,4.4408920985006262e-16,5.0053246296261026e-10,1,1
450,1,0,5.0000000000000003e-10,1,1
451,1,4.4408920985006262e-16,5.2552669187139148e-10,1,1
452,1,4.4408920985006262e-16,5.0535038680027359e-10,1,1
453,1,4.4408920985006262e-15,5.0000444089209853e-10,1,1
454,1,8.8817841970012523e-16,5.1653654990718681e-10,1,1
455,1,3.9968028886505635e-15,7.1882273770756913e-10,1,1
456,1,3.1086244689504383e-15,6.3670575782498421e-10,1,1
457,1,0,5.0098099306455882e-10,1,1
458,1,4.4408920985006262e-15,6.7260193274637462e-10,1,1
459,1,1.2168044349891716e-13,5.0118527410108985e-10,1,1
460,1,2.7977620220553945e-14,5.5656275448018281e-10,1,1
461,1,4.4408920985006262e-16,5.5363176569517239e-10,1,1
462,1,1.7763568394002505e-15,5.1397504334477165e-10,1,1
463,1,1.3766765505351941e-14,2.4103998383229736e-09,1,1
