domain,sample_id,split,branch,parameter_index,relative_step,absolute_step,fd_gradient,reference_gradient,absolute_error,relative_error,minus_root_count,plus_root_count,branch_stable
cstr,cstr_0001687,cal,high_single,0,1e-3,0.0001111415947687749,11.80223632190041352689933,11.80107574877847060876893,0.0011605731219429181,9.8344688793566049e-5,1,1,1
cstr,cstr_0001687,cal,high_single,0,3e-4,3.3342478430632469e-5,11.80118017831798293425702,11.80107574877847060876893,0.00010442953951232549,8.849154241140685e-6,1,1,1
cstr,cstr_0001687,cal,high_single,0,1e-4,1.111415947687749e-5,11.80108735184540012915237,11.80107574877847060876893,1.1603066929520383e-5,9.8322112123730897e-7,1,1,1
cstr,cstr_0001687,cal,high_single,0,3e-5,3.3342478430632469e-6,11.80107679305229081905448,11.80107574877847060876893,1.0442738202102855e-6,8.848971419562139e-8,1,1,1
cstr,cstr_0001687,cal,high_single,0,1e-5,1.111415947687749e-6,11.8010758648088735533537,11.80107574877847060876893,1.1603040294458478e-7,9.8321886423443289e-9,1,1,1
cstr,cstr_0001696,cal,low_single,0,1e-2,0.0019735169020307107,0.9439176432337784492728831,0.9439199554012921277284951,2.3121675136784556e-6,2.4495376969707939e-6,1,1,1
cstr,cstr_0001696,cal,low_single,0,3e-3,0.00059205507060921322,0.9439197473050963378929693,0.9439199554012921277284951,2.0809619578983553e-7,2.2045957880122031e-7,1,1,1
cstr,cstr_0001696,cal,low_single,0,1e-3,0.00019735169020307107,0.943919932279481659581087,0.9439199554012921277284951,2.3121810468147408e-8,2.4495520341359399e-8,1,1,1
cstr,cstr_0001696,cal,low_single,0,3e-4,5.9205507060921322e-5,0.9439199533203290736384312,0.9439199554012921277284951,2.0809630540900638e-9,2.2045969493307051e-9,1,1,1
cstr,cstr_0001696,cal,low_single,0,1e-4,1.9735169020307107e-5,0.9439199551700740095137817,0.9439199554012921277284951,2.3121811821471338e-10,2.4495521775086827e-10,1,1,1
cstr,cstr_0001696,cal,low_single,0,3e-5,5.9205507060921322e-6,0.9439199553804824970779752,0.9439199554012921277284951,2.0809630650519884e-11,2.2045969609438981e-11,1,1,1
cstr,cstr_0001696,cal,low_single,0,1e-5,1.9735169020307107e-6,0.9439199553989799465449946,0.9439199554012921277284951,2.3121811835004578e-12,2.4495521789424102e-12,1,1,1
cstr,cstr_0001697,cal,high_single,0,1e-2,0.0044321510659169926,0.6556332220292619617100077,0.6556311523986980252418368,2.0696305639364682e-6,3.1566995502951609e-6,1,1,1
cstr,cstr_0001697,cal,high_single,0,3e-3,0.0013296453197750978,0.6556313386761042055655365,0.6556311523986980252418368,1.862774061803237e-7,2.8411921169213438e-7,1,1,1
cstr,cstr_0001697,cal,high_single,0,1e-3,0.00044321510659169926,0.6556311730962916850281067,0.6556311523986980252418368,2.069759365978627e-8,3.1568960053319413e-8,1,1,1
cstr,cstr_0001697,cal,high_single,0,3e-4,0.00013296453197750978,0.6556311542614825201862853,0.6556311523986980252418368,1.8627844949444486e-9,2.8412080300474565e-9,1,1,1
cstr,cstr_0001697,cal,high_single,0,1e-4,4.4321510659169926e-5,0.6556311526056740906441028,0.6556311523986980252418368,2.0697606540226599e-10,3.1568979699183221e-10,1,1,1
cstr,cstr_0001697,cal,high_single,0,3e-5,1.3296453197750978e-5,0.6556311524173258712345971,0.6556311523986980252418368,1.8627845992760328e-11,2.8412081891789802e-11,1,1,1
cstr,cstr_0001697,cal,high_single,0,1e-5,4.4321510659169926e-6,0.6556311524007677859087399,0.6556311523986980252418368,2.0697606669031025e-12,3.1568979895641895e-12,1,1,1
cstr,cstr_0001706,cal,low_single,0,1e-2,0.045815664112818139,0.02549070056139962720920217,0.02548858947473105867624454,2.111086668568533e-6,8.282477422540103e-5,1,1,1
cstr,cstr_0001706,cal,low_single,0,3e-3,0.013744699233845442,0.02548877945857300280949075,0.02548858947473105867624454,1.8998384194413325e-7,7.4536820537864561e-6,1,1,1
cstr,cstr_0001706,cal,low_single,0,1e-3,0.0045815664112818139,0.02548861058391049673695296,0.02548858947473105867624454,2.1109179438060708e-8,8.2818154605958008e-7,1,1,1
cstr,cstr_0001706,cal,low_single,0,3e-4,0.0013744699233845442,0.02548859137455581239715835,0.02548858947473105867624454,1.8998247537209138e-9,7.453628438734779e-8,1,1,1
cstr,cstr_0001706,cal,low_single,0,1e-4,0.00045815664112818139,0.0254885896858226843453232,0.02548858947473105867624454,2.1109162566907867e-10,8.2818088414955723e-9,1,1,1
cstr,cstr_0001706,cal,low_single,0,3e-5,0.00013744699233845442,0.02548858949372930484689128,0.02548858947473105867624454,1.8998246170646743e-11,7.453627902588047e-10,1,1,1
cstr,cstr_0001706,cal,low_single,0,1e-5,4.5815664112818139e-5,0.02548858947684197491606419,0.02548858947473105867624454,2.1109162398196471e-12,8.2818087753046219e-11,1,1,1
cstr,cstr_0001707,cal,high_triple,0,1e-2,7.3990314228098407e-7,0.0000002282528976000174121200303,0.0000002282300723102423211407676,2.2825289775090979e-11,0.00010001000106622078,3,3,1
cstr,cstr_0001707,cal,high_triple,0,3e-3,2.2197094268429522e-7,0.0000002282321263993812734800715,0.0000002282300723102423211407676,2.0540891389523393e-12,9.0000810066787925e-6,3,3,1
cstr,cstr_0001707,cal,high_triple,0,1e-3,7.3990314228098407e-8,0.0000002282303005405430125612223,0.0000002282300723102423211407676,2.2823030069142045e-13,1.0000010006620767e-6,3,3,1
cstr,cstr_0001707,cal,high_triple,0,3e-4,2.2197094268429522e-8,0.0000002282300928509506913052873,0.0000002282300723102423211407676,2.054070837016452e-14,9.0000008159497528e-8,3,3,1
cstr,cstr_0001707,cal,high_triple,0,1e-4,7.3990314228098407e-9,0.0000002282300745925430685749712,0.0000002282300723102423211407676,2.2823007474342036e-15,1.0000000106610755e-8,3,3,1
cstr,cstr_0001707,cal,high_triple,0,3e-5,2.2197094268429522e-9,0.0000002282300725156493865406416,0.0000002282300723102423211407676,2.0540706539987401e-16,9.0000000140496788e-10,3,3,1
cstr,cstr_0001707,cal,high_triple,0,1e-5,7.3990314228098407e-10,0.0000002282300723330653283891619,0.0000002282300723102423211407676,2.2823007248394262e-17,1.0000000007610754e-10,3,3,1
cstr,cstr_0001716,cal,low_triple,0,1e-2,2.676215737200384e-5,2.051353428733188234639392,2.051240963644805469221484,0.00011246508838276542,5.4827828800244242e-5,3,3,1
cstr,cstr_0001716,cal,low_triple,0,3e-3,8.0286472116011521e-6,2.051251084243772044608877,2.051240963644805469221484,1.0120598966575387e-5,4.9338908231397228e-6,3,3,1
cstr,cstr_0001716,cal,low_triple,0,1e-3,2.676215737200384e-6,2.051242088143506133578763,2.051240963644805469221484,1.1244987006643573e-6,5.4820409722427734e-7,3,3,1
cstr,cstr_0001716,cal,low_triple,0,3e-4,8.0286472116011521e-7,2.05124106484956265459741,2.051240963644805469221484,1.0120475718537593e-7,4.9338307385177894e-8,3,3,1
cstr,cstr_0001716,cal,low_triple,0,1e-4,2.676215737200384e-7,2.051240974889777260278465,2.051240963644805469221484,1.1244971791056981e-8,5.482033554495731e-9,3,3,1
cstr,cstr_0001716,cal,low_triple,0,3e-5,8.0286472116011521e-8,2.051240964656852917829195,2.051240963644805469221484,1.0120474486077111e-9,4.9338301376812696e-10,3,3,1
cstr,cstr_0001716,cal,low_triple,0,1e-5,2.676215737200384e-8,2.051240963757255185610497,2.051240963644805469221484,1.1244971638901388e-10,5.4820334803183936e-11,3,3,1
cstr,cstr_0001717,cal,high_single,0,1e-2,3.8334668305313713e-5,1.018865378584434166071127,1.018865366433761884656722,1.2150672281414406e-8,1.1925689773855259e-8,1,1,1
cstr,cstr_0001717,cal,high_single,0,3e-3,1.1500400491594114e-5,1.018865367527322369086192,1.018865366433761884656722,1.0935604844294701e-9,1.0733120591360923e-9,1,1,1
cstr,cstr_0001717,cal,high_single,0,1e-3,3.8334668305313713e-6,1.018865366555268604944755,1.018865366433761884656722,1.2150672028803318e-10,1.1925689525921532e-10,1,1,1
cstr,cstr_0001717,cal,high_single,0,3e-4,1.1500400491594114e-6,1.018865366444697489480555,1.018865366433761884656722,1.0935604823833204e-11,1.0733120571278291e-11,1,1,1
cstr,cstr_0001717,cal,high_single,0,1e-4,3.8334668305313713e-7,1.018865366434976951859349,1.018865366433761884656722,1.2150672026277207e-12,1.1925689523442195e-12,1,1,1
cstr,cstr_0001717,cal,high_single,0,3e-5,1.1500400491594114e-7,1.018865366433871240704958,1.018865366433761884656722,1.0935604823628589e-13,1.0733120571077465e-13,1,1,1
cstr,cstr_0001717,cal,high_single,0,1e-5,3.8334668305313713e-8,1.018865366433774035328748,1.018865366433761884656722,1.2150672026251946e-14,1.1925689523417402e-14,1,1,1
cstr,cstr_0001726,cal,low_single,0,1e-2,0.0041878453919481816,1.109061397480942316387055,1.109051838418274228296842,9.5590626680880902e-6,8.6191306275829192e-6,1,1,1
cstr,cstr_0001726,cal,low_single,0,3e-3,0.0012563536175844545,1.10905269959325474174008,1.109051838418274228296842,8.6117498051344324e-7,7.7649659888003785e-7,1,1,1
cstr,cstr_0001726,cal,low_single,0,1e-3,0.00041878453919481816,1.109051934112778487693244,1.109051838418274228296842,9.5694504259396401e-8,8.6284969687147863e-8,1,1,1
cstr,cstr_0001726,cal,low_single,0,3e-4,0.00012563536175844545,1.10905184703086555983246,1.109051838418274228296842,8.6125913315356183e-9,7.7657247688429653e-9,1,1,1
cstr,cstr_0001726,cal,low_single,0,1e-4,4.1878453919481816e-5,1.109051839375229660233716,1.109051838418274228296842,9.5695543193687349e-10,8.6285906464181143e-10,1,1,1
cstr,cstr_0001726,cal,low_single,0,3e-5,1.2563536175844545e-5,1.109051838504400225765994,1.109051838418274228296842,8.6125997469151759e-11,7.7657323567475754e-11,1,1,1
cstr,cstr_0001726,cal,low_single,0,1e-5,4.1878453919481816e-6,1.109051838427843783655147,1.109051838418274228296842,9.5695553583046108e-12,8.6285915831965767e-12,1,1,1
cstr,cstr_0001727,cal,high_single,0,1e-2,0.0095953387700270454,0.150963760831155733971651,0.1509446626314128694510289,1.9098199742864521e-5,0.00012652451176428694,1,1,1
cstr,cstr_0001727,cal,high_single,0,3e-3,0.0028786016310081136,0.1509463812753170345609895,0.1509446626314128694510289,1.71864390416511e-6,1.1385920337983819e-5,1,1,1
cstr,cstr_0001727,cal,high_single,0,1e-3,0.00095953387700270454,0.1509448535899511848405957,0.1509446626314128694510289,1.9095853831538957e-7,1.2650897023214749e-6,1,1,1
cstr,cstr_0001727,cal,high_single,0,3e-4,0.00028786016310081136,0.1509446798176619130577287,0.1509446626314128694510289,1.71862490436067e-8,1.1385794465335467e-7,1,1,1
cstr,cstr_0001727,cal,high_single,0,1e-4,9.5953387700270454e-5,0.1509446645409959069725986,0.1509446626314128694510289,1.9095830375215697e-9,1.2650881483530967e-8,1,1,1
cstr,cstr_0001727,cal,high_single,0,3e-5,2.8786016310081136e-5,0.1509446628032753408874948,0.1509446626314128694510289,1.7186247143646593e-10,1.1385793206622457e-9,1,1,1
cstr,cstr_0001727,cal,high_single,0,1e-5,9.5953387700270454e-6,0.1509446626505086995916816,0.1509446626314128694510289,1.9095830140652743e-11,1.2650881328134314e-10,1,1,1
cstr,cstr_0001736,cal,low_single,0,1e-2,0.00072013715886983417,1.697674438542694225902345,1.697653909846393419823953,2.0528696300806078e-5,1.2092391848385369e-5,1,1,1
cstr,cstr_0001736,cal,low_single,0,3e-3,0.00021604114766095025,1.697655757414238083361647,1.697653909846393419823953,1.8475678446635377e-6,1.0883065352411604e-6,1,1,1
cstr,cstr_0001736,cal,low_single,0,1e-3,7.2013715886983417e-5,1.697654115131564703780842,1.697653909846393419823953,2.0528517128395689e-7,1.209228630719741e-7,1,1,1
cstr,cstr_0001736,cal,low_single,0,3e-4,2.1604114766095025e-5,1.697653928322057353090815,1.697653909846393419823953,1.8475663933266862e-8,1.0883056803337832e-8,1,1,1
cstr,cstr_0001736,cal,low_single,0,1e-4,7.2013715886983417e-6,1.697653911899244953485695,1.697653909846393419823953,2.0528515336617422e-9,1.2092285251753625e-9,1,1,1
cstr,cstr_0001736,cal,low_single,0,3e-5,2.1604114766095025e-6,1.697653910031150057705281,1.697653909846393419823953,1.8475663788132782e-10,1.0883056717846861e-10,1,1,1
cstr,cstr_0001736,cal,low_single,0,1e-5,7.2013715886983417e-7,1.697653909866921935142653,1.697653909846393419823953,2.0528515318699633e-11,1.2092285241199184e-11,1,1,1
cstr,cstr_0001737,cal,high_triple,0,1e-2,2.6324116303273196e-8,0.8579628259636250495812069,0.8578770252554060516525519,8.5800708218997929e-5,0.00010001516032376954,3,3,1
cstr,cstr_0001737,cal,high_triple,0,3e-3,7.8972348909819589e-9,0.8578847466163953873336615,0.8578770252554060516525519,7.7213609893356811e-6,9.0005452553492587e-6,3,3,1
cstr,cstr_0001737,cal,high_triple,0,1e-3,2.6324116303273196e-9,0.8578778831775410738277481,0.8578770252554060516525519,8.579221350221752e-7,1.0000525830223227e-6,3,3,1
cstr,cstr_0001737,cal,high_triple,0,3e-4,7.8972348909819589e-10,0.8578771024683279361946218,0.8578770252554060516525519,7.721292188454207e-8,9.000465056347014e-8,3,3,1
cstr,cstr_0001737,cal,high_triple,0,1e-4,2.6324116303273196e-10,0.857877033834618908006954,0.8578770252554060516525519,8.5792128563544021e-9,1.0000515929191844e-8,3,3,1
cstr,cstr_0001737,cal,high_triple,0,3e-5,7.8972348909819589e-11,0.8578770260275352016977103,0.8578770252554060516525519,7.721291500451584e-10,9.0004642543642091e-10,3,3,1
cstr,cstr_0001737,cal,high_triple,0,1e-5,2.6324116303273196e-11,0.85787702534119817936671,0.8578770252554060516525519,8.5792127714158135e-11,1.0000515830181629e-10,3,3,1
cstr,cstr_0001746,cal,low_triple,0,1e-2,2.3247148352913064e-8,1.000116249509872433273259,1.000116249509370423952243,5.0200932101628447e-13,5.0195096946235646e-13,3,3,1
