domain,sample_id,branch,valid_steps,best_relative_error,convergence_observed
bem,bem_0000896,smooth,7,1.1574753605999974e-10,1
bem,bem_0000897,smooth,7,1.2413058363041378e-10,1
bem,bem_0000906,smooth,7,1.31851145529647e-10,1
bem,bem_0000907,smooth,7,1.681234330081496e-10,1
bem,bem_0000916,smooth,7,1.4366202800640393e-10,1
bem,bem_0000917,smooth,7,9.527374818010387e-11,1
bem,bem_0000926,smooth,7,9.790345624913566e-11,1
bem,bem_0000927,smooth,7,1.5361951468821445e-10,1
bem,bem_0000936,smooth,7,1.3299542393341387e-10,1
bem,bem_0000937,smooth,7,1.399479709614631e-10,1
bem,bem_0000946,smooth,7,1.3871525394041366e-10,1
bem,bem_0000947,smooth,7,1.1641742422936062e-10,1
bem,bem_0000956,smooth,7,1.0507460706283072e-10,1
bem,bem_0000957,smooth,7,1.2962568081271285e-10,1
bem,bem_0000966,smooth,7,1.8043806886516534e-10,1
bem,bem_0000967,smooth,7,1.1038636587632708e-10,1
bem,bem_0000976,smooth,7,1.2677799300713655e-10,1
bem,bem_0000977,smooth,7,1.219247737900887e-10,1
bem,bem_0000986,smooth,7,1.7550296990262493e-10,1
bem,bem_0000987,smooth,7,1.513057590795597e-10,1
bem,bem_0000996,smooth,7,1.1725263096772572e-10,1
bem,bem_0000997,smooth,7,1.3716377852559585e-10,1
bem,bem_0001006,smooth,7,1.3249399273931643e-10,1
bem,bem_0001007,smooth,7,7.430380295122068e-11,1
bem,bem_0001016,smooth,7,8.326490001531547e-11,1
bem,bem_0001017,smooth,7,1.28507101069178e-10,1
bem,bem_0001026,smooth,7,1.474158363669842e-10,1
bem,bem_0001027,smooth,7,1.2757988309386699e-10,1
bem,bem_0001036,smooth,7,1.7771139870038628e-10,1
bem,bem_0001037,smooth,7,1.6755863560973883e-10,1
bem,bem_0001046,smooth,7,1.837808061392951e-10,1
bem,bem_0001047,smooth,7,1.1392439839942423e-10,1
bem,bem_0001056,smooth,7,1.4623139732559857e-10,1
bem,bem_0001057,smooth,7,1.3618830597609253e-10,1
bem,bem_0001066,smooth,7,1.0544082355839334e-10,1
bem,bem_0001067,smooth,7,1.1456633241870546e-10,1
bem,bem_0001076,smooth,7,1.3322258576257134e-10,1
bem,bem_0001077,smooth,7,1.9683436551748663e-10,1
bem,bem_0001086,smooth,7,1.3647021637252874e-10,1
bem,bem_0001087,smooth,7,2.3917348617380597e-10,1
bem,bem_0001096,smooth,7,1.6179560295610913e-10,1
bem,bem_0001097,smooth,7,1.2878662078809112e-10,1
bem,bem_0001106,smooth,7,1.5360369124419298e-10,1
bem,bem_0001107,smooth,7,1.3544774078212292e-10,1
bem,bem_0001116,smooth,7,1.5684599854945734e-10,1
bem,bem_0001117,smooth,7,9.188567292790756e-11,1
bem,bem_0001126,smooth,7,8.463562142340496e-11,1
bem,bem_0001127,smooth,7,1.3001456787398327e-10,1
bem,bem_0001136,smooth,7,1.364711477342062e-10,1
bem,bem_0001137,smooth,7,1.2173385983184856e-10,1
bem,bem_0001146,smooth,7,1.443847105661517e-10,1
bem,bem_0001147,smooth,7,6.098327266894517e-11,1
bem,bem_0001156,smooth,7,1.2084963340418458e-10,1
bem,bem_0001157,smooth,7,6.483131164099713e-11,1
bem,bem_0001166,smooth,7,1.1885551259717835e-10,1
bem,bem_0001167,smooth,7,6.468259897475766e-11,1
bem,bem_0001176,smooth,7,1.4566438296380428e-10,1
bem,bem_0001177,smooth,7,4.489386470821789e-11,1
bem,bem_0001186,smooth,7,1.3336862886556832e-10,1
bem,bem_0001187,smooth,7,6.762737316360218e-11,1
bem,bem_0001196,smooth,7,1.2276865620928327e-10,1
bem,bem_0001197,smooth,7,1.299267686274606e-10,1
bem,bem_0001206,smooth,7,1.222003049299388e-10,1
bem,bem_0001207,smooth,7,1.1658743962575971e-10,1
bem,bem_0001216,smooth,7,1.298850674824904e-10,1
bem,bem_0001217,smooth,7,1.4921426661412922e-10,1
bem,bem_0001226,smooth,7,1.2321473150154947e-10,1
bem,bem_0001227,smooth,7,1.5067621178118297e-10,1
bem,bem_0001236,smooth,7,1.3555267641113258e-10,1
bem,bem_0001237,smooth,7,1.1457175585963663e-10,1
bem,bem_0001246,smooth,7,1.3406595640813345e-10,1
bem,bem_0001247,smooth,7,1.0612944137665148e-10,1
bem,bem_0001256,smooth,7,1.192698896977725e-10,1
bem,bem_0001257,smooth,7,1.346108723345889e-10,1
bem,bem_0001266,smooth,7,1.3276183410549285e-10,1
bem,bem_0001267,smooth,7,1.446143084608339e-10,1
bem,bem_0001276,smooth,7,1.2994719031667252e-10,1
bem,bem_0001277,smooth,7,7.817581324634764e-11,1
bem,bem_0001286,smooth,7,1.3841661237538269e-10,1
bem,bem_0001287,smooth,7,1.5996921844143457e-10,1
bem,bem_0001296,smooth,7,1.3034653091904093e-10,1
bem,bem_0001297,smooth,7,1.283617965076963e-10,1
bem,bem_0001306,smooth,7,1.512240523864077e-10,1
bem,bem_0001307,smooth,7,1.4685464787078558e-10,1
bem,bem_0001316,smooth,7,1.235953017644732e-10,1
bem,bem_0001317,smooth,7,1.3218854684146634e-10,1
bem,bem_0001326,smooth,7,1.2706000487633838e-10,1
bem,bem_0001327,smooth,7,1.3410194664459412e-10,1
bem,bem_0001336,smooth,7,1.834442919041999e-10,1
bem,bem_0001337,smooth,7,1.3521535800422562e-10,1
bem,bem_0001346,smooth,7,2.3835075551674563e-10,1
bem,bem_0001347,smooth,7,1.251272505066057e-10,1
bem,bem_0001356,smooth,7,1.9735231753638362e-10,1
bem,bem_0001357,smooth,7,1.5068192565487807e-10,1
bem,bem_0001366,smooth,7,1.150142873586286e-10,1
bem,bem_0001367,smooth,7,1.1897124810777494e-10,1
bem,bem_0001376,smooth,7,1.5409264441137466e-10,1
bem,bem_0001377,smooth,7,7.471785519659084e-11,1
bem,bem_0001386,smooth,7,2.733395217349891e-10,1
bem,bem_0001387,smooth,7,1.2092766127592197e-10,1
bem,bem_0001396,smooth,7,1.9190297110174127e-10,1
bem,bem_0001397,smooth,7,1.1554297359898297e-10,1
bem,bem_0001406,smooth,7,1.8244202322499243e-10,1
bem,bem_0001407,smooth,7,1.2434346610296344e-10,1
bem,bem_0001416,smooth,7,1.3621430532537181e-10,1
bem,bem_0001417,smooth,7,1.123948691870786e-10,1
bem,bem_0001426,smooth,7,1.3203691359701746e-10,1
bem,bem_0001427,smooth,7,1.5593203054353598e-10,1
bem,bem_0001436,smooth,7,5.523474928295528e-11,1
bem,bem_0001437,smooth,7,1.368408247184002e-10,1
bem,bem_0001446,smooth,7,1.4782178233543967e-10,1
bem,bem_0001447,smooth,7,1.1929326551317791e-10,1
bem,bem_0001456,smooth,7,1.1539588462608557e-10,1
bem,bem_0001457,smooth,7,1.4356416975695142e-10,1
bem,bem_0001466,smooth,7,1.49931740063951e-10,1
bem,bem_0001467,smooth,7,1.267273705921661e-10,1
bem,bem_0001476,smooth,7,1.429600222555041e-10,1
bem,bem_0001477,smooth,7,9.826466339152512e-11,1
bem,bem_0001486,smooth,7,1.4638543101201408e-10,1
bem,bem_0001487,smooth,7,1.322334114551572e-10,1
