domain,n,timing_kind,df32_speedup_vs_fp64,ci95_low,ci95_high,df32_faster
cstr,32768,e2e,0.8711716866621622,0.8679884601953629,0.8722956838770237,False
cstr,32768,kernel,0.8538058028245654,0.8519567696723045,0.8542667427180854,False
cstr,131072,e2e,1.0158706537273159,1.0145026283316612,1.0220809700478561,True
cstr,131072,kernel,1.0263826889294996,1.0207253245567576,1.0290756419042206,True
cstr,524288,e2e,1.0400805048630122,1.0339926453883195,1.0429676285419789,True
cstr,524288,kernel,1.044547113096086,1.039645073191165,1.0490444413259616,True
cstr,2097152,e2e,1.0469365998097646,1.0385172623986643,1.0608130925298238,True
cstr,2097152,kernel,1.0446332373988334,1.0441094767361632,1.0451351661809825,True
cstr,8388608,e2e,1.0429726829533599,1.041502750908823,1.0447745966117195,True
cstr,8388608,kernel,1.0388767926169495,1.0382715555615303,1.0397251291876957,True
cstr,16777216,e2e,1.0351981753358137,1.034487020304534,1.0368819420511501,True
cstr,16777216,kernel,1.0363824829404558,1.0355154694031352,1.0368134419689339,True
kepler,1,e2e,0.4900623318861038,0.48760132284167185,0.5762894001610586,False
kepler,1,kernel,0.4543545017346149,0.45344711605574584,0.4555667032683495,False
kepler,8,e2e,0.4379192314030414,0.4160003833769303,0.46830967983545624,False
kepler,8,kernel,0.4374345708305102,0.4372738740772597,0.4375180477842593,False
kepler,32,e2e,0.5026033316923157,0.5006449146753398,0.505999112019521,False
kepler,32,kernel,0.5340861581218026,0.5339134905882612,0.5347540248979289,False
kepler,128,e2e,0.6488278527116988,0.5850745562140609,0.650159757352099,False
kepler,128,kernel,0.5681609932503098,0.5671701280381545,0.5713205806666728,False
kepler,512,e2e,0.8551078791821543,0.851855536854828,0.8568967968986727,False
kepler,512,kernel,0.7616257902107986,0.7590827918038514,0.7646352388190335,False
kepler,2048,e2e,0.8348796131028835,0.5241761853137483,0.8391228859352374,False
kepler,2048,kernel,0.7822880862626787,0.7810274367304124,0.7849443690175041,False
kepler,8192,e2e,1.1453293187578413,0.9549207047475199,1.1704589724699495,False
kepler,8192,kernel,0.7963128478067261,0.792305195598705,0.7986398735206938,False
kepler,32768,e2e,0.9449527359216574,0.9300075543278814,0.952986007770717,False
kepler,32768,kernel,0.7935207914014499,0.78551492686536,0.7966637916379996,False
kepler,131072,e2e,0.9878740456438297,0.9817216143663678,0.9930867612806276,False
kepler,131072,kernel,0.9527153368235423,0.9491528653628051,0.9552359958727845,False
kepler,524288,e2e,0.9757048806373396,0.9505679462105545,0.9820738122502548,False
kepler,524288,kernel,0.9613607486563388,0.9588518901243483,0.9634708220500345,False
kepler,2097152,e2e,0.9931300827452763,0.9832004795402108,1.0013848356823107,False
kepler,2097152,kernel,0.962740380418962,0.9612113762962229,0.9633363028001286,False
kepler,8388608,e2e,0.9942621025113382,0.9900170255839715,1.0037419056380656,False
kepler,8388608,kernel,0.9394968555796164,0.9373034113252591,0.9408138716120895,False
kepler,16777216,e2e,0.9975650476764861,0.9882840351208858,1.001472705949905,False
kepler,16777216,kernel,0.9346260741175287,0.9339411666829681,0.9357189548447109,False
peng_robinson,1,e2e,0.9409135508770367,0.9243443027571382,0.9744347528337807,False
peng_robinson,1,kernel,0.9986428743023639,0.9981456275288246,0.999609890779498,False
peng_robinson,8,e2e,0.5633824682769168,0.5611732001371625,0.570446185670182,False
peng_robinson,8,kernel,0.40082974229178636,0.40071813062781614,0.4009344559395739,False
peng_robinson,32,e2e,0.507710866880418,0.4878242812269512,0.5108512877320409,False
peng_robinson,32,kernel,0.4333134856251241,0.43322601501388514,0.4333829437029785,False
peng_robinson,128,e2e,0.6455458181723137,0.5140541467144866,0.6829423276056446,False
peng_robinson,128,kernel,0.48540777609047775,0.4851912122985911,0.4857341505001589,False
peng_robinson,512,e2e,0.7838699929896069,0.7177626114994762,0.9037015627336171,False
peng_robinson,512,kernel,0.6733662018094679,0.6731318222776475,0.673663260351024,False
peng_robinson,2048,e2e,0.7953936233715193,0.7924802637447593,0.7997312526210176,False
peng_robinson,2048,kernel,0.7254472640029516,0.725007095137638,0.7259062903841121,False
peng_robinson,8192,e2e,0.8979670038594648,0.880960392528127,0.9006050847494882,False
peng_robinson,8192,kernel,0.7253399436967523,0.7242592591349857,0.7260869595752639,False
peng_robinson,32768,e2e,0.9074820547388436,0.8918567288313966,0.9279346165142914,False
peng_robinson,32768,kernel,0.7380386415271174,0.735046745290973,0.7415916878152534,False
peng_robinson,131072,e2e,0.9808452176467777,0.9746271748992181,0.9869888088450078,False
peng_robinson,131072,kernel,0.9421255772370203,0.9379063864290711,0.9443301834785234,False
peng_robinson,524288,e2e,0.9783593186939181,0.9669345734009014,0.9894858104052444,False
peng_robinson,524288,kernel,0.9282445366332837,0.9260839949482156,0.929899096770012,False
peng_robinson,2097152,e2e,0.9864883012208138,0.97086266268901,0.9960467756657957,False
peng_robinson,2097152,kernel,0.9400299740397176,0.9387243683293678,0.9414532342126981,False
peng_robinson,8388608,e2e,0.993900955370266,0.9874102983706895,0.9981691131280435,False
peng_robinson,8388608,kernel,0.9240912501795446,0.9211256779678262,0.9297465983647261,False
peng_robinson,16777216,e2e,0.9994910586539949,0.9974287221419231,1.0014632623913542,False
peng_robinson,16777216,kernel,0.9230040499806658,0.9218185525071317,0.9240608079307042,False
pv,1,e2e,0.15511820291036338,0.147181878555176,0.1838185458416286,False
pv,1,kernel,0.12802072070250914,0.12798751603996683,0.12804885518554743,False
pv,8,e2e,0.1977674368979922,0.16462549941296306,0.19954264242410638,False
pv,8,kernel,0.1505429088184207,0.15042379165858327,0.15063012432430656,False
pv,32,e2e,0.15811268233076775,0.12899254065674137,0.18166791994316295,False
pv,32,kernel,0.1444258012683997,0.1443570051283752,0.14446439112282555,False
pv,128,e2e,0.23103063418037706,0.18715320993431905,0.2616812533481859,False
pv,128,kernel,0.19677965943411452,0.19367500942265364,0.19684754858669343,False
pv,512,e2e,0.29781216384424136,0.2344619581988845,0.30705833608583877,False
pv,512,kernel,0.2676809018754066,0.26755610766189575,0.2677966900911546,False
pv,2048,e2e,0.3174139438423698,0.28080128410535893,0.3219266577853284,False
pv,2048,kernel,0.2706285265937316,0.2703927202550177,0.2708430798185699,False
pv,8192,e2e,0.3840122857733799,0.3763966295893789,0.41094731524634176,False
pv,8192,kernel,0.27135335950071005,0.27112265577584693,0.27163808762700553,False
pv,32768,e2e,0.6440916902746054,0.6328210834656924,0.6478855612383669,False
pv,32768,kernel,0.2847838198321647,0.2821760754429803,0.28751760789016556,False
pv,131072,e2e,0.7345464691877155,0.7274037001429354,0.7382200300490405,False
pv,131072,kernel,0.35292035829075835,0.3498556864796908,0.3541830487864068,False
pv,524288,e2e,0.7601786217822064,0.749167058187332,0.7637913509399015,False
pv,524288,kernel,0.35205956635093516,0.35011680008454693,0.35358849653187896,False
pv,2097152,e2e,0.7736344957902668,0.7661206109018025,0.7794564002580049,False
pv,2097152,kernel,0.3324942930539338,0.33195999169611623,0.3330711652563185,False
pv,8388608,e2e,0.7780275029093212,0.7705625487534519,0.7806650622662014,False
pv,8388608,kernel,0.3443656613834921,0.3440855497387661,0.34467770124466934,False
pv,16777216,e2e,0.7719892274071922,0.7695838200652816,0.7767873359404578,False
pv,16777216,kernel,0.3432278534437605,0.3422760892803625,0.34378740660501894,False
