domain,n,method,kernel_median_ms,e2e_median_ms,kernel_mroots_s,e2e_mroots_s,root_diff_p99,root_diff_max,wrong_root,iterations_p99,checksum
pv,32768,df32,0.14591999352,0.303232014179,224.561413481,108.062468565,1.71418435002e-13,5.26689802882e-13,0,51,1687236.03361
pv,32768,fp64_equivalent,0.0417920015752,0.192671999335,784.073477338,170.071417295,1.71418435002e-13,5.26689802882e-13,0,7,1687236.03361
pv,131072,df32,0.407328009605,0.978240013123,321.784893032,133.987567715,1.69642078163e-13,5.26689802882e-13,0,51,5136677.06995
pv,131072,fp64_equivalent,0.143968001008,0.72115200758,910.424532412,181.753636712,1.69642078163e-13,5.26689802882e-13,0,7,5136677.06995
pv,524288,df32,1.27740800381,3.65104007721,410.431121801,143.599628849,1.69642078163e-13,5.26689802882e-13,0,51,5136677.06995
pv,524288,fp64_equivalent,0.450592011213,2.7522559166,1163.55369592,190.493913316,1.69642078163e-13,5.26689802882e-13,0,7,5136677.06995
pv,2097152,df32,5.0729598999,13.9383039474,413.398103155,150.459626071,1.69642078163e-13,5.26689802882e-13,0,51,5136677.06995
pv,2097152,fp64_equivalent,1.68787205219,10.6486721039,1242.48280388,196.940236261,1.69642078163e-13,5.26689802882e-13,0,7,5136677.06995
pv,8388608,df32,20.3988800049,55.0273284912,411.228851682,152.444398629,1.69642078163e-13,5.26689802882e-13,0,51,5136677.06995
pv,8388608,fp64_equivalent,7.0221118927,42.663936615,1194.59902209,196.620580883,1.69642078163e-13,5.26689802882e-13,0,7,5136677.06995
pv,16777216,df32,40.7991676331,110.51990509,411.214663762,151.802663839,1.69642078163e-13,5.26689802882e-13,0,51,5136677.06995
pv,16777216,fp64_equivalent,14.0079679489,85.2411804199,1197.69091857,196.820549849,1.69642078163e-13,5.26689802882e-13,0,7,5136677.06995
cstr,1,df32,0.896509110928,0.927881598473,0.00111543763227,0.00107772371135,7.43537176273e-14,7.43537176273e-14,0,30,0.013106352801
cstr,1,fp64_equivalent,0.476515859365,0.529385626316,0.00209856604003,0.00188898215269,7.43537176273e-14,7.43537176273e-14,0,4,0.013106352801
cstr,8,df32,1.26553595066,1.28062713146,0.00632143243013,0.00624693933422,7.43537176273e-14,9.45632461224e-14,0,34,22.0587650549
cstr,8,fp64_equivalent,0.632870733738,0.678105592728,0.0126408120545,0.011797572658,7.43537176273e-14,9.45632461224e-14,0,4,22.0587650549
cstr,32,df32,1.29567229748,1.30806398392,0.0246976029836,0.0244636351076,9.41564534673e-14,9.45632461224e-14,0,36,120.872187463
cstr,32,fp64_equivalent,0.632938861847,0.677616000175,0.0505578057044,0.047224386661,9.41564534673e-14,9.45632461224e-14,0,4,120.872187463
cstr,128,df32,1.28207612038,1.29211199284,0.0998380657479,0.0990626205079,9.45632461224e-14,9.72555369572e-14,0,36,443.745736009
cstr,128,fp64_equivalent,0.710825264454,0.750902414322,0.180072384031,0.170461564058,9.45632461224e-14,9.72555369572e-14,0,4,443.745736009
cstr,512,df32,1.52808439732,1.52852475643,0.335060027378,0.334963498527,9.71445146547e-14,1.00253139124e-13,0,36,1903.84251692
cstr,512,fp64_equivalent,1.3434317112,1.35445439816,0.381113528684,0.37801198822,9.71445146547e-14,1.00253139124e-13,0,4,1903.84251692
cstr,2048,df32,1.53761601448,1.53558397293,1.3319320173,1.33369456578,9.78106484695e-14,1.08135722598e-13,0,36,7443.15323589
cstr,2048,fp64_equivalent,1.34358716011,1.35174405575,1.52427774007,1.51507971594,9.78106484695e-14,1.08135722598e-13,0,4,7443.15323589
cstr,8192,df32,1.54620158672,1.5584000349,5.29814486697,5.25667339356,9.73665592596e-14,1.08135722598e-13,0,36,29965.1891466
cstr,8192,fp64_equivalent,1.34552001953,1.37017595768,6.08835237015,5.97879414982,9.73665592596e-14,1.08135722598e-13,0,4,29965.1891466
cstr,32768,df32,1.51734399796,1.71436798573,21.5956302883,19.1137493659,9.74775815621e-14,1.35669253609e-13,0,36,121389.682075
cstr,32768,fp64_equivalent,1.29472005367,1.49369597435,25.3089460591,21.9375298338,9.74775815621e-14,1.35669253609e-13,0,4,121389.682075
cstr,131072,df32,5.24726390839,5.91273593903,24.9791133605,22.1677411864,9.74133967935e-14,1.71640479607e-13,0,36,371398.235481
cstr,131072,fp64_equivalent,5.37881612778,6.03391981125,24.3681875131,21.7225293176,9.74133967935e-14,1.71640479607e-13,0,4,371398.235481
cstr,524288,df32,17.0597763062,19.4923191071,30.7324076583,26.8971586767,9.74133967935e-14,1.71640479607e-13,0,36,371398.235481
cstr,524288,fp64_equivalent,17.7856006622,20.2847042084,29.4782284814,25.8464700601,9.74133967935e-14,1.71640479607e-13,0,4,371398.235481
cstr,2097152,df32,64.5506591797,72.2917785645,32.4884676106,29.0095504862,9.74133967935e-14,1.71640479607e-13,0,36,371398.235481
cstr,2097152,fp64_equivalent,67.4523544312,75.7652816772,31.0908643247,27.6795908835,9.74133967935e-14,1.71640479607e-13,0,4,371398.235481
cstr,8388608,df32,255.780166626,289.479888916,32.796162856,28.9782065048,9.74133967935e-14,1.71640479607e-13,0,36,371398.235481
cstr,8388608,fp64_equivalent,265.666503906,301.956115723,31.575708178,27.7808845829,9.74133967935e-14,1.71640479607e-13,0,4,371398.235481
