timestamp, index, name, temperature.gpu, power.draw [W], power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%]
2026/08/24 16:39:29.960, 0, NVIDIA GeForce RTX 5090, 54, 227.63 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:29.960, 1, NVIDIA GeForce RTX 5090, 37, 13.33 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:30.164, 0, NVIDIA GeForce RTX 5090, 54, 228.22 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:30.165, 1, NVIDIA GeForce RTX 5090, 37, 13.33 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:30.368, 0, NVIDIA GeForce RTX 5090, 54, 228.22 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:30.369, 1, NVIDIA GeForce RTX 5090, 37, 13.37 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:30.573, 0, NVIDIA GeForce RTX 5090, 54, 228.29 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:30.573, 1, NVIDIA GeForce RTX 5090, 37, 13.37 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:30.777, 0, NVIDIA GeForce RTX 5090, 54, 228.29 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:30.777, 1, NVIDIA GeForce RTX 5090, 37, 13.37 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:30.982, 0, NVIDIA GeForce RTX 5090, 54, 228.29 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:30.982, 1, NVIDIA GeForce RTX 5090, 37, 13.37 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:31.186, 0, NVIDIA GeForce RTX 5090, 54, 228.13 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:31.186, 1, NVIDIA GeForce RTX 5090, 37, 13.51 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:31.393, 0, NVIDIA GeForce RTX 5090, 54, 228.13 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:31.393, 1, NVIDIA GeForce RTX 5090, 37, 13.51 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:31.597, 0, NVIDIA GeForce RTX 5090, 55, 227.59 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:31.597, 1, NVIDIA GeForce RTX 5090, 37, 13.51 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:31.798, 0, NVIDIA GeForce RTX 5090, 55, 227.59 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:31.798, 1, NVIDIA GeForce RTX 5090, 37, 14.43 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:32.000, 0, NVIDIA GeForce RTX 5090, 55, 227.59 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:32.000, 1, NVIDIA GeForce RTX 5090, 37, 14.43 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:32.201, 0, NVIDIA GeForce RTX 5090, 55, 228.53 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:32.201, 1, NVIDIA GeForce RTX 5090, 37, 15.08 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:32.402, 0, NVIDIA GeForce RTX 5090, 55, 228.53 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:32.403, 1, NVIDIA GeForce RTX 5090, 37, 15.08 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:32.606, 0, NVIDIA GeForce RTX 5090, 55, 228.28 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:32.607, 1, NVIDIA GeForce RTX 5090, 37, 15.08 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:32.810, 0, NVIDIA GeForce RTX 5090, 55, 228.28 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:32.812, 1, NVIDIA GeForce RTX 5090, 37, 16.73 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:33.016, 0, NVIDIA GeForce RTX 5090, 55, 228.28 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
2026/08/24 16:39:33.016, 1, NVIDIA GeForce RTX 5090, 37, 16.73 W, 600.00 W, 195 MHz, 405 MHz, 0 %
2026/08/24 16:39:33.220, 0, NVIDIA GeForce RTX 5090, 55, 227.09 W, 600.00 W, 2902 MHz, 13801 MHz, 100 %
