split,path,gate,index,accepted,truth_good,false_accept,false_reject,root_abs,rho,tightness,beta,h,branch_distance,gradient_bound,residual,bracket,status
cal,fp32,residual,91,0,0,0,0,1.056364486062833e-05,1.0727386082943624e-05,1.0155004474758114,1.054109271571193e-05,0.034129128522734489,0.0038628180464272475,0,1.008225712301353e-06,0,1
cal,fp32,residual,92,0,0,0,0,8.9766257183043763e-07,inf,inf,8.9766522832764089e-07,4.2008145191181298e-05,7.9748448616301121e-07,0,1.5615790496514979e-06,0,1
cal,fp32,residual,93,0,0,0,0,1.3349595675116177e-05,1.3592532992594099e-05,1.0181981030280012,1.3375753509595422e-05,0.031388144056467587,0.0045339365442606605,0,1.6114063112387122e-06,0,1
cal,fp32,residual,94,0,0,0,0,1.0273008932415451e-07,1.0415220020121166e-07,1.013843177655281,1.0273019898246298e-07,0.026933400928318856,3.3764382776856414e-07,0,9.2465093238353967e-08,0,1
cal,fp32,residual,95,0,0,0,0,7.5542248909599152e-06,7.5946245611657598e-06,1.0053479570424479,7.5485304866017217e-06,0.012064932323816866,0.0078698130698133077,0,1.0688251865134647e-06,0,1
cal,fp32,residual,96,0,0,0,0,9.2857891775821599e-07,inf,inf,9.2857777322659247e-07,2.6609780619163147e-05,1.3783277731892907e-06,0,1.3357632565875809e-06,0,1
cal,fp32,residual,97,0,0,0,0,1.5696304300760744e-07,inf,inf,1.5696302725019786e-07,3.5464158670653318e-06,0.037578638589641007,0,2.3752616286955112e-07,0,1
cal,fp32,residual,98,0,0,0,0,7.3514666887319891e-07,inf,inf,7.351527591766427e-07,0.00013385582490517783,0.0022349301229229483,0,1.3721027952225114e-06,0,1
cal,fp32,residual,99,0,0,0,0,7.6254884850968097e-07,inf,inf,7.6254125816989147e-07,0.00016298176559447267,2.422887782895684e-06,0,1.3764105488464957e-06,0,1
cal,fp32,residual,100,0,0,0,0,4.1231513447925749e-07,4.13277034775047e-07,1.0023329250259134,4.1231516491764146e-07,1.5833344751718563e-11,0.12824332714080811,0,4.1572907100392917e-07,0,1
cal,fp32,residual,101,0,0,0,0,1.7893321403672502e-05,1.8075050216595854e-05,1.0101562370017034,1.7913155619059508e-05,0.01775315013703048,0.00042553919356944417,0,1.6785106381837345e-06,0,1
cal,fp32,residual,102,0,0,0,0,3.1900810371077171e-06,3.1912392800820612e-06,1.0003630763484912,3.1899162509037007e-06,0.00082881950157910622,0.0070773870004007342,0,1.50308348191953e-06,0,1
cal,fp32,residual,103,0,0,0,0,2.1923307302884609e-07,2.1974252502358855e-07,1.0023237916966818,2.1923373007335106e-07,4.248693728577271e-05,0.0061710493737497877,0,1.1330562896538407e-07,0,1
cal,fp32,residual,104,0,0,0,0,7.1591130179626816e-07,7.1605351599528198e-07,1.000198647791503,7.159113336906888e-07,2.9217013700558924e-11,0.19909405708312988,0,7.3033842235238122e-07,0,1
cal,fp32,residual,105,0,0,0,0,1.5759951708105291e-05,1.5923269803821378e-05,1.0103628550861672,1.573716782924852e-05,0.023101652426691908,0.001348125767067799,0,1.0615486465416699e-06,0,1
cal,fp32,residual,106,0,0,0,0,7.9412177411697371e-07,7.9548540664205293e-07,1.0017171579593009,7.9427626338188961e-07,0.0030353928407869032,0.0035751958330640442,0,6.6951408073499735e-08,0,1
cal,fp32,residual,107,0,0,0,0,1.9777599161940884e-05,2.1242371682493462e-05,1.0740622008039944,1.9599603133465795e-05,0.14270777856500103,0.0027602699538235636,0,9.7127332440136606e-07,0,1
cal,fp32,residual,108,0,0,0,0,1.1673608219631149e-05,1.2111658143398126e-05,1.0375248094269878,1.1719227129018209e-05,0.062702532451034368,0.0030958292027478173,0,7.5399399299285117e-07,0,1
cal,fp32,residual,109,0,0,0,0,2.2171053615238634e-07,2.2221053615238635e-07,1.0022551927782826,2.217104563065114e-07,6.9735637592592191e-06,0.0034591312423011911,0,3.7584656085320049e-07,0,1
cal,fp32,residual,110,0,0,0,0,6.1051774569165218e-07,6.1061383137662495e-07,1.0001573839346207,6.1052863361942653e-07,0.00027901716385768523,0.0017977824900299311,0,1.0715810325774113e-07,0,1
cal,fp32,residual,111,0,0,0,0,5.8937525162505722e-06,5.9017549137657028e-06,1.0013577763051751,5.8946402263544743e-06,0.0024081347370326326,0.00038364416104741395,0,1.1166560287452643e-06,0,1
cal,fp32,residual,112,0,0,0,0,1.0036783653077919e-06,1.0041798081536347e-06,1.0004996051157176,1.0036651710880387e-06,0.00021290442595777215,0.004650583888371156,0,5.0793920242989966e-07,0,1
cal,fp32,residual,113,0,0,0,0,3.7815734366120068e-07,3.786573632011259e-07,1.0013222526239585,3.7815710093809826e-07,1.1155454514045103e-05,0.0012481376570499698,0,5.0327549100690262e-07,0,1
cal,fp32,residual,114,0,0,0,0,1.0614519485585561e-07,1.0663963263850223e-07,1.0046581268546171,1.0614522499322536e-07,3.8957578571848412e-06,4.4876031828857803e-07,0,1.6915548390563628e-07,0,1
cal,fp32,residual,115,0,0,0,0,1.12848092284068e-05,1.132298021646083e-05,1.0033825107081069,1.1289026394260363e-05,0.0059793456178284131,0.0034755738452076912,0,1.7873508254341326e-06,0,1
cal,fp32,residual,116,0,0,0,0,3.2782925432073284e-06,3.279592874092289e-06,1.0003966488249059,3.2784372749133342e-06,0.00070447280240634638,0.0048123695207439466,0,1.6519947990475299e-06,0,1
cal,fp32,residual,117,0,0,0,0,2.3275658520560683e-06,2.3280585703252942e-06,1.0002116882187417,2.3275011730726204e-06,0.0004463740326160181,0.0060272382670670732,0,1.2071067069293877e-06,0,1
cal,fp32,residual,118,0,0,0,0,1.5108970430333102e-06,1.5113999225077469e-06,1.0003328350378045,1.5109239123721796e-06,0.00028260081325677847,0.0056796910339610238,0,7.9011087687733039e-07,0,1
cal,fp32,residual,119,0,0,0,0,1.8610677385844099e-06,1.8615677434693912e-06,1.0002686656023394,1.8611159753873555e-06,0.00041247175804887072,0.0051958658052257013,0,9.2802036866940339e-07,0,1
cal,fp32,residual,120,0,0,0,0,7.9451357595239358e-06,7.9824917574563863e-06,1.0047017444463011,7.9492555281737001e-06,0.0082926100180883006,0.0059763076157507778,0,1.5263674484797101e-06,0,1
cal,fp32,residual,121,0,0,0,0,6.5501277544122161e-06,6.6042459542168953e-06,1.0082621594316576,6.5560668763507948e-06,0.014483895292047258,0.0046777457883128764,0,8.2281518589794821e-07,0,1
cal,fp32,residual,122,0,0,0,0,1.0628506306176178e-06,1.0640113220174371e-06,1.0010920550511833,1.0629803683165432e-06,0.0019359846205370011,0.0022589264159209831,0,5.9542187314195749e-08,0,1
cal,fp32,residual,123,0,0,0,0,2.3967581967987428e-06,2.3974449167576972e-06,1.0002865203339544,2.3966606068436752e-06,0.00065407411548476003,0.0076286629093490635,0,1.1087181329644002e-06,0,1
cal,fp32,residual,124,0,0,0,0,2.5307337780944295e-07,2.536375504766231e-07,1.002229284929389,2.5307338954439182e-07,1.2287898359247784e-06,0.00276501985053626,0,2.4646458412505129e-07,0,1
cal,fp32,residual,125,0,0,0,0,3.3390981506453699e-05,3.4631166414772182e-05,1.0371413133836387,3.3227898491785068e-05,0.077756952303107266,0.001564040788024437,0,1.5102341151094406e-06,0,1
cal,fp32,residual,126,0,0,0,0,2.0755795309135294e-06,2.0777611150716652e-06,1.00105107230325,2.0752703171931968e-06,0.0023947044907852459,0.0064796464891367193,0,3.7189318203150145e-07,0,1
cal,fp32,residual,127,0,0,0,0,7.9078900494522486e-07,7.9128901782381198e-07,1.0006322961946363,7.9079783642636155e-07,0.00017577430179000996,0.0052318185818983759,0,3.9392628463568822e-07,0,1
cal,fp32,residual,128,0,0,0,0,3.6803928411544007e-06,3.6918596906011819e-06,1.0031156590999086,3.6816654964180913e-06,0.0055072761088804613,0.005756327225781851,0,5.9013862520522889e-07,0,1
cal,fp32,residual,129,0,0,0,0,2.7892188247946592e-07,2.7942188247946591e-07,1.001792616612061,2.789218273619273e-07,4.3497054309295404e-06,0.0016211655147658633,0,3.9439971361271293e-07,0,1
cal,fp32,residual,130,0,0,0,0,4.3420588102804913e-07,4.3470597783949687e-07,1.0011517504329137,4.3420579473979377e-07,4.0642511575197834e-06,0.010443629965685942,0,5.4846258275587275e-07,0,1
cal,fp32,residual,131,0,0,0,0,3.7636447358657676e-06,3.765737383594551e-06,1.0005560162756175,3.7638775091553646e-06,0.00098729978717281876,0.0071852453304121072,0,1.7672867098821778e-06,0,1
