channel,unit,finite,nonfinite,min,median,max
AB2N007The,deg,48001,0,10.1603504204767,10.169252549871727,10.183543508199211
AB2N008The,deg,48001,0,9.008211415542604,9.024469391194772,9.050526839221767
AB2N009The,deg,48001,0,7.790810855442568,7.81797087372531,7.861266922013521
AB2N010The,deg,48001,0,6.53823615938322,6.580715567820036,6.6479399922093725
AB2N011The,deg,48001,0,5.353645305533394,5.416603934561207,5.515368067710151
AB2N012The,deg,48001,0,4.178972412360547,4.2674436315172635,4.404846900612409
AB2N013The,deg,48001,0,3.114006753247172,3.231928133975849,3.4133986497587965
AB2N014The,deg,48001,0,2.3055235596184223,2.454336175215459,2.681974710074319
AB2N015The,deg,48001,0,1.5094492298368227,1.6869539135373621,1.9572897413243298
AB2N016The,deg,48001,0,0.8437826007810783,1.0394850565148712,1.3368096670619907
AB2N017The,deg,48001,0,0.34921050066731074,0.553421189309903,0.862909033591449
AB2N018The,deg,48001,0,0.0844898553970534,0.29170331534356925,0.6051740575935625
AB2N019The,deg,48001,0,0.0845431098208376,0.29108620585139583,0.6032216503404082
AB3N001The,deg,48001,0,13.307999999999982,13.308000000000002,13.308000000000026
AB3N002The,deg,48001,0,13.307995118555846,13.308006037007276,13.308019106669068
AB3N003The,deg,48001,0,13.30794500523536,13.308089700810141,13.30826945583249
AB3N004The,deg,48001,0,13.307821117507258,13.308365362566823,13.30906199349344
AB3N005The,deg,48001,0,13.307525375043491,13.30923290230641,13.31149277595841
AB3N006The,deg,48001,0,11.478908437854916,11.483431256718756,11.489579693543408
AB3N007The,deg,48001,0,10.159921617678723,10.169324794003613,10.182292200108462
AB3N008The,deg,48001,0,9.007590455972904,9.024594946207703,9.04823264563227
AB3N009The,deg,48001,0,7.7900373457889796,7.818214008695475,7.857472711027888
AB3N010The,deg,48001,0,6.537284096581428,6.581174012738652,6.642578784156351
AB3N011The,deg,48001,0,5.352287446447539,5.417332311154873,5.508783823204016
AB3N012The,deg,48001,0,4.1767871283567874,4.268562658016875,4.3987526073329075
AB3N013The,deg,48001,0,3.1104547630492427,3.233385784140961,3.408902913955435
AB3N014The,deg,48001,0,2.3002406751938285,2.4561574743035677,2.680066877039136
AB3N015The,deg,48001,0,1.502456338585165,1.6890691040386805,1.9582777200530381
AB3N016The,deg,48001,0,0.8356490151019127,1.0417292107302334,1.3398443023000253
AB3N017The,deg,48001,0,0.34065791183162203,0.5555789006871572,0.867341663555353
AB3N018The,deg,48001,0,0.07590685193386164,0.2937345435387801,0.6106906728399719
AB3N019The,deg,48001,0,0.07610680865903316,0.2930813035908296,0.6092305963605522
AB1N001AxI,-,48001,0,1.0,1.0,1.0
