index,h_relative,near_knot,fd,min_side_relative_error,branch_change,status
101,0.001,0,0.1400525112204358,0.013236989444829893,0,1
102,0.001,0,0.028252132852978409,1.2735330027221625e-05,0,1
103,0.001,0,0.026905248819809973,6.2835998133793974e-06,0,1
104,0.001,0,0.074508293890321473,6.8400663129563435e-07,0,1
105,0.001,0,0.21224705618475478,0.014292557118640775,0,1
106,0.001,0,0.17086099521567236,0.072656736613636724,0,1
107,0.001,0,1.8172173706289747,5.6551548769966997,1,1
108,0.001,0,1.615307296276393,7.9449758228297611,1,1
109,0.001,0,0.028320113281085919,1.3009084581982079e-08,0,1
110,0.001,0,0.066153550996929128,0.000209544769372935,0,1
111,0.001,0,0.073140606969606378,0.0001427933027179022,0,1
112,0.001,0,0.027358403162770679,8.1399125922457697e-06,0,1
113,0.001,0,0.011882592911627032,2.1326767441484757e-08,0,1
114,0.001,1,0.013853479179331388,0.001471312273101457,0,1
115,0.001,0,0.076777555359488894,0.00034181625659788952,0,1
116,0.001,0,0.022493257405191265,8.3676348822999219e-06,0,1
117,0.001,0,0.028160901441536032,6.0497403508257334e-06,0,1
118,0.001,0,0.029425760541149378,5.7422169498009232e-06,0,1
119,0.001,0,0.029318811657335214,8.6151038519730549e-06,0,1
120,0.001,0,0.059689487080836892,0.00084793095340369236,0,1
121,0.001,0,0.10405108393757004,0.0091332909830105519,0,1
122,0.001,0,0.2769806207603962,0.033437450552579448,0,1
123,0.001,0,0.031674150529463325,1.4255305141864662e-05,0,1
124,0.001,0,0.021352178008665214,2.3394504824022753e-07,0,1
125,0.001,0,0.29244890169142207,0.1147397553126894,0,1
126,0.001,0,0.062671263641686112,0.0011823445736873839,0,1
127,0.001,0,0.023357637996591261,9.0132362548969206e-06,0,1
128,0.001,0,0.069186189600491374,0.0026688697080068102,0,1
129,0.001,0,0.023437231086102881,4.8239872461004315e-09,0,1
130,0.001,0,0.027387939105056314,5.6856026503407647e-08,0,1
131,0.001,0,0.027384008876792463,1.2991728381001374e-05,0,1
132,0.001,0,0.10004488429264204,0.0005089526186330221,0,1
133,0.001,0,0.023270255151839971,3.6133986050393251e-07,0,1
134,0.001,0,0.071676533045099952,0.00080761037374474257,0,1
135,0.001,0,0.094941481310573228,0.0026407131749066333,0,1
136,0.001,0,0.025290287096463939,1.1175590861270932e-05,0,1
137,0.001,1,0.016853552227743141,0.0049415852790547585,0,1
138,0.001,0,0.030212592062090537,1.4529819879996538e-05,0,1
139,0.001,0,0.07040743926470544,0.0028008781597233467,0,1
140,0.001,0,0.012111909628032049,8.3578014494974612e-09,0,1
141,0.001,0,7.6915565859492343,15.998627456607416,1,1
142,0.001,0,0.058693756519164586,3.5493528313040635e-08,0,1
143,0.001,0,0.081011648740163381,0.00015940004513170382,0,1
144,0.001,0,0.077966407453032807,0.0012057764183585828,0,1
145,0.001,0,0.067003332736289889,0.0017114312697195952,0,1
146,0.001,0,0.089333819329772954,0.0033767544605730658,0,1
147,0.001,0,0.029825564019609948,9.2784777961875633e-06,0,1
148,0.001,0,0.057920192326159178,0.00080268578163742365,0,1
149,0.001,0,0.076560688829204152,0.00017912015958412576,0,1
150,0.001,0,0.16958563398330317,0.065270731866836518,0,1
151,0.001,0,0.32192230607085148,0.065144641772013845,0,1
152,0.001,0,0.012349314036059824,1.3757249907939427e-08,0,1
153,0.001,0,0.081856944631884629,0.0014815728374445404,0,1
154,0.001,0,0.083837644695802335,0.0027837026260862535,0,1
155,0.001,0,0.029074469592618963,5.9296946367769873e-06,0,1
156,0.001,0,0.012213025537965484,6.7543605804068479e-09,0,1
157,0.001,0,0.05725869721046125,0.00085326097753348916,0,1
158,0.001,0,0.021835658432986377,1.023298757395323e-08,0,1
159,0.001,0,0.028396308238047358,1.1526912123741863e-05,0,1
160,0.001,0,1.838446673226406,7.3625831184199093,1,1
161,0.001,0,0.088603680276980706,0.00032820350812877755,0,1
162,0.001,0,0.11488926549572921,0.010033246034415281,0,1
163,0.001,0,0.026091612457353992,1.2128243251834767e-05,0,1
164,0.001,0,0.029893578511513287,5.8710127916688931e-06,0,1
165,0.001,0,8.3082276525697125,18.327424425253493,1,1
166,0.001,0,0.075057426549224773,0.0013848672247826887,0,1
167,0.001,0,0.076628292579916157,0.00014983936005989986,0,1
168,0.001,0,0.2104041470128612,0.023394130860837029,0,1
169,0.001,0,-1.6694574268088198,15.790070713212037,1,1
170,0.001,0,0.029739031303181718,5.515354696753865e-06,0,1
171,0.001,0,0.029365445119654984,5.7421348369939358e-06,0,1
172,0.001,0,0.23570981771330596,0.051437198854283828,0,1
173,0.001,0,0.30406280416525377,0.1183053376275847,0,1
174,0.001,0,0.078598688236063474,0.00016387378224517953,0,1
175,0.001,0,0.023481726819066375,8.3397390356383497e-06,0,1
176,0.001,0,0.092645591308636172,0.0050044225479818558,0,1
177,0.001,0,0.026430862230862488,1.4357955058681259e-05,0,1
178,0.001,0,0.026258490970276206,5.5377722144094159e-06,0,1
179,0.001,0,0.029731630488438961,5.9072257771529959e-06,0,1
180,0.001,0,0.11653262548764098,0.0020012495906806347,0,1
181,0.001,0,0.083923381321004673,0.0031057759444977524,0,1
182,0.001,0,0.071577687850865768,0.0027747468827613456,0,1
183,0.001,0,5.4118257273673809,6.74241293076589,1,1
184,0.001,0,0.095275208706161754,0.00036326101988575117,0,1
185,0.001,0,0.026918713228471332,1.0207229377705846e-05,0,1
186,0.001,0,0.027394668239657152,1.4015115008371964e-05,0,1
