domain,n,method,timing_kind,median_ms,p05_ms,p95_ms,fp64_over_method_median,ci95_low,ci95_high
cstr,1,fp32,kernel,0.02867267187685,0.0286665912718,0.028897728771,11.626005921971668,11.623788897184319,11.626646365345568
cstr,1,fp64,e2e,0.3392902314665,0.335500478745,0.342440634966,1.0,1.0,1.0
cstr,1,fp64,kernel,0.3333459943535,0.333271890879,0.333741784096,1.0,1.0,1.0
cstr,8,adaptive_frozen_v3,e2e,0.37075343728050003,0.370613127947,0.373766094446,0.9274146103065648,0.9269515916464384,0.9295902214000411
cstr,8,adaptive_frozen_v3,kernel,0.364168062806,0.363948553801,0.364434927702,0.9219815685207454,0.9214770261257742,0.9220737675093973
cstr,8,adaptive_no_gradient_gate_v3,e2e,0.3707673549655,0.370605111122,0.373874902725,0.9272789996337021,0.9264455419470998,0.929544580285818
cstr,8,adaptive_no_gradient_gate_v3,kernel,0.364249512553,0.363955020905,0.364592283964,0.921783180942126,0.9214664996350133,0.9219853371881682
cstr,8,fp32,e2e,0.037533279508350004,0.0372736006975,0.0376556813717,9.1887126213181,9.16805493022574,9.215575252361663
cstr,8,fp32,kernel,0.02868177648635,0.0286753922701,0.0289052799344,11.70189698797784,11.699400217460457,11.70516138757525
cstr,8,fp64,e2e,0.344476789236,0.343425899744,0.347091823816,1.0,1.0,1.0
cstr,8,fp64,kernel,0.33567307889450004,0.335532605648,0.336011767387,1.0,1.0,1.0
cstr,32,adaptive_frozen_v3,e2e,0.37162464857099997,0.368763506413,0.380785286427,0.9285977225013087,0.9247964093302508,0.9327883923724798
cstr,32,adaptive_frozen_v3,kernel,0.36482475698,0.364497959614,0.364987760782,0.9174161843618223,0.9172410353444604,0.9176698404870997
cstr,32,adaptive_no_gradient_gate_v3,e2e,0.37028017640099997,0.368743360043,0.380814701319,0.9316186456464662,0.9277400914343907,0.9327605923983132
cstr,32,adaptive_no_gradient_gate_v3,kernel,0.3654742240905,0.365253567696,0.365774691105,0.9154913208699129,0.9152315071721063,0.9158561566431854
