effective_irradiance_W_m2,cell_temperature_C,IL_A,I0_A,Rs_ohm,Rsh_ohm,nNsVth_V,i_sc,v_oc,i_mp,v_mp,p_mp
800,0,4.0084527966248,8.352369653525143e-12,1.066023,476.56803125,2.414902521884957,3.999506401666404,64.8699162506573,3.711942887446401,53.44885361826393,198.3990920304786
850,0,4.25898109641385,8.352369653525143e-12,1.066023,448.5346176470589,2.414902521884957,4.248882863859052,65.01612746540377,3.942366494078801,53.36521141471246,210.385221430794
900,0,4.509509396202899,8.352369653525143e-12,1.066023,423.6160277777778,2.414902521884957,4.498189773090743,65.15397905159739,4.172576356589897,53.27389644203051,222.2894007174351
950,0,4.760037695991949,8.352369653525143e-12,1.066023,401.3204473684211,2.414902521884957,4.747427158455607,65.2843754535329,4.402567827251184,53.17578321328313,234.1099923636839
1000,0,5.010565995781,8.352369653525143e-12,1.066023,381.254425,2.414902521884957,4.996595049031538,65.40808183740774,4.632336131362019,53.07161292617179,245.8455501075652
1050,0,5.26109429557005,8.352369653525143e-12,1.066023,363.0994523809524,2.414902521884957,5.245693473880206,65.5257512975968,4.86187631758476,52.96201998477639,257.4947906954351
1100,0,5.5116225953591,8.352369653525143e-12,1.066023,346.5949318181818,2.414902521884957,5.494722462047071,65.6379457280741,5.091183277455787,52.8475516150683,269.0565710371174
100,5,0.5031304796624799,2.222879871938488e-11,1.066023,3812.54425,2.459107217507966,0.5029898389977095,58.5555844540379,0.4674070569633104,50.47619276954444,23.59292870912549
150,5,0.7546957194937199,2.222879871938488e-11,1.066023,2541.696166666667,2.459107217507966,0.7543793222230247,59.55134952686558,0.7010551362190867,51.20007471615339,35.89407535456033
200,5,1.00626095932496,2.222879871938488e-11,1.066023,1906.272125,2.459107217507966,1.005698553885252,60.25785566213835,0.9345623076465976,51.64814014419926,48.26840503881774
250,5,1.2578261991562,2.222879871938488e-11,1.066023,1525.0177,2.459107217507966,1.256947563428257,60.80586415067069,1.167913027490669,51.94508144113196,60.66733732916178
300,5,1.50939143898744,2.222879871938488e-11,1.066023,1270.848083333334,2.459107217507966,1.50812638027945,61.25361952951653,1.401097564071948,52.14648692014569,73.06231579872583
350,5,1.76095667881868,2.222879871938488e-11,1.066023,1089.298357142857,2.459107217507966,1.759235033849796,61.63219119679457,1.634108718912663,52.28202846725842,85.43451856078704
400,5,2.01252191864992,2.222879871938488e-11,1.066023,953.1360625000001,2.459107217507966,2.010273553533825,61.96012480872355,1.866940573373215,52.36942750343434,97.77060901048874
450,5,2.26408715848116,2.222879871938488e-11,1.066023,847.2320555555557,2.459107217507966,2.261241968709642,62.24938269072527,2.099587768997871,52.42012423592022,110.0606516950869
500,5,2.5156523983124,2.222879871938488e-11,1.066023,762.5088500000001,2.459107217507966,2.512140308738939,62.50813263278997,2.33204540452862,52.4419324702281,122.2969676217957
550,5,2.76721763814364,2.222879871938488e-11,1.066023,693.1898636363636,2.459107217507966,2.762968602967008,62.74220038592125,2.564308676714178,52.44043111196039,134.4734525110321
600,5,3.01878287797488,2.222879871938488e-11,1.066023,635.4240416666668,2.459107217507966,3.013726880722745,62.955887468436,2.796372897090901,52.41974177475553,146.5851451714301
650,5,3.27034811780612,2.222879871938488e-11,1.066023,586.5452692307693,2.459107217507966,3.264415171318667,63.15246050023666,3.028233467014908,52.38299574496516,158.627940817403
700,5,3.521913357637359,2.222879871938488e-11,1.066023,544.6491785714286,2.459107217507966,3.515033504050919,63.33445867624005,3.259885637188973,52.33263130752817,170.5983931557171
750,5,3.7734785974686,2.222879871938488e-11,1.066023,508.3392333333334,2.459107217507966,3.765581908199286,63.50389490324869,3.491324690710242,52.27058194244842,182.4935733334631
800,5,4.025043837299839,2.222879871938488e-11,1.066023,476.56803125,2.459107217507966,4.016060413027198,63.66239189000339,3.722545789346239,52.19840874633768,194.3109666892532
850,5,4.27660907713108,2.222879871938488e-11,1.066023,448.5346176470589,2.459107217507966,4.266469047781748,63.81127690715516,3.953544019395244,52.11738997394993,206.0483954379994
900,5,4.528174316962319,2.222879871938488e-11,1.066023,423.6160277777778,2.459107217507966,4.516807841693694,63.95164942068209,4.184314380003763,52.02858577515539,217.7039596302419
