effective_irradiance_W_m2,cell_temperature_C,V,I,P
200,10,53.74387966786651,0.8113896036985722,43.60722522493396
200,10,54.07158625120716,0.789225447872566,42.67467187628905
200,10,54.39929283454781,0.7644611019387966,41.5861433449897
200,10,54.72699941788846,0.7368477804945353,40.32546805419683
200,10,55.05470600122911,0.706126093772017,38.87556449241473
200,10,55.38241258456976,0.6720284135498888,37.21855486777381
200,10,55.71011916791041,0.6342817859787702,35.33591388291233
200,10,56.03782575125106,0.5926113582499749,33.20865203182431
200,10,56.36553233459171,0.5467442492013008,30.81753065710799
200,10,56.69323891793236,0.4964137558762196,28.14330366403866
200,10,57.020945501273,0.441363752645603,25.16697848584227
200,10,57.34865208461365,0.3813531111349796,21.87008689186495
200,10,57.6763586679543,0.316159952041737,18.23495479040245
200,10,58.00406525129495,0.2455855371832404,14.244959523551
200,10,58.3317718346356,0.1694576233487863,9.884763420821018
200,10,58.65947841797625,0.08763312820928801,5.140513592892476
200,10,58.9871850013169,3.676572934985245e-14,2.168706878868093e-12
600,10,0,3.026149320556978,0
600,10,0.3429648290449323,3.025610482847778,1.037677982006443
600,10,0.6859296580898646,3.025071645134128,2.074986359244197
600,10,1.028894487134797,3.024532807415374,3.111925131708009
600,10,1.371859316179729,3.023993969690769,4.148494299391603
600,10,1.714824145224662,3.023455131959456,5.18469386228749
600,10,2.057788974269594,3.02291629422045,6.220523820386741
600,10,2.400753803314526,3.022377456472624,7.255984173678736
600,10,2.743718632359458,3.021838618714685,8.29107492215085
600,10,3.086683461404391,3.021299780945153,9.325796065788111
600,10,3.429648290449323,3.020760943162327,10.36014760457276
600,10,3.772613119494255,3.020222105364258,11.39412953848376
600,10,4.115577948539188,3.019683267548713,12.42774186749624
600,10,4.45854277758412,3.019144429713129,13.4609845915808
600,10,4.801507606629052,3.018605591854571,14.49385771070271
600,10,5.144472435673984,3.01806675396967,15.52636122482103
600,10,5.487437264718917,3.017527916054566,16.55849513388744
600,10,5.830402093763849,3.016989078104832,17.59025943784508
600,10,6.173366922808782,3.016450240115391,18.62165413662696
600,10,6.516331751853714,3.015911402080424,19.65267923015432
600,10,6.859296580898646,3.015372563993259,20.68333471833455
600,10,7.202261409943579,3.014833725846245,21.71362060105883
600,10,7.54522623898851,3.014294887630609,22.74353687819939
600,10,7.888191068033443,3.013756049336293,23.77308354960631
600,10,8.231155897078375,3.013217210951767,24.80226061510369
600,10,8.574120726123308,3.012678372463806,25.83106807448535
600,10,8.91708555516824,3.012139533857252,26.8595059275097
600,10,9.260050384213173,3.011600695114721,27.88757417389373
600,10,9.603015213258104,3.011061856216284,28.91527281330616
600,10,9.945980042303036,3.010523017139089,29.9426018453593
600,10,10.28894487134797,3.009984177856937,30.96956126959966
600,10,10.6319097003929,3.009445338339785,31.99615108549696
600,10,10.97487452943783,3.008906498553192,33.0223712924314
600,10,11.31783935848277,3.008367658457662,34.04822188967877
600,10,11.6608041875277,3.007828818007918,35.07370287639322
600,10,12.00376901657263,3.007289977152041,36.09881425158709
600,10,12.34673384561756,3.006751135830504,37.12355601410754
600,10,12.68969867466249,3.006212293975056,38.14792816260936
600,10,13.03266350370743,3.00567345150744,39.17193069552334
600,10,13.37562833275236,3.005134608337932,40.1955636110195
600,10,13.71859316179729,3.004595764363654,41.21882690696434
600,10,14.06155799084222,3.004056919466653,42.2417205808712
600,10,14.40452281988716,3.003518073511685,43.26424462984258
600,10,14.74748764893209,3.002979226343682,44.2863990505031
600,10,15.09045247797702,3.002440377784851,45.30818383892166
600,10,15.43341730702195,3.001901527631337,46.32959899052111
600,10,15.77638213606689,3.001362675649408,47.35064449997324
600,10,16.11934696511182,3.000823821571073,48.37132036107693
600,10,16.46231179415675,3.000284965089061,49.39162656661682
600,10,16.80527662320168,2.999746105851066,50.41156310819919
