Tr,Pr,A,B,root_count,Z0,Z1,Z2,max_root_condition
0.55,0.9573333333333333,1.933038021965187,0.1354123177284652,1,0.1612954545880886,,,0.7110633561434873
0.55,0.9671999999999999,1.952960697957586,0.1368079321451653,1,0.1629479928771468,,,0.7034619878234564
0.55,0.9770666666666666,1.972883373949985,0.1382035465618653,1,0.164600340200248,,,0.6960146064528505
0.55,0.9869333333333333,1.992806049942384,0.1395991609785654,1,0.1662524968358194,,,0.6887165926113633
0.55,0.9967999999999999,2.012728725934782,0.1409947753952654,1,0.167904463061644,,,0.6815635097804826
0.55,1.006666666666667,2.032651401927181,0.1423903898119655,1,0.1695562391548631,,,0.6745510953800783
0.55,1.016533333333333,2.05257407791958,0.1437860042286656,1,0.1712078253919777,,,0.6676752523269911
0.55,1.0264,2.072496753911979,0.1451816186453656,1,0.1728592220488508,,,0.660932041080503
0.55,1.036266666666667,2.092419429904378,0.1465772330620657,1,0.1745104294007098,,,0.6543176721422316
0.55,1.046133333333333,2.112342105896777,0.1479728474787658,1,0.1761614477221483,,,0.6478284989804536
0.55,1.056,2.132264781889176,0.1493684618954658,1,0.1778122772871274,,,0.6414610113510918
0.55,1.065866666666667,2.152187457881575,0.1507640763121659,1,0.1794629183689793,,,0.6352118289896714
0.55,1.075733333333333,2.172110133873973,0.152159690728866,1,0.1811133712404079,,,0.6290776956504134
0.55,1.0856,2.192032809866372,0.153555305145566,1,0.1827636361734917,,,0.6230554734703972
0.55,1.095466666666667,2.211955485858771,0.1549509195622661,1,0.184413713439685,,,0.6171421376382838
0.55,1.105333333333333,2.23187816185117,0.1563465339789661,1,0.1860636033098205,,,0.6113347713485755
0.55,1.1152,2.251800837843569,0.1577421483956662,1,0.1877133060541114,,,0.6056305610237267
0.55,1.125066666666667,2.271723513835968,0.1591377628123662,1,0.1893628219421526,,,0.6000267917876652
0.55,1.134933333333333,2.291646189828367,0.1605333772290663,1,0.1910121512429235,,,0.5945208431754185
0.55,1.1448,2.311568865820766,0.1619289916457664,1,0.1926612942247896,,,0.5891101850646079
0.55,1.154666666666667,2.331491541813164,0.1633246060624664,1,0.1943102511555042,,,0.5837923738155326
0.55,1.164533333333333,2.351414217805563,0.1647202204791665,1,0.1959590223022107,,,0.5785650486074788
0.55,1.1744,2.371336893797962,0.1661158348958665,1,0.1976076079314448,,,0.5734259279597089
0.55,1.184266666666667,2.391259569790361,0.1675114493125666,1,0.1992560083091354,,,0.5683728064263617
0.55,1.194133333333333,2.41118224578276,0.1689070637292666,1,0.2009042237006078,,,0.5634035514552088
0.55,1.204,2.431104921775159,0.1703026781459668,1,0.2025522543705846,,,0.5585161004008584
0.55,1.213866666666667,2.451027597767558,0.1716982925626668,1,0.2042001005831884,,,0.5537084576836308
0.55,1.223733333333333,2.470950273759957,0.1730939069793669,1,0.2058477626019425,,,0.5489786920858727
0.55,1.2336,2.490872949752356,0.1744895213960669,1,0.2074952406897746,,,0.5443249341780234
0.55,1.243466666666666,2.510795625744754,0.1758851358127669,1,0.2091425351090169,,,0.5397453738672225
0.55,1.253333333333333,2.530718301737153,0.177280750229467,1,0.2107896461214092,,,0.5352382580617049
0.55,1.2632,2.550640977729552,0.1786763646461671,1,0.2124365739880999,,,0.5308018884446575
0.55,1.273066666666667,2.570563653721951,0.1800719790628671,1,0.2140833189696486,,,0.5264346193515929
0.55,1.282933333333333,2.590486329714349,0.1814675934795672,1,0.2157298813260273,,,0.5221348557456724
0.55,1.2928,2.610409005706749,0.1828632078962673,1,0.2173762613166228,,,0.5179010512857406
0.55,1.302666666666667,2.630331681699147,0.1842588223129673,1,0.2190224592002383,,,0.5137317064821619
0.55,1.312533333333333,2.650254357691546,0.1856544367296674,1,0.2206684752350948,,,0.5096253669358328
0.55,1.3224,2.670177033683945,0.1870500511463674,1,0.222314309678834,,,0.5055806216560295
0.55,1.332266666666666,2.690099709676344,0.1884456655630675,1,0.2239599627885187,,,0.5015961014530035
0.55,1.342133333333333,2.710022385668742,0.1898412799797675,1,0.225605434820636,,,0.4976704774014771
0.55,1.352,2.729945061661142,0.1912368943964676,1,0.2272507260310979,,,0.4938024593714183
0.55,1.361866666666667,2.749867737653541,0.1926325088131677,1,0.2288958366752443,,,0.489990794622683
0.55,1.371733333333333,2.769790413645939,0.1940281232298677,1,0.2305407670078435,,,0.4862342664603073
0.55,1.3816,2.789713089638338,0.1954237376465678,1,0.2321855172830948,,,0.4825316929474197
0.55,1.391466666666667,2.809635765630737,0.1968193520632678,1,0.2338300877546299,,,0.4788819256729132
0.55,1.401333333333333,2.829558441623136,0.1982149664799679,1,0.2354744786755155,,,0.4752838485711758
0.55,1.4112,2.849481117615535,0.199610580896668,1,0.2371186902982536,,,0.4717363767913363
0.55,1.421066666666666,2.869403793607933,0.201006195313368,1,0.2387627228747843,,,0.4682384556136129
0.55,1.430933333333333,2.889326469600332,0.2024018097300681,1,0.2404065766564878,,,0.4647890594104967
0.55,1.4408,2.909249145592731,0.2037974241467681,1,0.2420502518941844,,,0.4613871906506175
0.55,1.450666666666667,2.92917182158513,0.2051930385634682,1,0.2436937488381389,,,0.45803187894326
0.55,1.460533333333333,2.94909449757753,0.2065886529801683,1,0.2453370677380597,,,0.4547221801216106
0.55,1.4704,2.969017173569928,0.2079842673968683,1,0.2469802088431022,,,0.4514571753629122
0.55,1.480266666666667,2.988939849562327,0.2093798818135684,1,0.24862317240187,,,0.4482359703438061
0.55,1.490133333333333,3.008862525554726,0.2107754962302684,1,0.2502659586624164,,,0.4450576944292329
0.55,1.5,3.028785201547124,0.2121711106469685,1,0.2519085678722465,,,0.4419214998933429
0.555,0.02,0.03952038905809784,0.002803462122662647,3,0.003369645303379282,0.03174473430326949,0.9620821582706883,37.88107336303377
0.555,0.02986666666666667,0.05901711432675943,0.004186503436509553,3,0.005031660555372091,0.04839437159295207,0.9423874644151665,25.7958242967123
0.555,0.03973333333333333,0.07851383959542102,0.005569544750356458,3,0.006693449611117118,0.06580802187680539,0.9219289837617207,19.75924370471893
0.555,0.0496,0.09801056486408262,0.006952586064203364,3,0.008355012836900721,0.0840919642330054,0.9006004368658906,16.1707992138251
0.555,0.05946666666666667,0.1175072901327442,0.00833562737805027,3,0.01001635059806179,0.1033796237599778,0.8782683982639093,13.82243516586714
0.555,0.06933333333333333,0.1370040154014058,0.009718668691897175,3,0.01167746325899518,0.1238423974131255,0.8547614706359827,12.19757787104254
0.555,0.07919999999999999,0.1565007406700674,0.01110171000574408,3,0.0133383511831551,0.1457067566952663,0.8298531821158343,11.04247946701181
0.555,0.08906666666666667,0.175997465938729,0.01248475131959099,3,0.01499901473305856,0.169282746651487,0.8032334872958634,10.22408263838359
0.555,0.09893333333333333,0.1954941912073906,0.01386779263343789,3,0.01665945427028862,0.1950148156960445,0.7744579374002282,9.676159512887956
0.555,0.1088,0.2149909164760522,0.0152508339472848,3,0.01831967015549787,0.2235810108203247,0.7428484850768925,9.382135882834778
0.555,0.1186666666666667,0.2344876417447138,0.0166338752611317,3,0.01997966274841171,0.2561124880455354,0.7072739739449206,9.386671475547063
0.555,0.1285333333333333,0.2539843670133754,0.01801691657497861,3,0.0216394324078317,0.294781514213953,0.6655621368032366,9.874028024570068
