e,M_rad,E_rad,residual,condition_dE_dM,x_over_a,y_over_a
0,0.017269832906594326,0.017269832906594326,0,1,0.99985088014195855,0.017268974473049665
0,0.024537511066398166,0.024537511066398166,0,1,0.99969897037968447,0.024535048844435563
0,0.026399938265460447,0.026399938265460447,0,1,0.99965154186884886,0.026396871769836339
0,0.034863652276780878,0.034863652276780878,0,1,0.99939232442987003,0.034856590060723953
0,0.049535352089591804,0.049535352089591804,0,1,0.99877337529676569,0.049515096670671409
0,0.052799876530920893,0.052799876530920893,0,1,0.99860641032153363,0.05277534713046237
0,0.070381355549315475,0.070381355549315475,0,1,0.99752425462301386,0.070323263852017689
0,0.079199814796381343,0.079199814796381343,0,1,0.99686533372722597,0.079117042493424536
0,0.10000000000000001,0.10000000000000001,0,1,0.99500416527802582,0.099833416646828155
0,0.10559975306184179,0.10559975306184179,0,1,0.99442952547051844,0.10540359990284776
0,0.13199969132730224,0.13199969132730224,0,1,0.99130068310579678,0.13161669982939347
0,0.15839962959276269,0.15839962959276269,0,1,0.98748098717418731,0.15773807393743752
0,0.18479956785822313,0.18479956785822313,0,1,0.98297309968390179,0.18374951781657034
0,0.21119950612368357,0.21119950612368357,0,1,0.97778016225504083,0.20963290366854653
0,0.23759944438914402,0.23759944438914402,0,1,0.97190579393014764,0.23537019294084249
0,0.26399938265460449,0.26399938265460449,0,1,0.96535408865203864,0.26094344889801674
0,0.29039932092006487,0.29039932092006487,0,1,0.95812961241066807,0.2863348491221126
0,0.31679925918552537,0.31679925918552537,0,1,0.95023740006101498,0.31152669793339155
0,0.34319919745098582,0.34319919745098582,0,1,0.94168295181421147,0.33650143872273924
0,0.36959913571644626,0.36959913571644626,0,1,0.93247222940435581,0.36124166618715292
0,0.39599907398190665,0.39599907398190665,0,1,0.92261165193368289,0.38573013845977955
0,0.42239901224736714,0.42239901224736714,0,1,0.91210809139898774,0.40994978912605357
0,0.44879895051282764,0.44879895051282764,0,1,0.90096886790241915,0.43388373911755818
0,0.47519888877828803,0.47519888877828803,0,1,0.88920174454998113,0.45751530847532307
0,0.50159882704374847,0.50159882704374847,0,1,0.87681492204129874,0.48082802797435936
0,0.52799876530920897,0.52799876530920897,0,1,0.86381703295441625,0.50380565060132954
0,0.55439870357466936,0.55439870357466936,0,1,0.85021713572961422,0.52643216287735572
0,0.58079864184012975,0.58079864184012975,0,1,0.83602470835643394,0.54869179601807372
0,0.60719858010559025,0.60719858010559025,0,1,0.82124964176831361,0.57056903692315497
0,0.63359851837105075,0.63359851837105075,0,1,0.80590223294943486,0.59204863898763826
0,0.65999845663651124,0.65999845663651124,0,1,0.78999317775858791,0.61311563272753711
0,0.68639839490197163,0.68639839490197163,0,1,0.77353356347505309,0.63375533621231617
0,0.71279833316743202,0.71279833316743202,0,1,0.75653486107169587,0.65395336529696813
0,0.73919827143289252,0.73919827143289252,0,1,0.73900891722065909,0.67369564364655721
0,0.76559820969835302,0.76559820969835302,0,1,0.7209679460372248,0.69296841254624675
0,0.79199814796381329,0.79199814796381329,0,1,0.70242452056759852,0.71175824048997094
0,0.81839808622927379,0.81839808622927379,0,1,0.68339156402654866,0.7300520325410701
0,0.84479802449473429,0.84479802449473429,0,1,0.6638823407910085,0.74783703945836444
0,0.87119796276019479,0.87119796276019479,0,1,0.64391044715591561,0.76510086658130816
0,0.89759790102565529,0.89759790102565529,0,1,0.62348980185873348,0.7818314824680298
0,0.92399783929111556,0.92399783929111556,0,1,0.60263463637925652,0.79801722728023949
0,0.95039777755657606,0.95039777755657606,0,1,0.58135948502145995,0.81364682090916018
0,0.97679771582203656,0.97679771582203656,0,1,0.55967917478430818,0.82870937083681862
0,1.0031976540874969,1.0031976540874969,0,1,0.53760881502857738,0.84319437972721856
0,1.0295975923529574,1.0295975923529574,0,1,0.51516378694689602,0.8570917527421047
0,1.0559975306184179,1.0559975306184179,0,1,0.49235973284434209,0.87039180457621967
0,1.0823974688838782,1.0823974688838782,0,1,0.46921254523706629,0.88308526620715055
0,1.1087974071493387,1.1087974071493387,0,1,0.44573835577653831,0.89516329135506234
0,1.1351973454147992,1.1351973454147992,0,1,0.42195352400713776,0.90661746264781251
0,1.1615972836802595,1.1615972836802595,0,1,0.39787462596492107,0.91743979748715621
0,1.1879972219457202,1.1879972219457202,0,1,0.37351844262551148,0.92762275361194779
0,1.2143971602111805,1.2143971602111805,0,1,0.34890194820916681,0.93715923435446546
0,1.240797098476641,1.240797098476641,0,1,0.32404229835116594,0.94604259358619469
