inlet_temperature_K,residence_time_s,steady_temperature_K,heat_release_rate_W_m3,X_CH4,X_CO,X_CO2,X_H2O
575,0.001383072895555441,1630.758948596538,201774416.5769416,0.0002180548655599438,0.004799848707795621,0.04459913560552815,0.09639433839731314
575,0.001254849232252331,1626.612701328951,221954799.5830787,0.000235168686642045,0.005129909591708223,0.04423539105157583,0.09624363738753382
575,0.001138513089761537,1622.220568224817,244122683.0408992,0.0002540111688984171,0.005483838272500793,0.04384503852172544,0.09608576483681396
575,0.001032962384837093,1617.565684601537,268468070.2327332,0.0002748259819484037,0.005863662737838148,0.04342573253296742,0.09592023568683633
575,0.0009371972075541283,1612.629192680769,295197914.8592739,0.0002979043863825722,0.006271651198726112,0.04297483035046154,0.0957464797430969
575,0.0008503103488959835,1607.389762933114,324537311.6276864,0.0003235977138847372,0.006710356050033827,0.04248933321798581,0.09556381476775652
575,0.0007714787065217011,1601.822944543146,356730653.2138731,0.0003523341734515152,0.00718267049860828,0.04196580976195988,0.09537140930964448
575,0.0006999554872984427,1595.900265073336,392042687.5769039,0.0003846419445728932,0.007691903479679509,0.04140029359981143,0.09516823054060346
575,0.0006350631327313489,1589.587951123294,430759367.8332253,0.0004211816668991244,0.008241881954019963,0.04078814233052858,0.09495296960802736
575,0.0005761869002715535,1582.845056434605,473188314.9166587,0.0004627934451975116,0.008837095884604738,0.04012383645973708,0.09472393219297159
575,0.0005227690396963793,1575.620625684265,519658583.3497229,0.0005105671770610035,0.009482912808443281,0.03940068074777967,0.09447887311962637
575,0.0004743035093930039,1567.849211808788,570519172.4958593,0.0005659521846020686,0.01018591189297155,0.03861033883670451,0.09421473666283894
575,0.0004303311824915584,1559.443412034981,626135218.5471115,0.0006309370974492465,0.01095443596718406,0.03774206532693433,0.09392722829674614
575,0.0003904354974340707,1550.280591228917,686879671.5454313,0.0007083650132587453,0.01179957194687686,0.03678134632340876,0.09361006177593287
575,0.0003542385117759404,1540.177121898833,753115442.6053541,0.0008025358433677274,0.01273705805597129,0.03570726629522376,0.09325351642518959
575,0.0003213973218365539,1528.832002763733,825154811.7994812,0.0009205057677428917,0.01379147791542746,0.03448674473465736,0.09284131759333414
575,0.000291600814281439,1515.678917866542,903153228.4311186,0.001075451427070708,0.01500732078894333,0.03305940516600855,0.09234253962803524
575,0.0002645667188628309,1499.353522692755,986738618.1773026,0.001298634695527829,0.01648896622326041,0.03128308468433758,0.09168271444660803
575,0.0002400389343984749,1473.088788848738,1071993503.947358,0.001741467565110141,0.01874705773431123,0.02846343822132718,0.09049614761169045
575,0.0002177851026569549,574.999999999996,-3.070588709745566e-08,0.0499001996007984,-3.344760447659411e-29,3.530219691879418e-34,5.274353986213483e-23
575,0.000197594407166314,575,-3.070602072742414e-08,0.0499001996007984,-9.318205183470205e-31,-2.93265026259335e-31,4.33059618337249e-23
575,0.0001792755760934975,575,-3.070614197653805e-08,0.0499001996007984,-7.281259817615517e-31,-2.41409159199589e-31,3.554705574126397e-23
575,0.0001626550702753625,575,-3.070625197962549e-08,0.0499001996007984,-5.994979455621117e-31,-1.987144257649615e-31,2.917016894874135e-23
