T_K,P_Pa,Z_liq_coolprop,Z_liq_cubic_root,Z_vap_coolprop,Z_vap_cubic_root,liquid_absolute_error,vapor_absolute_error
248.4776786163522,205720.2415559745,0.00733772703823612,0.007337727038458476,0.9427930627408584,0.9427931050875187,2.223568551507071e-13,4.234666028946066e-08
249.5012735849057,213700.3459068408,0.007609658159598839,0.007609658159847495,0.941130381062284,0.9411304241882636,2.486552630465155e-13,4.312597967626175e-08
250.5248685534591,221915.7710064581,0.00788934688490611,0.007889346885181789,0.9394362557455689,0.9394362993101444,2.756787853552822e-13,4.356457550258597e-08
251.5484635220126,230371.0533042517,0.008176951457313975,0.008176951457617546,0.9377104550165392,0.9377104987493988,3.035714041255133e-13,4.373285966696727e-08
252.5720584905661,239070.7620622543,0.008472632614302927,0.008472632614635505,0.9359527481453827,0.9359527918448869,3.325777153673215e-13,4.369950423743774e-08
253.5956534591195,248019.4989723836,0.008776553662266479,0.008776553662629499,0.9341629052975999,0.9341629488265759,3.630203776472385e-13,4.352897597925676e-08
254.619248427673,257221.8977830632,0.009088880554910956,0.009088880555306302,0.9323406973795029,0.9323407406595159,3.953452148985903e-13,4.328001301789897e-08
255.6428433962264,266682.6353562081,0.009409782272615096,0.009409782378608874,0.9304753197110549,0.9304859357260236,1.059937779906983e-10,1.061601496865627e-05
256.6664383647799,276406.3859743485,0.009739429725057556,0.009739429838585166,0.9285879215918906,0.9285983122180245,1.135276091884796e-10,1.039062613383823e-05
257.6900333333334,286397.8885137417,0.01007799761178235,0.01007799773379139,0.9266674299404699,0.926677639231825,1.22009046962801e-10,1.020929135508997e-05
258.7136283018868,296661.9014246659,0.01042566334224389,0.01042566347387843,0.9247136142207799,0.9247236890163343,1.316345383389761e-10,1.007479555437119e-05
259.7372232704403,307203.2134972456,0.01078260742853272,0.01078260757115367,0.9227262450349795,0.9227362337049811,1.426209480376306e-10,9.988670001681577e-06
260.7608182389937,318026.6435498429,0.01114901359049473,0.01114901374570079,0.9207050937906872,0.9207150451307651,1.552060598097871e-10,9.951340077862803e-06
261.7844132075472,329137.0401284933,0.01152506886605037,0.01152506903569901,0.9186499323743786,0.918659894636065,1.696486354174631e-10,9.962261686369267e-06
262.8080081761007,340539.2812173447,0.01191096372695503,0.01191096391318336,0.9165605328289309,0.9165705528770758,1.862283313669444e-10,1.002004814487645e-05
263.8316031446541,352238.2739606744,0.01230689220027928,0.01230689240552476,0.9144366670365445,0.9144467896225984,2.052454785989033e-10,1.012258605392891e-05
264.8551981132076,364238.9543961212,0.01271305199587277,0.01271305222289317,0.9122781064037989,0.9122883735470801,2.270203990073494e-10,1.026714328122846e-05
265.878793081761,376546.2871996812,0.01312964464012486,0.01312964489201747,0.9100846215503504,0.9100950720175953,2.518926092015539e-10,1.045046724490462e-05
266.9023880503145,389165.2654422864,0.01355687561633057,0.01355687589655012,0.9078559819985228,0.9078666508745631,2.802195506884653e-10,1.066887604028732e-05
267.925983018868,402100.9103582401,0.01399495451200657,0.01399495482438161,0.9055919558645379,0.905602874205895,3.123750442340922e-10,1.091834135713565e-05
268.9495779874214,415358.2711254787,0.01444409517351491,0.01444409552226222,0.9032923095493867,0.9033035041142943,3.48747312278741e-10,1.119456490761284e-05
269.9731729559749,428942.4043613076,0.01490451555287285,0.01490451555449272,0.9009682578456091,0.9009683055808891,1.619869169355859e-12,4.773528006207783e-08
270.9967679245283,442858.4541221019,0.01537643915237292,0.01537643915416426,0.8985969775060781,0.8985970260204273,1.791334441891834e-12,4.851434920460918e-08
272.0203628930818,457111.53289503,0.01586009327888984,0.01586009328086797,0.8961893757466938,0.8961894249988664,1.978125996338065e-12,4.925217267359727e-08
273.0439578616352,471706.7996876202,0.01635571052149844,0.01635571052367888,0.8937452042726168,0.8937452541986695,2.180439856447336e-12,4.992605262543748e-08
274.0675528301887,486649.4405343367,0.01686352862538467,0.01686352862778285,0.891264211523354,0.8912642620377685,2.398178877704993e-12,5.051441454018146e-08
275.0911477987422,501944.6683495658,0.01738379069941684,0.01738379070204793,0.8887461423905276,0.8887461933876386,2.631082851589639e-12,5.099711097855675e-08
276.1147427672956,517597.7227927601,0.01791674543435061,0.01791674543722921,0.8861907379255443,0.8861907892814994,2.878596666588962e-12,5.135595515515234e-08
277.1383377358491,533613.8701460453,0.01846264733229607,0.0184626473354359,0.8835977350370715,0.8835977866120307,3.139821735942405e-12,5.157495919227983e-08
278.1619327044025,549998.4032042145,0.01902175694810776,0.01902175695152137,0.8809668661775316,0.8809669178179488,3.413609672708873e-12,5.164041716465562e-08
279.185527672956,566756.641177087,0.01959434114340907,0.01959434114710759,0.8782978590175679,0.8782979105588186,3.698520656403304e-12,5.154125071182847e-08
280.2091226415095,583893.929604418,0.02018067335402298,0.02018067335801565,0.8755904361083164,0.8755904873772619,3.992667307883835e-12,5.126894542240024e-08
281.2327176100629,601415.6402831828,0.0207810338716261,0.02078103387592006,0.872844314530088,0.872844365347852,4.293964489532343e-12,5.081776399684657e-08
282.2563125786164,619327.1712074168,0.0213957101405182,0.02139571014511806,0.870059205527055,0.8700592557117672,4.599858688392189e-12,5.018471227469234e-08
283.2799075471698,637633.9465206155,0.02202499707046143,0.02202499707536899,0.8672348141268211,0.8672348634962525,4.907560469114003e-12,4.936943132083371e-08
284.3035025157233,656341.4164806008,0.0226691973666141,0.02266919737182802,0.8643708387436864,0.8643708871179314,5.213923043312363e-12,4.837424505410581e-08
285.3270974842767,675455.0574369916,0.02332862187767297,0.02332862188318842,0.8614669707648583,0.8614670179688119,5.5154492084597e-12,4.720395352375562e-08
286.3506924528302,694980.3718212366,0.02400358996341991,0.02400358996922837,0.8585228941180649,0.8585229399838202,5.808454411893038e-12,4.586575530485248e-08
287.3742874213837,714922.8881492175,0.02469442988296673,0.02469442988905568,0.8555382848194786,0.8555383291885755,6.088948789617632e-12,4.436909695204605e-08
288.3978823899371,735288.1610364667,0.0254014792050986,0.02540147921145134,0.8525128105005711,0.852512853226004,6.352734310821617e-12,4.272543285832597e-08
289.4214773584906,756081.771226006,0.02612508524223044,0.02612508524882597,0.8494461299122623,0.8494461708602821,6.595522739072379e-12,4.094801975274009e-08
