Tr,v_over_b,P_over_Pc
0.7,10.54637379297464,0.2483363190646624
0.7,10.63928950631418,0.2504556969001348
0.7,10.73302382612026,0.2524955603762006
0.7,10.82758396448352,0.2544573699682933
0.7,10.9229771970346,0.2563425661416878
0.7,11.01921086350393,0.2581525695357759
0.7,11.11629236828649,0.2598887811486636
0.7,11.21422918101148,0.2615525825220185
0.7,11.31302883711707,0.2631453359260945
0.7,11.41269893843017,0.2646683845448635
0.7,11.51324715375136,0.2661230526611892
0.7,11.61468121944491,0.2675106458419803
0.7,11.71700894003405,0.2688324511232579
0.7,11.82023818880146,0.2700897371950821
0.7,11.92437690839506,0.271283754586277
0.7,12.0294331114391,0.272415735848905
0.7,12.13541488115073,0.2734868957424316
0.7,12.24233037196185,0.274498431417535
0.7,12.35018781014662,0.2754515225995101
0.7,12.45899549445434,0.2763473317712212
0.7,12.56876179674799,0.2771870043555578
0.7,12.67949516264837,0.2779716688973514
0.7,12.79120411218395,0.2787024372447136
0.7,12.90389724044639,0.2793804047297519
0.7,13.01758321825186,0.2800066503486315
0.7,13.1322707928082,0.280582236940941
0.7,13.24796878838794,0.281108211368331
0.7,13.36468610700726,0.2815856046923922
0.7,13.48243172911094,0.2820154323517391
0.7,13.60121471426329,0.2823986943382715
0.7,13.72104420184527,0.2827363753725827
0.7,13.84192941175763,0.2830294450784887
0.7,13.96387964513034,0.2832788581566493
0.7,14.08690428503824,0.2834855545572596
0.7,14.21101279722298,0.2836504596517831
0.7,14.33621473082134,0.2837744844037082
0.7,14.46251971909992,0.283858525538303
0.7,14.5899374801964,0.2839034657113489
0.7,14.71847781786723,0.2839101736768334
0.7,14.84815062224199,0.283879504453583
0.7,14.97896587058428,0.2838122994908188
0.7,15.11093362805949,0.2837093868326184
0.7,15.24406404850912,0.283571581281266
0.7,15.37836737523214,0.2833996845594799
0.7,15.51385394177306,0.2831944854714989
0.7,15.65053417271705,0.2829567600630173
0.7,15.78841858449199,0.2826872717799548
0.7,15.92751778617766,0.2823867716260503
0.7,16.06784248032199,0.2820559983192666
0.7,16.20940346376458,0.2816956784469999
0.7,16.35221162846736,0.2813065266200806
0.7,16.4962779623527,0.2808892456255581
0.7,16.64161355014881,0.2804445265782624
0.7,16.78822957424262,0.2799730490711344
0.7,16.9361373155402,0.2794754813243164
0.7,17.08534815433469,0.2789524803330004
0.7,17.23587357118194,0.2784046920140237
0.7,17.38772514778389,0.2778327513512116
0.7,17.54091456787959,0.2772372825394593
0.7,17.69545361814427,0.2766188991275498
0.7,17.85135418909615,0.2759782041597055
0.7,18.00862827601138,0.2753157903158702
0.7,18.16728797984694,0.2746322400507162
0.7,18.32734550817169,0.2739281257313803
0.7,18.48881317610571,0.2732040097739211
0.7,18.6517034072678,0.2724604447785007
0.7,18.81602873473139,0.2716979736632878
0.7,18.98180180198883,0.2709171297970837
0.7,19.14903536392427,0.2701184371306693
0.7,19.31774228779496,0.2693024103268764
0.7,19.48793555422135,0.2684695548893812
0.7,19.65962825818579,0.2676203672902233
0.7,19.83283361004015,0.266755335096051
0.7,20.00756493652215,0.2658749370930966
0.7,20.18383568178083,0.2649796434108797
0.7,20.36165940841094,0.2640699156446465
0.7,20.54104979849645,0.2631462069765442
0.7,20.72202065466332,0.2622089622955351
0.7,20.90458590114144,0.2612586183160544
0.7,21.08875958483605,0.2602956036954133
0.7,21.27455587640847,0.2593203391499545
0.7,21.46198907136647,0.2583332375699625
0.7,21.65107359116416,0.2573347041333323
0.7,21.84182398431163,0.2563251364180039
0.7,22.03425492749431,0.2553049245131658
0.7,22.22838122670223,0.2542744511292321
0.7,22.42421781836924,0.2532340917066013
0.7,22.62177977052222,0.2521842145231988
0.7,22.82108228394047,0.2511251808008122
0.7,23.02214069332525,0.2500573448102229
0.7,23.22497046847969,0.2489810539751424
0.7,23.42958721549905,0.2478966489749569
0.7,23.63600667797148,0.2468044638462895
0.7,23.8442447381894,0.2457048260833845
0.7,24.05431741837142,0.2445980567373225
0.7,24.26624088189523,0.2434844705140707
0.7,24.48003143454115,0.2423643758713785
0.7,24.69570552574681,0.2412380751145224
0.7,24.9132797498727,0.2401058644909114
0.7,25.13277084747908,0.2389680342835554
0.7,25.35419570661393,0.2378248689034093
0.7,25.57757136411241,0.2366766469805964
0.7,25.8029150069077,0.2355236414545211
0.7,26.03024397335337,0.234366119662878
0.7,26.25957575455742,0.2332043434295656
0.7,26.49092799572811,0.2320385691515119
0.7,26.72431849753161,0.2308690478844209
0.7,26.95976521746159,0.2296960254274479
0.7,27.19728627122092,0.2285197424068114
0.7,27.43689993411553,0.2273404343583505
0.7,27.67862464246053,0.2261583318090356
0.7,27.92247899499874,0.2249736603574412
0.7,28.16848175433172,0.2237866407531892
0.7,28.4166518483634,0.2225974889753707
0.7,28.66700837175642,0.2214064163099566
0.7,28.91957058740127,0.2202136294262022
0.7,29.17435792789851,0.2190193304520582
0.7,29.43138999705385,0.2178237170485944
0.7,29.69068657138656,0.2166269824834454
0.7,29.95226760165111,0.2154293157032871
0.7,30.21615321437216,0.2142309014053528
0.7,30.48236371339323,0.213031920107997
0.7,30.7509195814388,0.211832548220317
0.7,31.02184148169041,0.2106329581108389
0.7,31.29515025937643,0.2094333181752797
0.7,31.57086694337593,0.2082337929033913
0.7,31.84901274783678,0.207034542944897
0.7,32.12960907380778,0.2058357251745289
0.7,32.41267751088539,0.2046374927561753
0.7,32.69823983887483,0.2034399952061448
0.7,32.98631802946584,0.2022433784555599
0.7,33.27693424792328,0.2010477849118845
0.7,33.57011085479252,0.1998533535195969
0.7,33.86587040761992,0.1986602198200159
0.7,34.16423566268841,0.1974685160102888
0.7,34.46522957676851,0.1962783710015503
0.7,34.76887530888451,0.195089910476261
0.7,35.07519622209647,0.1939032569447327
0.7,35.38421588529783,0.1927185298008518
0.7,35.69595807502878,0.1915358453770073
0.7,36.0104467773057,0.1903553169982317
0.7,36.32770618946667,0.1891770550355657
0.7,36.64776072203333,0.188001166958652
0.7,36.97063500058897,0.1868277573875702
0.7,37.29635386767331,0.185656928143917
0.7,37.62494238469399,0.1844887783011444
0.7,37.95642583385468,0.1833234042341613
0.7,38.29082972010054,0.1821608996682075
0.7,38.62817977308048,0.1810013557270095
0.7,38.9685019491269,0.1798448609802245
0.7,39.31182243325279,0.1786915014901819
0.7,39.65816764116647,0.177541360857931
0.7,40.00756422130409,0.1763945202686009
0.7,40.36003905687993,0.1752510585360828
0.7,40.71561926795495,0.1741110521470418
0.7,41.07433221352336,0.1729745753042655
0.7,41.43620549361776,0.1718416999693588
0.7,41.80126695143259,0.1707124959047915
0.7,42.16954467546665,0.1695870307153063
0.7,42.54106700168412,0.1684653698886964
0.7,42.91586251569482,0.1673475768359591
0.7,43.29396005495366,0.1662337129308333
0.7,43.67538871097945,0.1651238375487286
0.7,44.0601778315932,0.1640180081050534
0.7,44.44835702317627,0.1629162800929503
0.7,44.83995615294828,0.1618187071204439
0.7,45.23500535126523,0.1607253409470113
0.7,45.6335350139376,0.1596362315195811
0.7,46.03557580456933,0.1585514270079668
0.7,46.4411586569169,0.1574709738397451
0.7,46.85031477726956,0.1563949167345826
0.7,47.26307564685035,0.1553232987380213
0.7,47.67947302423834,0.1542561612547265
0.7,48.09953894781218,0.1531935440812073
0.7,48.52330573821519,0.152135485438014
0.7,48.95080600084219,0.1510820220014209
0.7,49.3820726283482,0.1500331889346005
0.7,49.81713880317931,0.1489890199182956
0.7,50.25603800012566,0.1479495471809969
0.7,50.69880398889723,0.1469148015286313
0.7,51.14547083672205,0.1458848123737685
0.7,51.59607291096739,0.1448596077643526
0.7,52.05064488178406,0.143839214411963
0.7,52.50922172477402,0.1428236577196142
0.7,52.97183872368144,0.1418129618090975
0.7,53.4385314731075,0.1408071495478734
0.7,53.90933588124911,0.1398062425755189
0.7,54.38428817266177,0.1388102613297374
0.7,54.86342489104666,0.1378192250719358
0.7,55.34678290206254,0.136833151912376
0.7,55.83439939616214,0.1358520588349056
0.7,56.32631189145369,0.1348759617212743
0.7,56.82255823658765,0.1339048753750423
