sample_id,branch,e,M_rad,orekit_E_rad,mpmath_E_rad,absolute_error,orekit_residual
kepler_0001496,difficult,0.99999999850012822,5.5203389068359713e-06,0.032115291349389341,0.032115291349392783,3.4416913763379853e-15,9.0632525356210136e-19
kepler_0001497,high_e,0.92552228954457394,0.57999867638032665,1.5034210922271662,1.5034210922271662,0,0
kepler_0001498,ordinary,0.72483888842564548,2.6101648762040357,2.8314095971682867,2.8314095971682867,0,4.4408920985006262e-16
kepler_0001499,ordinary,0.53444680851107973,0.46988371828678888,0.88273112780433094,0.88273112780433094,0,0
kepler_0001500,difficult,0.99999998223605835,0.0031919899356558363,0.26786961862709868,0.26786961862709868,0,4.3368086899420177e-19
kepler_0001501,high_e,0.93764124231351598,2.5077933863399142,2.8116121763540289,2.8116121763540289,0,4.4408920985006262e-16
kepler_0001502,ordinary,0.55643866174964784,1.5405736178978078,2.0375037364638864,2.0375037364638864,0,0
kepler_0001503,ordinary,0.66362848595327839,2.930106940931235,3.0143325798794218,3.0143325798794218,0,0
kepler_0001504,difficult,0.99999999992854305,0.00011069842126052965,0.087260828773831733,0.087260828773831095,6.3837823915946501e-16,1.07742590890747e-17
kepler_0001505,high_e,0.95421676913655362,1.703418682950717,2.3692711429986226,2.3692711429986222,4.4408920985006262e-16,4.4408920985006262e-16
kepler_0001506,ordinary,0.29480941418227996,3.0101128583289936,3.0400091514410912,3.0400091514410916,4.4408920985006262e-16,0
kepler_0001507,ordinary,0.5452788901105784,0.21326627841154297,0.45087172373683265,0.45087172373683265,0,0
kepler_0001508,difficult,0.99999999830597841,3.4022042775537588e-08,0.0058874651981612224,0.0058874651981682654,7.0429773124658368e-15,4.9552750903356655e-19
kepler_0001509,high_e,0.96298293416728686,1.4690189863957184,2.2301496663269385,2.2301496663269385,0,2.2204460492503131e-16
kepler_0001510,ordinary,0.10662128262684559,2.8116994813596206,2.8430588458488275,2.8430588458488271,4.4408920985006262e-16,4.4408920985006262e-16
