method,index,near_knot,multi_root,root_abs,residual,status,path
fp32,107,0,1,1.9777599161940884e-05,9.7127329597951645e-07,1,0
fp32,108,0,1,1.1673608219631149e-05,7.5399396457097403e-07,1,0
fp32,109,0,0,2.2171053615238634e-07,3.7584653242762589e-07,1,0
fp32,110,0,1,6.1051774569165218e-07,1.0715807483562957e-07,1,0
fp32,111,0,1,5.8937525162505722e-06,1.1166560003230923e-06,1,0
fp32,112,0,1,1.0036783653077919e-06,5.0793917400702513e-07,1,0
fp32,113,0,0,3.7815734366120068e-07,5.0327546258215287e-07,1,0
fp32,114,1,0,1.0614519485585561e-07,1.691554554838858e-07,1,0
fp32,115,0,1,1.12848092284068e-05,1.7873507970120124e-06,1,0
fp32,116,0,1,3.2782925432073284e-06,1.6519947706246278e-06,1,0
fp32,117,0,1,2.3275658520560683e-06,1.2071066785064646e-06,1,0
fp32,118,0,1,1.5108970430333102e-06,7.9011084845440949e-07,1,0
fp32,119,0,1,1.8610677385844099e-06,9.2802034024653385e-07,1,0
fp32,120,0,1,7.9451357595239358e-06,1.5263674200575206e-06,1,0
fp32,121,0,1,6.5501277544122161e-06,8.2281515747593004e-07,1,0
fp32,122,0,1,1.0628506306176178e-06,5.9542158892357265e-08,1,0
fp32,123,0,1,2.3967581967987428e-06,1.1087181045416074e-06,1,0
fp32,124,0,0,2.5307337780944295e-07,2.4646455570112051e-07,1,0
fp32,125,0,1,3.3390981506453699e-05,1.5102340866875849e-06,1,0
fp32,126,0,1,2.0755795309135294e-06,3.7189315360937401e-07,1,0
fp32,127,0,1,7.9078900494522486e-07,3.9392625621283498e-07,1,0
fp32,128,0,1,3.6803928411544007e-06,5.9013859678313819e-07,1,0
fp32,129,0,0,2.7892188247946592e-07,3.9439968518777721e-07,1,0
fp32,130,0,0,4.3420588102804913e-07,5.4846255433127567e-07,1,0
fp32,131,0,1,3.7636447358657676e-06,1.7672866814593505e-06,1,0
fp32,132,0,1,1.1641157022346249e-05,1.6982496790723936e-06,1,0
fp32,133,0,0,4.2926066079473912e-07,6.2787001899225721e-07,1,0
fp32,134,0,1,2.5988282459366019e-06,5.1991052380834699e-07,1,0
fp32,135,0,1,1.0447040161842835e-05,1.5758410717932934e-06,1,0
