channel,unit,finite,nonfinite,min,median,max
AB3N002Alp,deg,48001,0,-179.96041232430954,-78.88762681515007,179.99822369143618
AB3N003Alp,deg,48001,0,-179.86887151239853,-64.8540938917364,179.77794249653147
AB3N004Alp,deg,48001,0,-179.53126443462438,-54.64787562722729,178.43036249949333
AB3N005Alp,deg,48001,0,-87.74887872905323,-47.27216788044573,40.88007312696695
AB3N006Alp,deg,48001,0,-60.40506151773593,-38.89801809539158,26.709253903079993
AB3N007Alp,deg,48001,0,-48.901761494500256,-32.96140972125366,20.384967633671092
AB3N008Alp,deg,48001,0,-42.608257579384954,-28.429025784257867,16.435042247186935
AB3N009Alp,deg,48001,0,-35.788708232556196,-24.6727508301564,14.218205777735248
AB3N010Alp,deg,48001,0,-31.507447264377404,-21.564300630468825,11.389710316565244
AB3N011Alp,deg,48001,0,-27.19234400379269,-19.130737569440118,10.580780525116133
AB3N012Alp,deg,48001,0,-24.132774610366003,-16.81330188675897,10.37525414820186
AB3N013Alp,deg,48001,0,-22.049503998890444,-14.911929968330364,11.785346300807289
AB3N014Alp,deg,48001,0,-20.47824099633324,-13.062518677098703,9.739665413858177
AB3N015Alp,deg,48001,0,-17.87487794852759,-11.107016196636218,9.824251702984336
AB3N016Alp,deg,48001,0,-16.037392709593135,-9.716502063450301,10.15367834895591
AB3N017Alp,deg,48001,0,-14.983963108022584,-8.707782458748094,9.53932528051661
AB3N018Alp,deg,48001,0,-14.988975637128945,-8.02447306315219,8.225996884232128
AB3N019Alp,deg,48001,0,-0.1060000005030401,-0.10600000000000358,-0.10599999963976124
AB1N001The,deg,48001,0,13.30799999999996,13.308,13.308000000000035
AB1N002The,deg,48001,0,13.307999998787226,13.308000000000082,13.308000001229754
AB1N003The,deg,48001,0,13.307999998787228,13.308000000000082,13.308000001229754
AB1N004The,deg,48001,0,13.30799999878724,13.308000000000078,13.308000001229752
AB1N005The,deg,48001,0,13.307999998787228,13.3080000000001,13.308000001481272
AB1N006The,deg,48001,0,11.479999994064903,11.480000000000107,11.480000000287287
AB1N007The,deg,48001,0,10.161999997826307,10.16200000000003,10.16200000103966
AB1N008The,deg,48001,0,9.010999999538011,9.011,9.011000007788477
AB1N009The,deg,48001,0,7.794999997216843,7.794999999999989,7.795000002706683
AB1N010The,deg,48001,0,6.543999999999969,6.544,6.5440000000000325
AB1N011The,deg,48001,0,5.360999994375757,5.360999999999992,5.361000000109961
AB1N012The,deg,48001,0,4.187999994950636,4.188000000000005,4.1880000000649895
AB1N013The,deg,48001,0,3.124999999706353,3.1250000000001052,3.125000000998115
AB1N014The,deg,48001,0,2.318999999424719,2.319000000000141,2.319000000750148
AB1N015The,deg,48001,0,1.5259999989691795,1.5260000000002174,1.5260000001599372
AB1N016The,deg,48001,0,0.8629999989848054,0.8630000000001803,0.8630000006116076
AB1N017The,deg,48001,0,0.36999999978268217,0.37000000000013994,0.37000000084081985
AB1N018The,deg,48001,0,0.10599999957423345,0.1060000000000121,0.10600000061144602
AB1N019The,deg,48001,0,0.10599999957423345,0.10600000000004449,0.10600000096323736
AB2N001The,deg,48001,0,13.307999999999966,13.308,13.308000000000039
AB2N002The,deg,48001,0,13.307999999730413,13.308000000000089,13.30800000034831
AB2N003The,deg,48001,0,13.307999999730416,13.308000000000089,13.30800000034831
AB2N004The,deg,48001,0,13.307999999730415,13.308000000000092,13.308000000348336
AB2N005The,deg,48001,0,13.307999999664805,13.308000000000092,13.308000000348288
AB2N006The,deg,48001,0,11.479999989729473,11.480000000000063,11.480000000296444
