domain,n,method,timing_kind,speedup_median,ci95_low,ci95_high,significant_speedup
bem,2097152,adaptive_frozen_v1,e2e,1.4895423574158229,1.4843316157504551,1.4947965949735718,True
bem,2097152,adaptive_frozen_v1,kernel,2.026061624883087,2.011820669861907,2.0348251517360785,True
bem,2097152,adaptive_no_gradient_gate,e2e,1.4923975257787772,1.486952295320632,1.499590805026606,True
bem,2097152,adaptive_no_gradient_gate,kernel,2.0242674117285926,2.011829556377391,2.03724002110555,True
bem,2097152,fp32,e2e,5.227795681095502,5.165691298586728,5.24371598287561,True
bem,2097152,fp32,kernel,58.54405402934163,58.39356594342864,58.696586403118545,True
bem,2097152,fp64,e2e,1.5124101831831958,1.5073993799360592,1.5196765703444295,True
bem,2097152,fp64,kernel,2.067521169423584,2.0522985510460257,2.0792786280573017,True
bem,8388608,adaptive_frozen_v1,e2e,1.5099608811176488,1.5070179330786093,1.5118149287554568,True
bem,8388608,adaptive_frozen_v1,kernel,2.0426982126428843,2.040589285399832,2.047712204041625,True
bem,8388608,adaptive_no_gradient_gate,e2e,1.5072145122480345,1.5059298366934453,1.5089774263608113,True
bem,8388608,adaptive_no_gradient_gate,kernel,2.044047913814545,2.039481201017664,2.0496928102740757,True
bem,8388608,fp32,e2e,5.241100172817596,5.213098240732773,5.253144134629109,True
bem,8388608,fp32,kernel,59.41677092484484,59.275975660994376,59.55219507012404,True
bem,8388608,fp64,e2e,1.526169163076894,1.523329303866853,1.5306931428622415,True
bem,8388608,fp64,kernel,2.0756817021846317,2.072042851986088,2.08086775973973,True
bem,16777216,adaptive_frozen_v1,e2e,1.4701495482874543,1.4650242825323054,1.475968628221878,True
bem,16777216,adaptive_frozen_v1,kernel,1.993592964590033,1.9886149972716485,2.0021618933810417,True
bem,16777216,adaptive_no_gradient_gate,e2e,1.4707454091815766,1.4680016772470044,1.4773294924585105,True
bem,16777216,adaptive_no_gradient_gate,kernel,1.9954924020613434,1.9879175145742645,2.0020849004545527,True
bem,16777216,fp32,e2e,5.090290017923623,5.070524679162322,5.1235081677885645,True
bem,16777216,fp32,kernel,57.786256620275495,57.08861547000433,58.07915315218642,True
bem,16777216,fp64,e2e,1.4886249049492148,1.481765539353767,1.4936581255982173,True
bem,16777216,fp64,kernel,2.0239091410193506,2.0179412636991296,2.0329630214764594,True
cstr,1,adaptive_frozen_v1,e2e,0.8157773300651503,0.7970580778963838,1.0389061158963744,False
