domain,n,method,kernel_median_ms,e2e_median_ms,cpu128_median_ms,kernel_mroots_s,e2e_mroots_s,correction_fraction,checksum
bem,512,adaptive_no_gradient_gate,0.414978057146,0.424477428198,0.0609001144767,1.23380017614,1.20618898907,0.3984375,1436.113577
bem,2048,fp32,0.0204969588667,0.0370047986507,0.114760361612,99.9172615468,55.3441735849,0,5647.93168927
bem,2048,fp64,0.406080961227,0.420124828815,0.114760361612,5.04332927555,4.87474164708,1,5635.52933306
bem,2048,adaptive_frozen_v1,0.420828461647,0.431856006384,0.114760361612,4.86659099051,4.74232144448,0.42138671875,5635.52925058
bem,2048,adaptive_no_gradient_gate,0.420772790909,0.431759983301,0.114760361612,4.86723486939,4.74337613306,0.42138671875,5635.52925058
bem,8192,fp32,0.0205081608146,0.064393594861,0.375490635633,399.450739344,127.217621841,0,23664.4061772
bem,8192,fp64,0.407188802958,0.442479997873,0.375490635633,20.1184314021,18.5138312226,1,23613.1492477
bem,8192,adaptive_frozen_v1,0.423551023006,0.459497600794,0.375490635633,19.3412353058,17.8281670804,0.426025390625,23613.148935
bem,8192,adaptive_no_gradient_gate,0.423614084721,0.460118383169,0.375490635633,19.3383560544,17.8041136796,0.426025390625,23613.148935
bem,32768,fp32,0.0207392014563,0.142048001289,1.55226513743,1580.002975,230.682584074,0,95396.9473588
bem,32768,fp64,0.403708785772,0.522975981236,1.55226513743,81.167418582,62.6567972062,1,95193.2216366
bem,32768,adaptive_frozen_v1,0.423369586468,0.545952022076,1.55226513743,77.3980962435,60.019926065,0.431884765625,95193.220361
bem,32768,adaptive_no_gradient_gate,0.423379182816,0.546079993248,1.55226513743,77.3963419318,60.0058606892,0.431884765625,95193.220361
bem,131072,fp32,0.0610239990056,0.533536016941,2.65525002033,2147.87628041,245.666638874,0,293990.876563
bem,131072,fp64,1.59491205215,2.061439991,2.65525002033,82.1813339632,63.5827385577,1,293373.189708
bem,131072,adaptive_frozen_v1,1.62761604786,2.09103989601,2.65525002033,80.5300489464,62.6826873318,0.43489,293373.185872
bem,131072,adaptive_no_gradient_gate,1.62729597092,2.08972811699,2.65525002033,80.5458886045,62.7220349549,0.43489,293373.185872
bem,524288,fp32,0.189280003309,2.02220797539,10.3587582707,2769.90696763,259.265123262,0,293990.876563
bem,524288,fp64,5.17462396622,7.06380796432,10.3587582707,101.319053022,74.2217232756,1,293373.189708
bem,524288,adaptive_frozen_v1,5.27523183823,7.16252803802,10.3587582707,99.3867219637,73.1987361469,0.43489,293373.185872
bem,524288,adaptive_no_gradient_gate,5.26601600647,7.14624023438,10.3587582707,99.5606544598,73.365571658,0.43489,293373.185872
bem,2097152,fp32,0.702943980694,7.8751039505,41.149222292,2983.3842491,266.301500676,0,293990.876563
bem,2097152,fp64,20.041759491,27.204864502,41.149222292,104.639116189,77.0873900089,1,293373.189708
bem,2097152,adaptive_frozen_v1,20.4573440552,27.6461753845,41.149222292,102.513405178,75.856857986,0.43489,293373.185872
bem,2097152,adaptive_no_gradient_gate,20.2273921967,27.5450878143,41.149222292,103.678812356,76.1352446627,0.43489,293373.185872
bem,8388608,fp32,2.7537279129,31.3083190918,163.813345134,3046.27336662,267.935431966,0,293990.876563
bem,8388608,fp64,78.8733139038,107.147773743,163.813345134,106.3554653,78.2900820706,1,293373.189708
bem,8388608,adaptive_frozen_v1,80.1264953613,108.45791626,163.813345134,104.692061748,77.3443588932,0.43489,293373.185872
bem,8388608,adaptive_no_gradient_gate,80.1155853271,108.572067261,163.813345134,104.706318574,77.2630402243,0.43489,293373.185872
bem,16777216,fp32,5.51760005951,62.5446090698,318.98559723,3040.67272348,268.243998156,0,293990.876563
bem,16777216,fp64,157.637573242,214.401031494,318.98559723,106.429042613,78.2515638245,1,293373.189708
bem,16777216,adaptive_frozen_v1,159.977279663,217.092895508,318.98559723,104.872492115,77.2812761134,0.43489,293373.185872
bem,16777216,adaptive_no_gradient_gate,159.99597168,216.818908691,318.98559723,104.860240066,77.378933882,0.43489,293373.185872
kepler,1,fp64,0.0953765138984,0.103223673999,0.0296710059047,0.0104847614903,0.00968770012979,1,0.0595829657091
kepler,1,adaptive_frozen_v1,0.10376573354,0.11296608299,0.0296710059047,0.00963709276545,0.008852214519,1,0.0595829657091
kepler,1,adaptive_no_gradient_gate,0.103781633079,0.112871363759,0.0296710059047,0.00963561634493,0.00885964310784,1,0.0595829657091
kepler,1,fp32,0.00819990411401,0.0149324797094,0.0296710059047,0.121952645555,0.0669681137669,0,0.0595837049186
kepler,8,adaptive_frozen_v1,0.110103070736,0.115842238069,0.0305799767375,0.0726591905796,0.0690594392286,0.875,71.9263892779
kepler,8,adaptive_no_gradient_gate,0.109974652529,0.116452485323,0.0305799767375,0.0727440352486,0.0686975462809,0.875,71.9263892779
