comparison,domain,n,ratio,ci95_low,ci95_high,bootstrap_design
serial_over_simd,kepler,512,1.004418384875489,0.9912817837853762,1.014160707070891,independent_sequential_modes
serial_over_simd,kepler,2048,1.001561537370803,1.000124456472466,1.003025624249644,independent_sequential_modes
serial_over_simd,kepler,8192,1.0016280626111307,1.0002796426991087,1.0035206492087807,independent_sequential_modes
serial_over_simd,kepler,32768,1.0007924190908735,0.9995697244770904,1.001902674415086,independent_sequential_modes
serial_over_simd,kepler,131072,0.9998259961027103,0.9986936987965408,1.0004625182004212,independent_sequential_modes
serial_over_simd,kepler,524288,0.9988353318660713,0.9985150950932385,0.99912783489027,independent_sequential_modes
serial_over_simd,kepler,2097152,1.000157335299349,0.9997717324942329,1.0006430723229642,independent_sequential_modes
serial_over_simd,kepler,8388608,0.999853264496903,0.9994845598215637,1.0003447972718031,independent_sequential_modes
serial_over_simd,kepler,16777216,0.9998390138443167,0.9992707680954127,1.0002476292770077,independent_sequential_modes
serial_over_simd,peng_robinson,1,0.9047619047588613,0.8999999999970041,1.0048076923096798,independent_sequential_modes
serial_over_simd,peng_robinson,8,0.9990069513399973,0.9980158730146387,1.0019880715718157,independent_sequential_modes
serial_over_simd,peng_robinson,32,1.0,0.9942678478376601,1.000524109016651,independent_sequential_modes
serial_over_simd,peng_robinson,128,1.0110904502590135,1.008356545960499,1.0124850577762972,independent_sequential_modes
serial_over_simd,peng_robinson,512,0.9989741892789217,0.9979167355588484,0.9998013902698043,independent_sequential_modes
serial_over_simd,peng_robinson,2048,1.0021725250222286,1.0016455412850813,1.002562699042242,independent_sequential_modes
serial_over_simd,peng_robinson,8192,1.000821334946653,0.9893754800534679,1.0123963779857943,independent_sequential_modes
serial_over_simd,peng_robinson,32768,1.0002694238687129,0.9985349099272982,1.0018899054756714,independent_sequential_modes
serial_over_simd,peng_robinson,131072,1.000826587682389,0.9995442452694027,1.0018703872956616,independent_sequential_modes
serial_over_simd,peng_robinson,524288,1.000413047053883,0.9991111994558278,1.0017904672370783,independent_sequential_modes
serial_over_simd,peng_robinson,2097152,1.0002021478998646,0.9997282777890446,1.0008959579979437,independent_sequential_modes
serial_over_simd,peng_robinson,8388608,1.0011269586533258,1.000439865151343,1.00151001665694,independent_sequential_modes
serial_over_simd,peng_robinson,16777216,1.0008826628965626,1.0004140462000024,1.0011973786627393,independent_sequential_modes
serial_over_simd,pv,1,1.0,0.9871134020619359,1.013054830287124,independent_sequential_modes
serial_over_simd,pv,8,0.9967845659157958,0.9950669485564351,1.0,independent_sequential_modes
serial_over_simd,pv,32,0.9950990319590443,0.9944948186541761,0.9957443359147162,independent_sequential_modes
serial_over_simd,pv,128,0.995662800606963,0.9950781126476351,0.996039563535036,independent_sequential_modes
serial_over_simd,pv,512,0.9950063194369769,0.9798102657467606,1.007428020924987,independent_sequential_modes
serial_over_simd,pv,2048,0.9950406415957515,0.9927633669977182,0.9979159678409715,independent_sequential_modes
serial_over_simd,pv,8192,0.9968506958535815,0.9958980059653948,0.998168273455539,independent_sequential_modes
serial_over_simd,pv,32768,0.996714925907204,0.9953931321001497,0.9976210548063936,independent_sequential_modes
serial_over_simd,pv,131072,0.9964533547407225,0.9957643049482653,0.9973082887393057,independent_sequential_modes
serial_over_simd,pv,524288,0.9959669992279084,0.9955663795968167,0.9963817513042896,independent_sequential_modes
serial_over_simd,pv,2097152,0.9963930920358248,0.996206321889057,0.9967263027661725,independent_sequential_modes
serial_over_simd,pv,8388608,0.9953806250150361,0.9944704967130734,0.9966390577899163,independent_sequential_modes
serial_over_simd,pv,16777216,0.9961783539661757,0.9958783040803841,0.9964949724326362,independent_sequential_modes
serial_over_omp96,bem,1,0.06503289308485377,0.06447904431049306,0.06556219582937413,independent_sequential_modes
serial_over_omp96,bem,8,0.5619560712821124,0.5597987356491768,0.5635250155709312,independent_sequential_modes
serial_over_omp96,bem,32,2.147534418025309,2.1352750809075514,2.154274952918935,independent_sequential_modes
serial_over_omp96,bem,128,8.080784551252945,8.02210762438247,8.12300880807494,independent_sequential_modes
serial_over_omp96,bem,512,26.148181126766005,25.993205339477072,26.279952307291303,independent_sequential_modes
serial_over_omp96,bem,2048,51.77632314997389,51.62894105168278,51.933108854177945,independent_sequential_modes
serial_over_omp96,bem,8192,61.67816760821251,60.930767486180734,62.08367346410442,independent_sequential_modes
serial_over_omp96,bem,32768,62.422431901865686,61.470147429913254,63.00230692434995,independent_sequential_modes
serial_over_omp96,bem,131072,63.640994302924724,63.470902089938924,63.83771673409893,independent_sequential_modes
serial_over_omp96,bem,524288,63.44090694294883,63.32101435414396,63.554109296575874,independent_sequential_modes
serial_over_omp96,bem,2097152,61.39325389789325,61.308642633787386,61.4789965902921,independent_sequential_modes
serial_over_omp96,bem,8388608,63.392777736236056,63.34585293873743,63.41755736287002,independent_sequential_modes
serial_over_omp96,bem,16777216,79.72476078523928,79.6919646320375,79.75340071720849,independent_sequential_modes
