build_mode,domain,n,median_ms,p05_ms,p95_ms,throughput_mroots_s,repetitions,nonfinite_sum,checksum_variants
strict_simd,cstr,2048,6.874973773955,6.86461353302,6.98416233063,0.2978920454589366,30,0,1
strict_simd,cstr,8192,27.8054380417,27.7450628281,27.983584404,0.2946186277559952,30,0,1
strict_simd,cstr,32768,111.128133297,110.954422951,111.355993271,0.2948668264986019,30,0,1
strict_simd,cstr,131072,444.496441841,444.174241066,444.915192604,0.29487750105969474,30,0,1
strict_simd,cstr,524288,1777.49682188,1776.355937,1778.30088806,0.29495861457883105,30,0,1
strict_simd,cstr,2097152,7109.0363555,7104.28962803,7112.83850193,0.2949980693765211,30,0,1
strict_simd,cstr,8388608,28461.66112615,28446.7929144,28477.2758093,0.2947336054216708,30,0,1
strict_simd,cstr,16777216,56961.29493615,56934.9892492,56996.022788,0.2945371241789042,30,0,1
strict_simd,kepler,1,0.000859260559082,0.000849723815918,0.000869750976562,1.1637913429523175,30,0,1
strict_simd,kepler,8,0.00813007354736,0.00809001922607,0.00818061828613,0.9840009384168195,30,0,1
strict_simd,kepler,32,0.0307903289795,0.0306406021118,0.0308799743652,1.0392873691380626,30,0,1
strict_simd,kepler,128,0.124755382538,0.124520301819,0.13117980957,1.0260078354616218,30,0,1
strict_simd,kepler,512,0.503560066223,0.498279571533,0.514869689941,1.016760530357986,30,0,1
strict_simd,kepler,2048,2.0905213356,2.08537960052,2.11379051208,0.9796599370329813,30,0,1
strict_simd,kepler,8192,8.52240419388,8.49781417847,8.56237411499,0.9612311049366485,30,0,1
strict_simd,kepler,32768,34.25514650345,34.1603374481,34.425286293,0.9565861876170864,30,0,1
strict_simd,kepler,131072,137.17804527250001,137.010774612,137.478586197,0.9554881740706354,30,0,1
strict_simd,kepler,524288,549.0667872424999,548.516201019,549.507461548,0.954871087054923,30,0,1
strict_simd,kepler,2097152,2197.095702175,2196.52550697,2200.06169891,0.9545109928183549,30,0,1
strict_simd,kepler,8388608,8796.381364825,8785.31493855,8803.18288708,0.9536430552618369,30,0,1
strict_simd,kepler,16777216,17603.0686488,17586.5084562,17623.4856129,0.9530847339587978,30,0,1
strict_simd,peng_robinson,1,0.000100135803223,8.96453857422e-05,0.000100135803223,9.986438095203814,30,0,1
strict_simd,peng_robinson,8,0.00048017501831050004,0.000479698181152,0.000490188598633,16.66059185700262,30,0,1
strict_simd,peng_robinson,32,0.0018196105957,0.0018196105957,0.00183010101318,17.586180293531253,30,0,1
strict_simd,peng_robinson,128,0.00718021392822,0.00716018676758,0.00720024108887,17.82676690132151,30,0,1
strict_simd,peng_robinson,512,0.0288200378418,0.0287494659424,0.0290298461914,17.765417339508332,30,0,1
strict_simd,peng_robinson,2048,0.115010261536,0.114899635315,0.115120887756,17.807106710725495,30,0,1
strict_simd,peng_robinson,8192,0.4632897377015,0.460689544678,0.469469070435,17.682239284303225,30,0,1
strict_simd,peng_robinson,32768,1.932665348055,1.92652988434,1.94138145447,16.954823572004916,30,0,1
strict_simd,peng_robinson,131072,7.77280378342,7.74850273132,7.85346412659,16.862898337867072,30,0,1
strict_simd,peng_robinson,524288,31.132880210899998,31.0705242157,31.2869548798,16.84033075155187,30,0,1
strict_simd,peng_robinson,2097152,124.6653738025,124.441189766,124.897628784,16.82224932259373,30,0,1
strict_simd,peng_robinson,8388608,498.5682525635,498.211847305,499.204698563,16.8253954335602,30,0,1
strict_simd,peng_robinson,16777216,997.91891098,997.501746178,1017.52462578,16.81220369250648,30,0,1
strict_simd,pv,1,0.000740051269531,0.000729560852051,0.000760078430176,1.3512577319592194,30,0,1
strict_simd,pv,8,0.00608015060425,0.00606060028076,0.00611972808838,1.3157568818127683,30,0,1
strict_simd,pv,32,0.02354526519775,0.0235195159912,0.0235900878906,1.359084288549782,30,0,1
strict_simd,pv,128,0.09345006942745,0.0933694839478,0.0936098098755,1.3697154082841303,30,0,1
strict_simd,pv,512,0.377655506134,0.377099990845,0.389680862427,1.3557329144787624,30,0,1
strict_simd,pv,2048,1.566555023195,1.55998134613,1.58097076416,1.3073272050304938,30,0,1
strict_simd,pv,8192,6.3870930671699995,6.37489318848,6.5157327652,1.2825866029896007,30,0,1
strict_simd,pv,32768,25.67372703555,25.6398820877,25.8216915131,1.2763242342892667,30,0,1
strict_simd,pv,131072,102.8888144495,102.787479401,103.020908356,1.2739188482372192,30,0,1
strict_simd,pv,524288,411.729475975,411.350635529,412.211826324,1.2733798054133838,30,0,1
strict_simd,pv,2097152,1647.9497561449998,1647.173666,1650.45450687,1.272582487530327,30,0,1
strict_simd,pv,8388608,6600.321462155,6590.14071178,6603.85722923,1.2709393092592078,30,0,1
strict_simd,pv,16777216,13201.3401041,13192.9598513,13206.6787386,1.2708721893157973,30,0,1
strict_omp96,bem,1,0.0189905166626,0.0186500549316,0.0196104049683,0.05265786169838148,30,0,1
strict_omp96,bem,8,0.018409729003899998,0.0182399749756,0.0186796188354,0.4345528387900357,30,0,1
