cpu_mode,domain,n,cpu_over_gpu_e2e,ci95_low,ci95_high,bootstrap_design
strict_serial,kepler,128,0.9281531208710662,0.9279044683448806,0.9292072165508163,independent
strict_serial,kepler,512,2.422393900094099,2.3963588261836914,2.4255330856259696,independent
strict_serial,kepler,2048,9.858936494391752,9.798388650884556,9.870474854572672,independent
strict_serial,kepler,8192,34.83467757309192,34.744857977577645,34.92442498925371,independent
strict_serial,kepler,32768,104.49879137908009,104.05997174530323,105.40354012524892,independent
strict_serial,kepler,131072,109.75003038177044,109.21246591665953,110.12514002075778,independent
strict_serial,kepler,524288,125.32478976784968,125.08423001360077,126.13141143930561,independent
strict_serial,kepler,2097152,131.80557278469584,131.4804848262171,132.02012417480992,independent
strict_serial,kepler,8388608,132.98768523105724,132.42082847559837,133.15139802802318,independent
strict_serial,kepler,16777216,132.9431942956258,132.8419435941526,132.99578489732514,independent
strict_serial,peng_robinson,1,0.00727698623554166,0.007235245984024133,0.008047949370981293,independent
strict_serial,peng_robinson,8,0.03499321447333581,0.03481369939469207,0.03736665731415674,independent
strict_serial,peng_robinson,32,0.09166693565977338,0.09101183843489172,0.12839911059958145,independent
strict_serial,peng_robinson,128,0.35615973073078727,0.3550108234679393,0.35812121152164655,independent
strict_serial,peng_robinson,512,0.8717707844062169,0.8638607268174952,1.1883932747253645,independent
strict_serial,peng_robinson,2048,3.3437420144959606,3.2055133365311845,3.670123719684482,independent
strict_serial,peng_robinson,8192,7.907280177645895,7.835234719341964,7.996757831333479,independent
strict_serial,peng_robinson,32768,14.032999212794609,13.679032495820476,14.084857875947424,independent
strict_serial,peng_robinson,131072,14.83996533841376,14.69445985654218,14.941676444685811,independent
strict_serial,peng_robinson,524288,15.671916283808738,15.312241485789198,15.72288978563071,independent
strict_serial,peng_robinson,2097152,15.916980824974027,15.842125361445284,15.982956483329236,independent
strict_serial,peng_robinson,8388608,15.988404939172826,15.948073965018216,16.01740638050009,independent
strict_serial,peng_robinson,16777216,15.994324194007488,15.981957744435222,16.009794472944638,independent
strict_serial,pv,1,0.005346060367192783,0.005273638295146063,0.005379368177684523,independent
