method,timing_kind,repetition,value_ms
adaptive,e2e,7,508.361450195
adaptive,kernel,8,500.65713501
adaptive,e2e,8,507.273010254
adaptive,kernel,9,503.220794678
adaptive,e2e,9,507.698577881
adaptive,kernel,10,499.538604736
adaptive,e2e,10,507.913330078
adaptive,kernel,11,501.105834961
adaptive,e2e,11,508.903564453
adaptive,kernel,12,500.034973145
adaptive,e2e,12,507.333862305
adaptive,kernel,13,501.135986328
adaptive,e2e,13,511.548828125
adaptive,kernel,14,500.987030029
adaptive,e2e,14,506.869384766
adaptive,kernel,15,498.915557861
adaptive,e2e,15,508.967712402
adaptive,kernel,16,501.355010986
adaptive,e2e,16,510.301147461
adaptive,kernel,17,500.812255859
adaptive,e2e,17,507.979278564
adaptive,kernel,18,499.443572998
adaptive,e2e,18,507.842468262
adaptive,kernel,19,502.792541504
adaptive,e2e,19,509.451202393
adaptive,kernel,20,500.991210938
adaptive,e2e,20,505.105712891
adaptive,kernel,21,501.36328125
adaptive,e2e,21,506.397155762
adaptive,kernel,22,499.975769043
adaptive,e2e,22,507.685180664
adaptive,kernel,23,496.870788574
adaptive,e2e,23,510.381408691
adaptive,kernel,24,500.273986816
adaptive,e2e,24,509.108123779
adaptive,kernel,25,499.807067871
adaptive,e2e,25,508.993835449
adaptive,kernel,26,501.570556641
adaptive,e2e,26,507.165985107
adaptive,kernel,27,498.475250244
adaptive,e2e,27,508.624084473
adaptive,kernel,28,502.103607178
adaptive,e2e,28,507.188049316
adaptive,kernel,29,501.242858887
adaptive,e2e,29,509.678161621
