index,near_knot,multi_root,root_abs,gradient_left_rel,gradient_right_rel,residual,knot_distance_rad,status
35,1,0,0,9.2839260869260467e-09,1.20485101477252e-08,3.2745601759384953e-16,0,0
36,1,0,0,5.5862834947965655e-09,1.6537915902686881e-08,1.5218474221762613e-16,0,0
37,1,0,1.4614975896165561e-12,2.5528263320800669e-08,1.8577305419375296e-08,1.2871960965030475e-12,0,0
38,0,0,0,5.4288628261456028e-09,2.03929577597535e-08,4.8873783304964677e-18,0,0
39,0,0,0,9.5607739140287361e-09,9.5607739140287361e-09,1.1102230246251565e-16,0,0
40,1,0,7.3940853440035426e-13,4.183823782000977e-10,2.3565194116181842e-09,7.4526710249781025e-13,0,0
41,0,0,3.1536995237502197e-10,1.2963011910929338e-08,9.9410113009426862e-09,3.0516022935677458e-10,0,0
42,1,0,9.681144774731365e-14,3.9469397899018638e-09,9.8989918244391543e-09,1.1804355594834267e-13,0,0
43,0,0,2.6645352591003757e-15,1.8243898357223739e-09,6.9650939088560157e-09,2.8227223459373397e-15,0,0
44,0,0,2.3341684141087171e-10,1.6515865017980052e-08,1.6121818447666652e-08,2.1119789843230906e-10,0,0
45,0,0,0,4.0571598330472609e-09,4.0571598330472609e-09,1.1102230246251565e-16,0,0
46,0,0,5.1775694842604025e-10,1.1313810014107665e-08,1.5007291490150074e-08,4.3723349556680975e-10,0,0
47,0,0,2.0096235786581929e-10,2.4519861271382974e-09,1.0214450209750196e-08,1.990871761298631e-10,0,0
48,0,0,3.7540637265465193e-11,3.8293804878988055e-09,3.8715681111369086e-09,3.3599657476834993e-11,0,0
49,1,0,4.4408920985006262e-16,2.8739741192957862e-08,3.9348697732304521e-08,3.5045043992819219e-16,0,0
50,1,0,5.3654947151926535e-10,2.6641625991628427e-08,1.3655565293388655e-08,4.8025614315577326e-10,0,0
51,1,0,1.2681855565688238e-11,2.7125323229075412e-08,3.6954050874139369e-08,1.5669840767858929e-11,0,0
52,1,0,4.5692338801472943e-12,1.2630283806781636e-08,1.6492247674310802e-08,7.007642442869794e-12,0,0
53,1,0,1.3378631535942986e-11,4.1565944210377294e-09,2.9539869264345363e-11,1.3485541151167804e-11,0,0
54,1,0,9.0720320145010191e-11,3.6250341379383003e-08,4.3569736098913365e-08,1.9749276813230881e-10,0,0
55,1,0,1.4162315764565392e-10,3.7337784070218268e-08,4.3553354464847029e-08,3.0830280814492342e-10,0,0
56,0,0,0,4.732165884256037e-08,5.3709593054678434e-08,3.0673873029061785e-16,0,0
