domain,n,method,timing_kind,speedup_vs_brent,ci95_low,ci95_high,faster_than_brent
kepler,524288,mikkola_kepler,e2e,2.0402214913234578,2.0341818190148504,2.04204960222396,True
kepler,524288,mikkola_kepler,kernel,10.898731005856119,10.880021060107627,10.916486488151431,True
kepler,524288,safeguarded_halley,e2e,1.6142302319516473,1.6109510042622726,1.618940855863123,True
kepler,524288,safeguarded_halley,kernel,3.186699043306179,3.102118463285094,3.2817188188207576,True
kepler,524288,safeguarded_newton,e2e,1.6202836443758422,1.6150202440689891,1.622865689003447,True
kepler,524288,safeguarded_newton,kernel,3.0773806981782608,2.992651448488568,3.1705886073496563,True
kepler,2097152,bracketed_secant,e2e,0.8955349952536227,0.8929913854872865,0.8987663880582669,False
kepler,2097152,bracketed_secant,kernel,0.8232224653590522,0.8220858067819292,0.8272838155925348,False
kepler,2097152,mikkola_kepler,e2e,1.9818731201804005,1.9638127338715248,1.99687651001408,True
kepler,2097152,mikkola_kepler,kernel,11.025017957482781,11.013167569746921,11.041478747126119,True
kepler,2097152,safeguarded_halley,e2e,1.606540104949945,1.5968016617130414,1.614006963246724,True
kepler,2097152,safeguarded_halley,kernel,3.248285112598461,3.241371182696567,3.264129766078637,True
kepler,2097152,safeguarded_newton,e2e,1.5959190375118282,1.5887201630531524,1.6019909453970682,True
kepler,2097152,safeguarded_newton,kernel,3.157889455709648,3.1555273184061496,3.159739978129586,True
kepler,8388608,bracketed_secant,e2e,0.8988693464553207,0.8947024614959843,0.9029636206057614,False
kepler,8388608,bracketed_secant,kernel,0.8302120172985393,0.8244385417319271,0.8341435663703107,False
kepler,8388608,mikkola_kepler,e2e,1.9781857213461742,1.9767334520092597,1.98679755718856,True
kepler,8388608,mikkola_kepler,kernel,11.028230723328814,11.025223167379075,11.082509860388047,True
kepler,8388608,safeguarded_halley,e2e,1.6073922964142047,1.6055337515126176,1.6142505718743905,True
kepler,8388608,safeguarded_halley,kernel,3.272655833003486,3.2717931796999644,3.2880970122368827,True
kepler,8388608,safeguarded_newton,e2e,1.5914021366504267,1.5890372840907232,1.5976618089232495,True
kepler,8388608,safeguarded_newton,kernel,3.1617012950078154,3.160461720256209,3.1768657581248725,True
kepler,16777216,bracketed_secant,e2e,0.9010900770353296,0.8994220787972249,0.9015887034426031,False
kepler,16777216,bracketed_secant,kernel,0.8323343925953327,0.8305014008671555,0.8325569530113087,False
kepler,16777216,mikkola_kepler,e2e,1.9834134911806927,1.979391167762138,1.9844384212478576,True
kepler,16777216,mikkola_kepler,kernel,11.092932112496676,11.066184719942417,11.095693001816327,True
kepler,16777216,safeguarded_halley,e2e,1.611198383574248,1.608052745813615,1.6125049895798167,True
kepler,16777216,safeguarded_halley,kernel,3.2930906559135273,3.2857306896783545,3.2936704794664897,True
kepler,16777216,safeguarded_newton,e2e,1.5960612839112163,1.5930396742219672,1.5972736175375943,True
kepler,16777216,safeguarded_newton,kernel,3.180193103413813,3.1732266565594895,3.1808809335519097,True
peng_robinson,1,analytic_cubic,e2e,3.040224724982882,3.0302643167445633,3.106509776690323,True
peng_robinson,1,analytic_cubic,kernel,4.2485323602498015,4.248093366550218,4.26111451968257,True
peng_robinson,1,bracketed_secant,e2e,1.470722893587075,1.4677155386427074,1.5014015881045049,True
peng_robinson,1,bracketed_secant,kernel,1.8870437253876642,1.886956407606457,1.892583648532132,True
peng_robinson,1,safeguarded_halley,e2e,2.548217056778717,2.538127172783008,2.600274555512394,True
