channel,unit,finite,nonfinite,min,median,max
AB1N016The,deg,48001,0,0.8360353228405327,0.8983967067328161,1.0103430807846239
AB1N017The,deg,48001,0,0.34138712005458016,0.40677098741363943,0.5236372424260312
AB1N018The,deg,48001,0,0.07665850834032605,0.1432677477230074,0.26179905912507
AB1N019The,deg,48001,0,0.07671636804708938,0.1431732433106242,0.26125458984358735
AB2N001The,deg,48001,0,13.30799999999998,13.308,13.30800000000002
AB2N002The,deg,48001,0,13.307997269281477,13.308000737174943,13.308005832132212
AB2N003The,deg,48001,0,13.307965843170862,13.308012313649916,13.308083477750332
AB2N004The,deg,48001,0,13.307878163197673,13.308053792499607,13.308334065189316
AB2N005The,deg,48001,0,13.307639612008563,13.308191817660614,13.309110524976765
AB2N006The,deg,48001,0,11.479086059909093,11.4805486114409,11.483049640705241
AB2N007The,deg,48001,0,10.160158230455202,10.163189140373854,10.168475841371059
AB2N008The,deg,48001,0,9.007788122305655,9.01326033165995,9.022940598204988
AB2N009The,deg,48001,0,7.789917534389677,7.7989820096028435,7.815158155563689
AB2N010The,deg,48001,0,6.536481734184788,6.550591452725077,6.5758956482992605
AB2N011The,deg,48001,0,5.3503992075023,5.37130716226447,5.408744510502638
AB2N012The,deg,48001,0,4.173650789777493,4.2031465570397835,4.2556631333318276
AB2N013The,deg,48001,0,3.1062543738726838,3.145767076393322,3.215739351625543
AB2N014The,deg,48001,0,2.295395114581549,2.3456376990987478,2.4340765927032066
AB2N015The,deg,48001,0,1.4975255499767672,1.5579294647076443,1.6635851747570742
AB2N016The,deg,48001,0,0.8311253976975902,0.8980438971248081,1.0146779335492544
AB2N017The,deg,48001,0,0.3364265335405613,0.40643571463659844,0.5280892794491391
AB2N018The,deg,48001,0,0.07155198991536778,0.14292334377869917,0.26626521912110784
AB2N019The,deg,48001,0,0.0715828815518855,0.1428258173703636,0.26568760513105705
AB3N001The,deg,48001,0,13.307999999999984,13.308000000000002,13.308000000000023
AB3N002The,deg,48001,0,13.307995745131043,13.308000744022836,13.30800573964234
AB3N003The,deg,48001,0,13.307945546539413,13.308012396992252,13.308082090540049
AB3N004The,deg,48001,0,13.307801845166976,13.30805405411568,13.308327903787056
AB3N005The,deg,48001,0,13.307401867058859,13.308193086906828,13.309088549140334
AB3N006The,deg,48001,0,11.478472305463908,11.480552043382628,11.482989046091168
AB3N007The,deg,48001,0,10.158907100693133,10.163198437708543,10.168345456598708
AB3N008The,deg,48001,0,9.005539795441653,9.013275984449507,9.022693355089261
AB3N009The,deg,48001,0,7.786164745213139,7.7990044766594995,7.814752579580379
AB3N010The,deg,48001,0,6.530564921179551,6.550626827934935,6.57527270610812
AB3N011The,deg,48001,0,5.341485973657825,5.371372431984884,5.407843640399107
AB3N012The,deg,48001,0,4.160828105621237,4.203201756892672,4.254406308270418
AB3N013The,deg,48001,0,3.088669257112915,3.145866731822784,3.214059283116031
AB3N014The,deg,48001,0,2.272417129517226,2.345774278231097,2.4327958332840525
AB3N015The,deg,48001,0,1.469020572208114,1.558109256432923,1.663036322579863
