domain,n,method,kernel_median_ms,e2e_median_ms,kernel_mroots_s,e2e_mroots_s,root_p99,root_max,wrong_root,iterations_median,iterations_p99,checksum
pv,8192,brent_dekker,0.217718392611,0.255644798279,37.6265868114,32.0444619063,7.81597009336e-14,9.37028232784e-14,0,29,48,424574.890011
pv,8192,bracketed_secant,0.141091525555,0.179903998971,58.0616019835,45.5353969164,7.81597009336e-14,9.23705556488e-14,0,3,36,424574.890011
pv,32768,safeguarded_newton,0.0492063984275,0.172159999609,665.929656451,190.334572923,7.90478793533e-14,9.49240686055e-14,0,3,9,1687236.03361
pv,32768,safeguarded_halley,0.0534208007157,0.171711996198,613.394025567,190.831163376,7.90478793533e-14,9.59232693276e-14,0,3,6,1687236.03361
pv,32768,brent_dekker,0.231107205153,0.347424000502,141.787011696,94.3170303511,7.86037901435e-14,1.03028696685e-13,0,29,48,1687236.03361
pv,32768,bracketed_secant,0.14567039907,0.265567988157,224.946181306,123.388365546,7.86037901435e-14,9.41469124882e-14,0,3,36,1687236.03361
pv,131072,safeguarded_newton,0.158079996705,0.611392021179,829.149814853,214.382908935,7.81597009336e-14,9.72555369572e-14,0,3,9,5136677.06995
pv,131072,safeguarded_halley,0.162783995271,0.620639979839,805.189722626,211.188457492,7.81597009336e-14,9.59232693276e-14,0,3,6,5136677.06995
pv,131072,brent_dekker,0.817215979099,1.27148795128,160.388444857,103.085522649,7.81597009336e-14,1.03916875105e-13,0,29,48,5136677.06995
pv,131072,bracketed_secant,0.470719993114,0.924160003662,278.450038064,141.828254286,7.81597009336e-14,9.7699626167e-14,0,3,36,5136677.06995
pv,524288,safeguarded_newton,0.497887998819,2.30851197243,1053.02397576,227.110799624,7.81597009336e-14,9.72555369572e-14,0,3,9,5136677.06995
pv,524288,safeguarded_halley,0.535488009453,2.3500161171,979.084481342,223.099746502,7.81597009336e-14,9.59232693276e-14,0,3,6,5136677.06995
pv,524288,brent_dekker,2.63827204704,4.44687986374,198.72400975,117.900194308,7.81597009336e-14,1.03916875105e-13,0,29,48,5136677.06995
pv,524288,bracketed_secant,1.5729919672,3.38787198067,333.306215754,154.754371768,7.81597009336e-14,9.7699626167e-14,0,3,36,5136677.06995
pv,2097152,safeguarded_newton,1.85536003113,8.98544025421,1130.32078131,233.394462672,7.81597009336e-14,9.72555369572e-14,0,3,9,5136677.06995
pv,2097152,safeguarded_halley,2.00134396553,9.12518405914,1047.87184818,229.820241039,7.81597009336e-14,9.59232693276e-14,0,3,6,5136677.06995
pv,2097152,brent_dekker,9.96828842163,17.2005119324,210.382355656,121.92381298,7.81597009336e-14,1.03916875105e-13,0,29,48,5136677.06995
pv,2097152,bracketed_secant,5.88409614563,13.0489282608,356.4102197,160.714501458,7.81597009336e-14,9.7699626167e-14,0,3,36,5136677.06995
pv,8388608,safeguarded_newton,7.28892803192,35.6787185669,1150.86991712,235.115170526,7.81597009336e-14,9.72555369572e-14,0,3,9,5136677.06995
pv,8388608,safeguarded_halley,7.85724782944,36.3755836487,1067.62675457,230.610952693,7.81597009336e-14,9.59232693276e-14,0,3,6,5136677.06995
pv,8388608,brent_dekker,39.6888656616,67.9158706665,211.359227838,123.514694249,7.81597009336e-14,1.03916875105e-13,0,29,48,5136677.06995
