algorithm,threads,repetition,time_ms,failures,checksum
brent,96,28,636.85635291,0,-4052938.3266277295
brent,96,29,636.285762303,0,-4052938.3266277295
illinois,96,0,685.390747152,0,-4052938.3265023562
illinois,96,1,685.434286483,0,-4052938.3265023562
illinois,96,2,685.790847056,0,-4052938.3265023562
illinois,96,3,686.53700687,0,-4052938.3265023562
illinois,96,4,685.604806989,0,-4052938.3265023562
illinois,96,5,685.450647026,0,-4052938.3265023562
illinois,96,6,686.204007827,0,-4052938.3265023562
illinois,96,7,685.506227426,0,-4052938.3265023562
illinois,96,8,685.972367413,0,-4052938.3265023562
illinois,96,9,685.879047029,0,-4052938.3265023562
illinois,96,10,685.464226641,0,-4052938.3265023562
illinois,96,11,685.232155956,0,-4052938.3265023562
illinois,96,12,685.570596717,0,-4052938.3265023562
illinois,96,13,686.157447286,0,-4052938.3265023562
illinois,96,14,685.567856766,0,-4052938.3265023562
illinois,96,15,685.315537266,0,-4052938.3265023562
illinois,96,16,686.041368172,0,-4052938.3265023562
illinois,96,17,685.745216906,0,-4052938.3265023562
illinois,96,18,685.746856965,0,-4052938.3265023562
illinois,96,19,686.37111783,0,-4052938.3265023562
illinois,96,20,685.517086647,0,-4052938.3265023562
illinois,96,21,685.249446891,0,-4052938.3265023562
illinois,96,22,686.382867396,0,-4052938.3265023562
illinois,96,23,685.678366572,0,-4052938.3265023562
illinois,96,24,685.712195933,0,-4052938.3265023562
illinois,96,25,686.249056831,0,-4052938.3265023562
illinois,96,26,686.217466369,0,-4052938.3265023562
illinois,96,27,685.715837404,0,-4052938.3265023562
illinois,96,28,686.117337085,0,-4052938.3265023562
illinois,96,29,685.979747213,0,-4052938.3265023562
adaptive_compacted,96,0,674.070351757,0,-4052938.3266277295
adaptive_compacted,96,1,674.956232309,0,-4052938.3266277295
adaptive_compacted,96,2,674.422121607,0,-4052938.3266277295
adaptive_compacted,96,3,674.957551993,0,-4052938.3266277295
adaptive_compacted,96,4,674.115502276,0,-4052938.3266277295
adaptive_compacted,96,5,674.40992035,0,-4052938.3266277295
adaptive_compacted,96,6,674.934240989,0,-4052938.3266277295
adaptive_compacted,96,7,674.719301052,0,-4052938.3266277295
adaptive_compacted,96,8,674.176781438,0,-4052938.3266277295
adaptive_compacted,96,9,674.377362244,0,-4052938.3266277295
adaptive_compacted,96,10,674.504792318,0,-4052938.3266277295
adaptive_compacted,96,11,674.786731601,0,-4052938.3266277295
adaptive_compacted,96,12,674.409101717,0,-4052938.3266277295
adaptive_compacted,96,13,674.427251332,0,-4052938.3266277295
adaptive_compacted,96,14,674.233490601,0,-4052938.3266277295
adaptive_compacted,96,15,674.444552511,0,-4052938.3266277295
adaptive_compacted,96,16,674.100152217,0,-4052938.3266277295
adaptive_compacted,96,17,674.653542228,0,-4052938.3266277295
adaptive_compacted,96,18,674.611981027,0,-4052938.3266277295
adaptive_compacted,96,19,674.247820862,0,-4052938.3266277295
adaptive_compacted,96,20,674.303840846,0,-4052938.3266277295
adaptive_compacted,96,21,674.736341462,0,-4052938.3266277295
adaptive_compacted,96,22,674.578932114,0,-4052938.3266277295
adaptive_compacted,96,23,675.015282817,0,-4052938.3266277295
adaptive_compacted,96,24,674.34181273,0,-4052938.3266277295
adaptive_compacted,96,25,674.615811557,0,-4052938.3266277295
adaptive_compacted,96,26,675.359962508,0,-4052938.3266277295
adaptive_compacted,96,27,674.779032357,0,-4052938.3266277295
adaptive_compacted,96,28,675.187381916,0,-4052938.3266277295
adaptive_compacted,96,29,675.88493228,0,-4052938.3266277295
