history,step,root_abs,branch,root_count,crossed,status
3,31,1.1102230246251565e-16,3,3,0,0
3,32,0,3,3,0,0
3,33,0,3,3,0,0
3,34,0,3,3,0,0
3,35,1.1102230246251565e-16,3,3,0,0
3,36,2.2204460492503131e-16,3,3,0,0
3,37,0,3,3,0,0
3,38,0,3,3,0,0
3,39,1.1102230246251565e-16,3,3,0,0
3,40,0,3,3,0,0
3,41,1.1102230246251565e-16,3,3,0,0
3,42,2.2204460492503131e-16,3,3,0,0
3,43,1.1102230246251565e-16,3,3,0,0
3,44,1.1102230246251565e-16,3,3,0,0
3,45,0,3,3,0,0
3,46,0,3,3,0,0
3,47,1.1102230246251565e-16,3,3,0,0
3,48,0,3,3,0,0
3,49,1.1102230246251565e-16,3,3,0,0
3,50,0,3,3,0,0
3,51,1.1102230246251565e-16,3,3,0,0
3,52,1.1102230246251565e-16,3,3,0,0
3,53,1.1102230246251565e-16,3,3,0,0
3,54,1.1102230246251565e-16,3,3,0,0
3,55,1.1102230246251565e-16,3,3,0,0
3,56,1.1102230246251565e-16,3,3,0,0
3,57,1.1102230246251565e-16,3,3,0,0
3,58,0,3,3,0,0
3,59,1.1102230246251565e-16,3,3,0,0
3,60,1.1102230246251565e-16,3,3,0,0
3,61,1.1102230246251565e-16,3,3,0,0
3,62,1.1102230246251565e-16,3,3,0,0
3,63,1.1102230246251565e-16,3,3,0,0
3,64,0,3,3,0,0
3,65,0,3,3,0,0
3,66,1.1102230246251565e-16,3,3,0,0
3,67,1.1102230246251565e-16,3,3,0,0
3,68,1.1102230246251565e-16,3,3,0,0
3,69,1.1102230246251565e-16,3,3,0,0
3,70,1.1102230246251565e-16,3,3,0,0
3,71,0,3,3,0,0
3,72,2.2204460492503131e-16,3,3,0,0
3,73,2.2204460492503131e-16,3,3,0,0
3,74,1.1102230246251565e-16,3,3,0,0
3,75,1.1102230246251565e-16,3,3,0,0
3,76,0,3,3,0,0
3,77,0,3,3,0,0
3,78,1.1102230246251565e-16,3,3,0,0
3,79,0,3,3,0,0
3,80,5.4210108624275222e-20,0,1,1,0
4,0,3.3087224502121107e-24,0,1,0,0
4,1,1.0842021724855044e-19,1,3,1,0
4,2,5.4210108624275222e-20,1,3,0,0
4,3,1.3552527156068805e-19,1,3,0,0
4,4,2.1684043449710089e-19,1,3,0,0
4,5,1.0842021724855044e-19,1,3,0,0
4,6,3.2526065174565133e-19,1,3,0,0
4,7,2.1684043449710089e-19,1,3,0,0
4,8,1.0842021724855044e-19,1,3,0,0
4,9,5.4210108624275222e-19,1,3,0,0
4,10,1.0842021724855044e-19,1,3,0,0
4,11,1.0842021724855044e-19,1,3,0,0
4,12,4.3368086899420177e-19,1,3,0,0
4,13,2.1684043449710089e-19,1,3,0,0
4,14,4.3368086899420177e-19,1,3,0,0
4,15,6.5052130349130266e-19,1,3,0,0
4,16,4.3368086899420177e-19,1,3,0,0
4,17,6.5052130349130266e-19,1,3,0,0
4,18,4.3368086899420177e-19,1,3,0,0
4,19,8.6736173798840355e-19,1,3,0,0
4,20,4.3368086899420177e-19,1,3,0,0
4,21,4.3368086899420177e-19,1,3,0,0
4,22,0,1,3,0,0
4,23,8.6736173798840355e-19,1,3,0,0
4,24,1.3010426069826053e-18,1,3,0,0
4,25,4.3368086899420177e-19,1,3,0,0
4,26,1.3010426069826053e-18,1,3,0,0
4,27,4.3368086899420177e-19,1,3,0,0
4,28,1.3010426069826053e-18,1,3,0,0
4,29,4.3368086899420177e-19,1,3,0,0
4,30,1.3010426069826053e-18,1,3,0,0
4,31,4.3368086899420177e-19,1,3,0,0
4,32,3.0357660829594124e-18,1,3,0,0
4,33,1.7347234759768071e-18,1,3,0,0
4,34,1.7347234759768071e-18,1,3,0,0
4,35,2.1684043449710089e-18,1,3,0,0
4,36,4.3368086899420177e-19,1,3,0,0
4,37,4.3368086899420177e-19,1,3,0,0
4,38,8.6736173798840355e-19,1,3,0,0
4,39,0,1,3,0,0
4,40,0,1,3,0,0
4,41,1.7347234759768071e-18,1,3,0,0
4,42,6.0715321659188248e-18,1,3,0,0
4,43,0,1,3,0,0
4,44,1.7347234759768071e-18,1,3,0,0
4,45,1.7347234759768071e-18,1,3,0,0
4,46,8.6736173798840355e-19,1,3,0,0
4,47,1.7347234759768071e-18,1,3,0,0
4,48,8.6736173798840355e-19,1,3,0,0
4,49,0,1,3,0,0
4,50,8.6736173798840355e-19,1,3,0,0
4,51,5.2041704279304213e-18,1,3,0,0
4,52,2.6020852139652106e-18,1,3,0,0
4,53,6.9388939039072284e-18,1,3,0,0
4,54,1.7347234759768071e-18,1,3,0,0
4,55,2.6020852139652106e-18,1,3,0,0
4,56,1.1275702593849246e-17,1,3,0,0
4,57,1.7347234759768071e-18,1,3,0,0
4,58,1.7347234759768071e-18,1,3,0,0
4,59,1.0408340855860843e-17,1,3,0,0
4,60,1.0408340855860843e-17,1,3,0,0
4,61,6.9388939039072284e-18,1,3,0,0
4,62,0,1,3,0,0
4,63,1.5612511283791264e-17,1,3,0,0
4,64,2.2551405187698492e-17,1,3,0,0
4,65,3.2959746043559335e-17,1,3,0,0
4,66,1.3877787807814457e-17,1,3,0,0
4,67,0,0,1,1,0
4,68,1.1102230246251565e-16,0,1,0,0
4,69,1.1102230246251565e-16,0,1,0,0
4,70,1.1102230246251565e-16,0,1,0,0
4,71,0,0,1,0,0
4,72,0,0,1,0,0
4,73,0,0,1,0,0
4,74,2.2204460492503131e-16,0,1,0,0
4,75,2.2204460492503131e-16,0,1,0,0
4,76,0,0,1,0,0
4,77,1.1102230246251565e-16,0,1,0,0
4,78,2.2204460492503131e-16,0,1,0,0
4,79,1.1102230246251565e-16,0,1,0,0
4,80,1.1102230246251565e-16,0,1,0,0
5,0,1.1102230246251565e-16,0,1,0,0
5,1,1.1102230246251565e-16,0,1,0,0
5,2,2.2204460492503131e-16,0,1,0,0
5,3,1.1102230246251565e-16,0,1,0,0
5,4,0,0,1,0,0
5,5,2.2204460492503131e-16,0,1,0,0
5,6,2.2204460492503131e-16,0,1,0,0
5,7,0,0,1,0,0
5,8,0,0,1,0,0
5,9,0,0,1,0,0
5,10,1.1102230246251565e-16,0,1,0,0
5,11,1.1102230246251565e-16,0,1,0,0
5,12,1.1102230246251565e-16,0,1,0,0
5,13,0,0,1,0,0
5,14,1.1102230246251565e-16,3,3,1,0
5,15,2.2204460492503131e-16,3,3,0,0
5,16,0,3,3,0,0
5,17,1.1102230246251565e-16,3,3,0,0
5,18,0,3,3,0,0
5,19,0,3,3,0,0
5,20,1.1102230246251565e-16,3,3,0,0
5,21,1.1102230246251565e-16,3,3,0,0
5,22,0,3,3,0,0
5,23,1.1102230246251565e-16,3,3,0,0
5,24,1.1102230246251565e-16,3,3,0,0
5,25,2.2204460492503131e-16,3,3,0,0
5,26,1.1102230246251565e-16,3,3,0,0
5,27,1.1102230246251565e-16,3,3,0,0
5,28,0,3,3,0,0
5,29,1.1102230246251565e-16,3,3,0,0
5,30,0,3,3,0,0
5,31,0,3,3,0,0
5,32,1.1102230246251565e-16,3,3,0,0
5,33,2.2204460492503131e-16,3,3,0,0
5,34,0,3,3,0,0
5,35,1.1102230246251565e-16,3,3,0,0
5,36,0,3,3,0,0
5,37,1.1102230246251565e-16,3,3,0,0
5,38,1.1102230246251565e-16,3,3,0,0
5,39,1.1102230246251565e-16,3,3,0,0
5,40,0,3,3,0,0
5,41,1.1102230246251565e-16,3,3,0,0
5,42,1.1102230246251565e-16,3,3,0,0
5,43,0,3,3,0,0
5,44,0,3,3,0,0
5,45,1.1102230246251565e-16,3,3,0,0
5,46,0,3,3,0,0
5,47,1.1102230246251565e-16,3,3,0,0
5,48,1.1102230246251565e-16,3,3,0,0
5,49,1.1102230246251565e-16,3,3,0,0
5,50,0,3,3,0,0
5,51,0,3,3,0,0
5,52,0,3,3,0,0
5,53,1.1102230246251565e-16,3,3,0,0
5,54,0,3,3,0,0
5,55,1.1102230246251565e-16,3,3,0,0
5,56,1.1102230246251565e-16,3,3,0,0
5,57,0,3,3,0,0
5,58,1.1102230246251565e-16,3,3,0,0
5,59,0,3,3,0,0
5,60,1.1102230246251565e-16,3,3,0,0
5,61,2.2204460492503131e-16,3,3,0,0
5,62,1.1102230246251565e-16,3,3,0,0
5,63,0,3,3,0,0
5,64,1.1102230246251565e-16,3,3,0,0
5,65,0,3,3,0,0
5,66,1.1102230246251565e-16,3,3,0,0
5,67,2.2204460492503131e-16,3,3,0,0
5,68,1.1102230246251565e-16,3,3,0,0
5,69,1.1102230246251565e-16,3,3,0,0
5,70,1.1102230246251565e-16,3,3,0,0
5,71,0,3,3,0,0
5,72,1.1102230246251565e-16,3,3,0,0
5,73,2.2204460492503131e-16,3,3,0,0
5,74,1.1102230246251565e-16,3,3,0,0
5,75,0,3,3,0,0
5,76,1.1102230246251565e-16,3,3,0,0
5,77,1.1102230246251565e-16,3,3,0,0
5,78,2.2204460492503131e-16,3,3,0,0
5,79,1.1102230246251565e-16,3,3,0,0
5,80,3.3087224502121107e-24,0,1,1,0
