index,branch,root_count,root_abs,gradient_rel,condition_rel,regularized_rel,residual,status
189,3,3,6.539213615042172e-14,1.0597424098817183e-10,1.056786926982161e-10,1.058288846327022e-10,7.7715611723760958e-16,0
190,1,3,1.3877787807814457e-17,1.0380391012705498e-14,9.1578563246318125e-15,1.0380404608059167e-14,1.7347234759768071e-18,0
191,0,1,2.1175823681357508e-21,8.8809168340369232e-16,0,8.8809169228552183e-16,4.2351647362715017e-22,0
192,0,1,2.2204460492503131e-16,5.6213972429447621e-11,1.55427214437129e-15,5.6213972991616342e-11,1.1102230246251565e-16,0
193,0,1,0,1.0295281524987442e-13,6.611735300571163e-16,1.0295281629490805e-13,1.1102230246251565e-16,0
194,0,1,5.4210108624275222e-20,2.1872076138318649e-16,2.2030032178703224e-16,2.1872076360516676e-16,5.4210108624275222e-20,0
195,0,1,5.2939559203393771e-23,2.2204374506663176e-15,0,2.2204374728707791e-15,0,0
196,0,1,1.1102230246251565e-16,2.2669273207303482e-10,4.4408848957096598e-16,2.2669273433996948e-10,0,0
197,3,3,9.4035890185750759e-14,2.7110519142482636e-09,2.7099870490399204e-09,2.4014480205020995e-09,0,0
198,1,3,6.349087922075114e-15,2.0083528372771923e-10,2.0072096183607178e-10,1.8822135178963466e-10,6.9388939039072284e-18,0
199,2,3,6.3421490281712067e-15,1.4097558622592467e-10,1.4109162715182429e-10,1.3557206367214715e-10,0,0
200,2,3,6.4481753270229092e-13,8.8301865337565528e-09,8.8325335093453234e-09,7.5263948534712519e-09,2.2204460492503131e-16,0
201,3,3,8.3733020517229306e-13,1.4196068935765676e-08,1.4192189225350013e-08,1.2281669306061223e-08,0,0
202,1,3,9.1419927183977734e-16,2.5948179119516577e-11,2.5886438142576281e-11,2.5840634514375817e-11,1.7347234759768071e-18,0
203,0,1,2.541098841762901e-21,1.1100848739526453e-15,0,1.1100848850549499e-15,0,0
204,0,1,0,9.2377049081116385e-12,4.4405934028764258e-16,9.2377050005011165e-12,0,0
205,0,1,1.1102230246251565e-16,4.8609549027375991e-14,2.1984195876633293e-16,4.8724738029240176e-14,0,0
206,0,1,5.4210108624275222e-20,2.1900898223550677e-16,0,2.1900898445743482e-16,5.4210108624275222e-20,0
207,0,1,2.6469779601696886e-23,1.3322640165977359e-15,0,1.3322640299204129e-15,3.3087224502121107e-24,0
208,0,1,1.1102230246251565e-16,1.2984799326144439e-10,4.440878735497887e-16,1.2984812705707456e-10,0,0
209,3,3,2.2204460492503131e-15,5.2290070330688495e-13,4.9524143634851172e-13,5.2268485045236402e-13,0,0
210,1,3,5.7592819402429996e-16,2.5449348172641295e-12,2.534162643925235e-12,2.5419072965122383e-12,6.9388939039072284e-18,0
211,2,3,6.1756155744774333e-16,1.1088024342672405e-12,1.1201586575874826e-12,1.1084008804792843e-12,1.3877787807814457e-17,0
212,2,3,3.7714276146516568e-13,5.3870242376628129e-09,5.3882918070442589e-09,4.4328036553610669e-09,1.1102230246251565e-16,0
213,3,3,2.0539125955565396e-13,3.8769970555168123e-10,3.8670036574472879e-10,3.8704593413793641e-10,7.7715611723760958e-16,0
214,1,3,5.7419347054832315e-16,2.0717286813593542e-12,2.0346852090991181e-12,2.0716345018136007e-12,1.7347234759768071e-18,0
215,0,1,1.6940658945086007e-21,8.8811144221045037e-16,0,8.8811145109226823e-16,0,0
216,0,1,0,4.0009413010004391e-12,2.2203159755367517e-16,4.0009413410145394e-12,0,0
217,0,1,1.1102230246251565e-16,4.3418879304536287e-14,6.5832557027127378e-16,4.3418879749085774e-14,0,0
218,0,1,0,0,0,0,5.4210108624275222e-20,0
219,0,1,3.1432863277015052e-23,2.2204411562727711e-15,0,2.442485296324955e-15,1.6543612251060553e-24,0
220,0,1,2.2204460492503131e-16,4.6713968015416964e-10,4.4408873298535477e-16,4.671396848255764e-10,1.1102230246251565e-16,0
221,3,3,4.6629367034256575e-15,2.5470518980605159e-12,2.4896270815755015e-12,2.5470988087700928e-12,0,0
222,1,3,1.1171619185290638e-15,1.471552780111985e-12,1.4515157158616485e-12,1.4714896725812785e-12,0,0
223,2,3,1.8169493687381078e-13,1.7201767437007048e-08,1.7205208487915162e-08,8.7146739456047643e-09,2.0816681711721685e-17,0
224,2,3,4.1555647811719609e-13,2.1465525234250251e-09,2.1479711347429902e-09,2.0949904069975929e-09,2.2204460492503131e-16,0
