sample_id,fold_side,relative_fold_offset,fold_x,fold_Da,root_spacing_min,Fx,condition,raw_gradient,regularized_gradient_lambda_1e-4,regularization_relative_bias,root_count,selected_branch
cstrfold_0001611,upper,1.313364299036730620660428e-8,0.920372782169736854151663351928,0.00000328615392261001896752590950161,+inf,0.99993540155273285341756118444,1.0000646026204961200205309496,1.00012263403681628517933317753,1.00012262403429779224965036377,0.0000000100012919941190655980499106868,1,single
cstrfold_0001612,upper,-0.0000005933227910720406556558189,0.788371687419448393570895317853,0.000358029055224456893316076658899,+inf,0.991721502834922149496145222672,1.00834760277095237575598239046,1.01600288156031444249205045251,1.01600287122995398661253232715,0.0000000101676487767581809342839591539,1,single
cstrfold_0001613,upper,-0.00002402583503670774035660842,0.832028593576611012667550649106,0.0000000337404132132964712277786409089,+inf,0.999997591380624507174637789939,1.00000240862517695409487367803,1.00000474977385742250330127683,1.00000473977376185197580187945,0.0000000100000480725605913807908144738,1,single
cstrfold_0001614,lower,0.00702814804214466993667119,0.0535640617087449921451165764506,0.0194224380335708245355035161891,+inf,0.999951209134433529706411634358,1.00004879324623118771115128779,0.00018614667515022245374224525605,0.000186146673288574062415462512692,0.0000000100009757887129148052814799968,1,single
cstrfold_0001615,lower,0.000001427776445315396848039308,0.0496771788426573115341211488314,0.017162055125959888482784793933,+inf,0.994597294748327261397764579109,1.00543205303312215248415073604,0.0631335617394508356958859119528,0.0631335611012376986958344038851,0.0000000101089360304734008642079021567,1,single
cstrfold_0001616,lower,-0.0002643272537580538269116804,0.0153501208550788320691300032213,0.00542237943859876414479634095407,0.000735228915114172593129198491994,0.999997663000523370983980638872,1.00000233700493820833349166242,0.0000779202974072302222603311214385,0.0000779202966280236139734791659666,0.0000000100000466401524462822437030386,3,high_triple
cstrfold_0001617,upper,-0.000003172951311328678989114335,0.922506749793524551732848102679,0.00000146706730663035799529256453947,+inf,0.999968807596791142311069102027,1.00003119337620522572791897337,1.00005945290280328769313771918,1.00005944290158494433784233774,0.0000000100006237772418947712427080265,1,single
cstrfold_0001618,upper,0.006843112384499714219966384,0.784798368058034991715592652911,0.000386859759889638964965095079016,0.0446052509858600137641496102969,0.990990056487305377340614765836,1.00909186066369984853605098866,1.0174329311220858416152889536,1.01743292076190843729954008177,0.0000000101826637288906366257530444423,3,low_triple
cstrfold_0001619,upper,0.000005079917626191481915560104,0.824785491330380146027857523109,0.0000000514338085597086638728056739893,0.000976042651292775174456877077571,-0.00301117763391826845684865996575,332.095984220883967041559102215,-935137219.432171562251185301795,-934107013.891815010615003850556,0.00110166242873116192724574884226,3,middle_triple
cstrfold_0001620,lower,-0.0000001961941582357461560604323,0.0511344191472448096597661603979,0.0185359599616829514181883174575,+inf,0.999967822174992787467855471564,1.00003217886045295311878178319,0.000127848972142911974229014973213,0.000127848970864339983577915870335,0.0000000100006434875509784975930707258,1,single
cstrfold_0001621,lower,-8.498226715092972593830866e-8,0.0547522556843483273960570202089,0.0188832407160125893682980362711,+inf,0.991880335367233840562154873899,1.00818613328971779067533217562,0.0868599853765988979707973840322,0.0868599844937198975326446861471,0.0000000101643926902618462597032344026,1,single
cstrfold_0001622,lower,0.0000006489006234693800722534527,0.0143766307330525422113813813138,0.00508117171156356405659340754906,+inf,0.999998500497673705429444351808,1.00000149950457480516876534965,0.0000541238249349291772974440833624,0.0000541238243936893101808883140268,0.0000000100000298901133824399038785556,1,single
cstrfold_0001623,upper,0.0005193089944922221267950844,0.920736114295242387476965338756,0.00000264452744957668109981257627878,0.00504487868987280540091233679838,0.0297900632636216549197203820728,33.5682402266381564453529222684,899173.917418721815846595448062,899163.78540064440519698064712,0.0000112681405467107575628971062419,3,high_triple
cstrfold_0001624,upper,-0.000001402843713859025427835698,0.785756315658998493638893544261,0.000346607369912869564893439881091,+inf,0.991830632042622247183750234633,1.00823665623288259967587315469,1.01580351569724760902715204076,1.01580350537118692328424072205,0.0000000101654114463810479066344964962,1,single
cstrfold_0001625,upper,-0.0000182561576960292313041237,0.834098416668835270041791799934,0.0000000298220006714945376108782412479,+inf,0.99999787157017665035938686036,1.00000212843435357279579939191,1.00000419722790814174196718203,1.00000418722782370055311141199,0.0000000100000424687315234074438643097,1,single
cstrfold_0001626,lower,0.0000002438655453078439482664947,0.0544411262083122215148779279395,0.0197313462057161530481134932613,+inf,0.999937227852898248272895917614,1.00006277608769156277434855698,0.000242149396461286754450514998726,0.000242149394039488780681020191558,0.0000000100012554611370913147735750157,1,single
cstrfold_0001627,lower,0.0000604165769565666784381422,0.0541882468800764409121587075992,0.0186905109262304409925448221082,+inf,0.992180832542011822286724858294,1.00788078866425500254806950704,0.0845408104438659028468435685219,0.084540809585080336302274552958,0.0000000101582367383950318709294577684,1,single
cstrfold_0001628,lower,-1.041423489538323841057191e-8,0.0150952364607178332482946574449,0.00533967321606456038011188654254,+inf,0.99999855300630432449923987541,1.00000144699578946928579117528,0.0000471057341092099086012761028661,0.0000471057336381512089828130293575,0.0000000100000288399361495542998469131,1,single
