domain,n,timing_kind,frozen_over_no_gate_median,ci95_low,ci95_high
kepler,8,kernel,1.0000277801056379,0.9999415123290425,1.0005885466216196
kepler,8,e2e,0.9993903014419785,0.9991027965423231,1.0004537799757505
kepler,32,kernel,0.9999908878524895,0.9999792707241559,1.000013966049795
kepler,32,e2e,1.000388733693423,0.9994403707353723,1.0315676683798856
kepler,128,kernel,0.9999035954054772,0.9993899909415482,1.0001720634199875
kepler,128,e2e,0.9955399741233657,0.9916108572660114,0.9996663671837617
kepler,512,kernel,0.9999758581868683,0.9998224990693021,1.0004187607334494
kepler,512,e2e,1.0001020926442437,0.9998654489812538,1.0002750240330407
kepler,2048,kernel,1.0000400406807992,0.9997635500319486,1.0003104116446053
kepler,2048,e2e,0.9993774088607893,0.9940717922038278,1.0006487341222208
kepler,8192,kernel,1.0000517666298783,0.9998987511134391,1.0004057899826615
kepler,8192,e2e,1.000491126141156,0.9982478352484541,1.0022241198321735
kepler,32768,kernel,1.0001107396706113,0.9992699686376071,1.0009386096659616
kepler,32768,e2e,1.0032771057177872,0.9905873393969087,1.0115768742995916
kepler,131072,kernel,0.9999014346495343,0.9982639451343828,1.0002560672784444
kepler,131072,e2e,1.0006881180000835,0.9971923250641122,1.0033067544889165
kepler,524288,kernel,0.9999451080228405,0.9984623100942466,1.0019885070234054
kepler,524288,e2e,1.0008374176071235,0.9999843877126262,1.0018088242903027
kepler,2097152,kernel,1.0003635977838874,1.0001769646350596,1.001086565645943
kepler,2097152,e2e,1.000131365118484,0.9992730399502403,1.0012133485149344
kepler,8388608,kernel,0.9998985704341032,0.9997529735660038,1.000064838179525
kepler,8388608,e2e,1.0000328590132381,0.9996836019417086,1.000409079233905
kepler,16777216,kernel,0.9997267539020558,0.9995376440610886,0.9998488702543344
kepler,16777216,e2e,0.9999126344419862,0.9996873520331079,1.0001569658035625
peng_robinson,1,kernel,0.9999583589519002,0.9998229710096717,1.0001458611836682
