domain,n,method,kernel_median_ms,e2e_median_ms,cpu128_median_ms,kernel_mroots_s,e2e_mroots_s,correction_fraction,checksum
cstr,128,adaptive_frozen_v3,0.399508655071,0.405668139458,nan,0.320393559377,0.315528846241,0.21875,443.74573342
cstr,512,adaptive_no_gradient_gate_v3,0.720766365528,0.728852748871,nan,0.710355011675,0.702473854689,0.2265625,1903.84251054
cstr,512,fp32,0.0327902399004,0.0476585589349,nan,15.6144023818,10.7430860572,0,1903.84244353
cstr,512,fp64,0.688766896725,0.702051877975,nan,0.743357444202,0.72929083457,1,1903.84251692
cstr,512,adaptive_frozen_v3,0.720824420452,0.728504955769,nan,0.710297799954,0.702809220371,0.2265625,1903.84251054
cstr,2048,adaptive_no_gradient_gate_v3,0.722281932831,0.737644791603,nan,2.83545788273,2.7764040678,0.2314453125,7443.15321323
cstr,2048,fp32,0.0328009612858,0.049385599792,nan,62.4371945125,41.4695783513,0,7443.15294444
cstr,2048,fp64,0.690471053123,0.703676819801,nan,2.96609103414,2.9104269778,1,7443.15323589
cstr,2048,adaptive_frozen_v3,0.72243231535,0.737574398518,nan,2.83486764986,2.77666904399,0.2314453125,7443.15321323
cstr,8192,adaptive_no_gradient_gate_v3,0.723235189915,0.762127995491,nan,11.3268824778,10.7488506504,0.23876953125,29965.1890702
cstr,8192,fp32,0.0328070409596,0.0741216018796,nan,249.702495574,110.521086866,0,29965.1880012
cstr,8192,fp64,0.691610872746,0.730617642403,nan,11.8448108941,11.212431133,1,29965.1891466
cstr,8192,adaptive_frozen_v3,0.723309397697,0.762310385704,nan,11.3257203986,10.7462788828,0.23876953125,29965.1890702
cstr,32768,adaptive_no_gradient_gate_v3,0.726118445396,0.85187202692,nan,45.1276237475,38.4658715916,0.251708984375,121389.68177
cstr,32768,fp32,0.0330527983606,0.162239998579,nan,991.383532569,201.972388357,0,121389.677309
cstr,32768,fp64,0.693795204163,0.816640019417,nan,47.2300756814,40.1253908955,1,121389.682075
cstr,32768,adaptive_frozen_v3,0.726303994656,0.850816011429,nan,45.11609497,38.5136146474,0.251708984375,121389.68177
cstr,131072,adaptive_no_gradient_gate_v3,2.81260800362,3.26895999908,nan,46.6015882169,40.0959326626,0.25246,371398.234542
cstr,131072,fp32,0.0675520002842,0.530816018581,nan,1940.31263987,246.925479661,0,371398.220954
cstr,131072,fp64,2.74691200256,3.20233607292,nan,47.7161262821,40.9301200796,1,371398.235481
cstr,131072,adaptive_frozen_v3,2.80950403214,3.27587199211,nan,46.6530741728,40.0113314304,0.25246,371398.234542
cstr,524288,adaptive_no_gradient_gate_v3,9.07587242126,10.9098882675,nan,57.7672289412,48.056220847,0.25246,371398.234542
cstr,524288,fp32,0.182912006974,2.02207994461,nan,2866.33998868,259.28153899,0,371398.220954
cstr,524288,fp64,8.9221124649,10.7581119537,nan,58.7627652153,48.7342018985,1,371398.235481
cstr,524288,adaptive_frozen_v3,9.07472038269,10.9074878693,nan,57.7745625088,48.066796524,0.25246,371398.234542
cstr,2097152,adaptive_no_gradient_gate_v3,34.113407135,41.3056640625,nan,61.4758881076,50.771535759,0.25246,371398.234542
cstr,2097152,fp32,0.651744008064,7.80358409882,nan,3217.75417043,268.742154047,0,371398.220954
cstr,2097152,fp64,33.6280632019,40.7791023254,nan,62.3631514967,51.4271251795,1,371398.235481
cstr,2097152,adaptive_frozen_v3,34.1159362793,41.3162574768,nan,61.4713306659,50.7585180283,0.25246,371398.234542
cstr,8388608,adaptive_no_gradient_gate_v3,134.544998169,163.269119263,nan,62.3479736457,51.379024018,0.25246,371398.234542
cstr,8388608,fp32,2.54659199715,30.8685760498,nan,3294.05260419,271.752347321,0,371398.220954
cstr,8388608,fp64,132.716415405,161.32850647,nan,63.2070115395,51.9970598102,1,371398.235481
cstr,8388608,adaptive_frozen_v3,134.529663086,163.192642212,nan,62.3550807129,51.4031017961,0.25246,371398.234542
cstr,16777216,adaptive_no_gradient_gate_v3,269.338348389,326.527069092,nan,62.2904836997,51.380781528,0.25246,371398.234542
cstr,16777216,fp32,5.38844823837,61.7251205444,nan,3113.55241023,271.805317706,0,371398.220954
cstr,16777216,fp64,265.813171387,322.948028564,nan,63.116571359,51.9502041074,1,371398.235481
cstr,16777216,adaptive_frozen_v3,269.353027344,326.41897583,nan,62.2870890498,51.3977962137,0.25246,371398.234542
peng_robinson,1,fp32,0.0040973117575,0.0060556801036,nan,0.244062463191,0.16513421827,0,0.0671927034855
peng_robinson,1,fp64,0.00819340813905,0.0124534405768,nan,0.122049333199,0.0802990943614,1,0.0671926921223
